Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Peter Abrahamsson\40e57039,se SWE,GK,Häcken,32,1988,21,21,1890,21,32,1.52,88,61,70.5,8,6,7,5,23.8,7,6,0,1,0,Matches
August Ahlin\eac46b2b,se SWE,GK,Sirius,23,1997,9,9,810,9,20,2.22,52,34,65.4,2,2,5,1,11.1,2,2,0,0,0,Matches
Bobby Allain\8870154f,fr FRA,GK,Örebro,29,1991,23,23,2070,23,43,1.87,123,85,68.3,2,5,16,3,13,6,4,1,1,20,Matches
Tobias Andersson\842b7900,se SWE,GK,Kalmar,26,1994,4,4,360,4,6,1.5,19,13,68.4,2,1,1,1,25,0,0,0,0,,Matches
Giannis Anestis\d3149135,gr GRE,GK,Göteborg,29,1991,28,28,2520,28,38,1.36,120,84,70,9,8,11,9,32.1,2,2,0,0,0,Matches
Adam Benediktsson\8be7e8db,is ISL,GK,Göteborg,18,2002,2,2,180,2,1,0.5,7,6,85.7,2,0,0,1,50,0,0,0,0,,Matches
Davor Blaževi?\afbb68eb,se SWE,GK,Hammarby,27,1993,1,1,90,1,2,2,3,1,33.3,0,1,0,0,0,0,0,0,0,,Matches
Johan Brattberg\3906ff9b,se SWE,GK,Häcken,24,1996,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,,Matches
Samuel Brolin\82fdcbec,se SWE,GK,Mjällby,20,2000,10,10,900,10,13,1.3,43,32,74.4,2,3,5,2,20,2,2,0,0,0,Matches
Pontus Dahlberg\2475b06e,se SWE,GK,Häcken,22,1999,8,8,720,8,12,1.5,37,27,73,1,3,4,0,0,2,2,0,0,0,Matches
Johan Dahlin\a04e2dd2,se SWE,GK,Malmö,34,1986,19,19,1665,18.5,14,0.76,54,41,75.9,11,5,3,11,57.9,1,1,0,0,0,Matches
Ismael Diawara\a9107589,ml MLI,GK,Malmö,26,1994,3,2,225,2.5,3,1.2,6,4,50,0,1,1,1,50,1,0,1,0,100,Matches
Ismael Diawara\a9107589,ml MLI,GK,Degerfors,26,1994,13,13,1170,13,23,1.77,86,64,74.4,4,2,7,3,23.1,1,1,0,0,0,Matches
Oliver Dovin\9f12e0f8,se SWE,GK,Hammarby,18,2002,8,8,703,7.8,10,1.28,38,28,73.7,5,2,1,2,25,0,0,0,0,,Matches
Carljohan Eriksson\058b630f,fi FIN,GK,Mjällby,25,1995,20,20,1800,20,14,0.7,71,58,80.3,7,8,5,13,65,1,0,1,0,100,Matches
Jeffrey Gal\a689bb06,se SWE,GK,Degerfors,27,1993,4,4,360,4,4,1,15,11,73.3,2,1,1,2,50,0,0,0,0,,Matches
Lucas Hägg-Johansson\0e014062,se SWE,GK,Kalmar,26,1994,26,26,2340,26,33,1.27,103,71,68,11,7,8,8,30.8,1,0,1,0,100,Matches
Budimir Janoševi?\26d26396,rs SRB,GK,AIK Stockholm,31,1989,16,16,1440,16,14,0.87,61,47,77,9,3,4,6,37.5,0,0,0,0,,Matches
Oscar Jansson\a33c4ee2,se SWE,GK,Norrköping,30,1990,30,30,2700,30,41,1.37,123,84,67.5,13,5,12,5,16.7,2,1,1,0,50,Matches
Marko Johansson\d0975397,se SWE,GK,Malmö,22,1998,9,9,810,9,13,1.44,33,20,60.6,6,2,1,0,0,0,0,0,0,,Matches
Aly Keita\92c62328,gn GUI,GK,Östersund,34,1986,24,24,2088,23.2,44,1.9,159,118,74.2,3,5,16,3,12.5,4,3,0,1,0,Matches
Mergim Krasniqi\c26f9d5a,se SWE,GK,Örebro,28,1992,7,7,630,7,15,2.14,36,22,61.1,2,1,4,1,14.3,1,1,0,0,0,Matches
Stojan Luki?\02dd033c,ba BIH,GK,Varberg,41,1979,20,20,1712,19,16,0.84,55,41,74.5,6,9,5,8,40,2,2,0,0,0,Matches
Philip Mårtensson\666bba9d,se SWE,GK,Varberg,27,1993,6,5,538,6,12,2.01,28,18,60.7,2,0,3,0,0,2,1,1,0,50,Matches
David Mitov Nilsson\34829444,mk MKD,GK,Sirius,30,1991,17,17,1530,17,23,1.35,84,62,73.8,6,5,6,4,23.5,1,1,0,0,0,Matches
Sixten Mohlin\534f7745,cv CPV,GK,Östersund,25,1996,7,6,612,6.8,13,1.91,41,29,70.7,0,0,6,0,0,1,1,0,0,0,Matches
Malkolm Nilsson\5662e81f,se SWE,GK,Halmstad,27,1993,29,29,2610,29,25,0.86,100,76,76,6,14,9,9,31,2,1,1,0,50,Matches
Kristoffer Nordfeldt\78549904,se SWE,GK,AIK Stockholm,31,1989,14,14,1260,14,11,0.79,45,34,75.6,9,2,3,6,42.9,0,0,0,0,,Matches
