Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Taha Abdi Ali\da4b8a4e,se SWE,FW,Örebro,22,1998,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Ishaq Abdulrazak\4d2d7ea5,ng NGA,MF,Norrköping,18,2002,29.2,2,0,0,38,49,6,52,32,36,,,0,Matches
Sargon Abraham\447ca633,se SWE,FWMF,Degerfors,29,1991,8.8,0,0,0,10,11,3,8,2,4,,,0,Matches
Peter Abrahamsson\40e57039,se SWE,GK,Häcken,32,1988,21,3,0,0,1,3,0,0,0,0,,,0,Matches
Malik Abubakari\47aaf574,gh GHA,FW,Malmö,20,2000,6,4,0,0,9,14,5,9,1,3,,,0,Matches
David Accam\f5220ece,gh GHA,FWMF,Hammarby,30,1990,5.1,2,0,0,10,8,5,6,2,6,,,0,Matches
Bénie Adama Traore\77816c91,ci CIV,MFFW,Häcken,18,2002,14.7,1,0,0,24,23,5,23,13,14,,,0,Matches
Samuel Adegbenro\884a8908,ng NGA,FWMF,Norrköping,25,1995,25.9,3,0,0,41,66,12,43,3,9,,,0,Matches
Albion Ademi\424471b0,al ALB,FW,Djurgården,21,1999,1.1,1,0,0,2,3,0,15,0,0,,,0,Matches
Simon Adjei\f77dcf95,se SWE,FW,Varberg,27,1993,11.4,0,0,0,17,19,6,5,6,5,,,0,Matches
Yannick Adjoumani\ba6a293e,ci CIV,DF,Häcken,18,2002,0.9,0,0,0,0,2,0,5,0,2,,,0,Matches
Viktor Agardius\111d66b2,se SWE,DFMF,Norrköping,31,1989,21.2,4,0,0,33,5,1,20,47,16,,,0,Matches
August Ahlin\eac46b2b,se SWE,GK,Sirius,23,1997,9,1,0,0,1,0,0,0,0,0,,,0,Matches
Erik Ahlstrand\f6b692c0,se SWE,MF,Halmstad,19,2001,5.2,1,0,0,7,4,0,11,8,2,,,0,Matches
Amar Ahmed\22396615,se SWE,MF,AIK Stockholm,16,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Anel Ahmedhodzic\eab957a3,ba BIH,DF,Malmö,21,1999,25,6,0,0,23,16,0,4,43,15,,,0,Matches
Hosam Aiesh\9d01ec0f,sy SYR,MF,Göteborg,25,1995,16.8,3,0,0,35,52,3,87,9,23,,,0,Matches
Noah Alexandersson\6caf5840,se SWE,MF,Göteborg,19,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Oliver Alfonsi\63cf1a8a,se SWE,MFFW,Varberg,17,2003,5.3,3,0,0,7,21,0,7,6,3,,,0,Matches
Hussein Ali\b8a919ad,se SWE,DFMF,Örebro,18,2002,18.1,3,0,0,24,14,3,68,28,23,,,0,Matches
Bobby Allain\8870154f,fr FRA,GK,Örebro,29,1991,23,4,0,0,1,7,0,0,0,2,,,0,Matches
Joel Allansson\097e650b,se SWE,MF,Halmstad,28,1992,28.7,3,0,0,26,22,0,33,44,26,,,0,Matches
Rasmus Alm\78506575,se SWE,FWMF,Elfsborg,25,1995,16.6,4,0,0,38,25,5,41,3,15,,,0,Matches
Michael Almebäck\8f2aa8b2,se SWE,DF,Örebro,32,1988,15.3,3,0,0,21,6,1,1,10,11,,,0,Matches
Kevin Álvarez\049682ea,hn HON,MF,Norrköping,24,1996,0.4,0,0,0,1,0,0,2,0,0,,,0,Matches
Filip Ambroz\493dff05,hr CRO,MF,Göteborg,17,2003,0.7,0,0,0,3,0,0,1,1,0,,,0,Matches
Amir Al Ammari\9f65be73,iq IRQ,MF,Halmstad,23,1997,29,5,0,0,33,34,0,161,46,28,,,0,Matches
Akinkunmi Amoo\bc2d4118,ng NGA,FWMF,Hammarby,18,2002,20.5,2,0,0,20,32,9,18,13,9,,,0,Matches
Jeppe Andersen\aadbb7bc,dk DEN,MF,Hammarby,28,1992,20.5,5,0,0,33,34,3,19,24,27,,,0,Matches
Elias Andersson\d0d3bcc7,se SWE,MF,Djurgården,25,1996,0.8,0,0,0,1,0,0,5,2,1,,,0,Matches
Elias Andersson\d0d3bcc7,se SWE,MF,Mjällby,25,1996,13.6,1,0,0,16,19,0,83,10,10,,,0,Matches
Jakob Andersson\3e6760c0,se SWE,MF,Degerfors,18,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Tobias Andersson\842b7900,se SWE,GK,Kalmar,26,1994,4,0,0,0,0,1,0,0,0,0,,,0,Matches
Giannis Anestis\d3149135,gr GRE,GK,Göteborg,29,1991,28,0,0,0,0,4,0,0,1,1,,,0,Matches
Marcus Antonsson\ba3378a5,se SWE,FW,Halmstad,29,1991,25.3,0,0,0,21,28,29,17,4,9,,,0,Matches
Frank Arhin\c48130b7,gh GHA,MF,Östersund,21,1999,11.9,4,1,1,26,4,1,11,20,13,,,0,Matches
Johan Arvidsson\09758a88,se SWE,MF,Kalmar,20,2000,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
Joel Asoro\13e827f8,se SWE,FW,Djurgården,21,1999,11.1,1,0,0,19,26,7,24,2,6,,,0,Matches
Ahmed Awad\7aacd2c4,ps PLE,FW,Östersund,28,1992,1.5,0,0,0,0,2,0,2,0,1,,,0,Matches
Yasin Ayari\f173303a,se SWE,MF,AIK Stockholm,17,2003,3.3,0,0,0,8,4,1,10,6,8,,,0,Matches
Ferhad Ayaz\bcdad511,se SWE,MF,Degerfors,26,1994,8.2,0,0,0,7,12,2,21,3,8,,,0,Matches
Keanin Ayer Boya\5b5c4d01,za RSA,MF,Varberg,20,2000,0.6,0,0,0,2,1,0,2,1,1,,,0,Matches
Victor Backman\cc9bac69,se SWE,MF,Kalmar,19,2001,2.3,2,0,0,11,6,1,0,2,0,,,0,Matches
Joseph Baffo\ee18a2b7,se SWE,DF,Halmstad,28,1992,27.9,5,0,0,23,26,1,3,33,14,,,0,Matches
Nabil Bahoui\8689dccc,se SWE,FWMF,AIK Stockholm,29,1991,20.2,2,0,0,39,30,13,25,13,16,,,0,Matches
Emmanuel Banda\e0fdefca,zm ZAM,MFFW,Djurgården,23,1997,7.8,2,0,0,8,7,1,15,5,12,,,0,Matches
Nicklas Bärkroth\7635ba42,se SWE,FW,Djurgården,29,1992,16.7,0,0,0,17,16,17,83,9,8,,,0,Matches
Felix Beijmo\71115017,se SWE,DF,Malmö,23,1998,10.9,1,0,0,10,9,1,18,23,9,,,0,Matches
Henrik Bellman\940d842b,se SWE,MF,Östersund,21,1999,16.1,3,0,0,22,31,4,21,16,21,,,0,Matches
Adam Benediktsson\8be7e8db,is ISL,GK,Göteborg,18,2002,2,0,0,0,0,0,0,0,0,0,,,0,Matches
Andreas Bengtsson\3d2c6036,se SWE,DF,Halmstad,24,1996,29.7,2,0,0,11,25,0,101,53,25,,,0,Matches
Leo Bengtsson\25cde772,se SWE,MFFW,Häcken,22,1998,23.5,7,0,0,32,54,10,32,14,28,,,0,Matches
Moustafa Benshi\3293de09,sy SYR,MF,Kalmar,19,2002,0.1,0,0,0,0,2,0,0,1,1,,,0,Matches
Marcus Berg\b39bf63f,se SWE,FW,Göteborg,34,1986,17.7,3,0,0,39,27,10,2,5,9,,,0,Matches
Oliver Berg\6053df96,no NOR,FWMF,Kalmar,27,1993,28.9,1,0,0,23,64,3,112,10,13,,,0,Matches
Gustav Berggren\b8103669,se SWE,MF,Häcken,23,1997,26.4,8,0,0,51,32,2,8,40,39,,,0,Matches
Niclas Bergmark\ac907675,se SWE,DF,Örebro,19,2002,5.8,2,0,0,6,3,0,1,9,5,,,0,Matches
Doug Bergqvist\73221bb0,se SWE,DF,Kalmar,27,1993,14.1,2,0,0,14,9,0,1,10,13,,,0,Matches
Jacob Bergström\665d3deb,se SWE,FW,Mjällby,25,1995,25.3,3,0,0,62,58,11,12,12,3,,,0,Matches
Alexander Bernhardsson\dea1d183,se SWE,FWMF,Elfsborg,22,1998,8.9,2,0,0,25,10,2,21,3,8,,,0,Matches
Alexander Berntsson\8b08c8d3,se SWE,DF,Halmstad,24,1996,2.5,0,0,0,2,0,0,0,4,1,,,0,Matches
Johan Bertilsson\52c3464a,se SWE,FWMF,Degerfors,32,1988,20.7,1,0,0,26,30,1,26,16,12,,,0,Matches
Nahir Besara\2fadcd15,se SWE,MFFW,Örebro,29,1991,16.6,3,0,0,12,34,1,51,11,9,,,0,Matches
Egzon Binaku\63a304f3,al ALB,DF,Norrköping,25,1995,0,0,0,0,0,0,0,1,0,0,,,0,Matches
Jon Birkfeldt\c0ded652,se SWE,DF,Varberg,24,1996,9.7,1,0,0,8,14,0,0,12,3,,,0,Matches
Veljko Birman?evi?\636247ca,rs SRB,MFFW,Malmö,22,1998,21.8,2,0,0,19,44,5,72,18,19,,,0,Matches
Aron Bjarnason\a6e092ea,is ISL,FW,Sirius,25,1995,0.2,0,0,0,0,0,1,2,0,0,,,0,Matches
Jóhannes Bjarnason\481ac871,is ISL,MF,Norrköping,15,2005,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
Mattias Bjärsmyr\15927d77,se SWE,DF,Göteborg,35,1986,29.1,2,0,0,17,9,0,3,35,16,,,0,Matches
Carl Björk\3b2bdc7e,se SWE,FWMF,Norrköping,21,2000,19.3,0,0,0,27,36,9,16,4,13,,,0,Matches
