Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Taha Abdi Ali\da4b8a4e,se SWE,FW,Örebro,22,1998,0.2,0,0,0,,0,0,,,,0,0,Matches
Ishaq Abdulrazak\4d2d7ea5,ng NGA,MF,Norrköping,18,2002,29.2,0,29,9,31,0.99,0.31,0,0,,0,0,Matches
Sargon Abraham\447ca633,se SWE,FWMF,Degerfors,29,1991,8.8,0,14,4,28.6,1.58,0.45,0,0,,0,0,Matches
Peter Abrahamsson\40e57039,se SWE,GK,Häcken,32,1988,21,0,0,0,,0,0,,,,0,0,Matches
Malik Abubakari\47aaf574,gh GHA,FW,Malmö,20,2000,6,3,18,9,50,2.98,1.49,0.17,0.33,,0,0,Matches
David Accam\f5220ece,gh GHA,FWMF,Hammarby,30,1990,5.1,1,20,11,55,3.9,2.15,0.05,0.09,,0,0,Matches
Bénie Adama Traore\77816c91,ci CIV,MFFW,Häcken,18,2002,14.7,3,36,12,33.3,2.44,0.81,0.08,0.25,,0,0,Matches
Samuel Adegbenro\884a8908,ng NGA,FWMF,Norrköping,25,1995,25.9,17,82,38,46.3,3.17,1.47,0.21,0.45,,0,0,Matches
Albion Ademi\424471b0,al ALB,FW,Djurgården,21,1999,1.1,0,2,0,0,1.78,0,0,,,0,0,Matches
Simon Adjei\f77dcf95,se SWE,FW,Varberg,27,1993,11.4,4,26,10,38.5,2.28,0.88,0.12,0.3,,1,1,Matches
Yannick Adjoumani\ba6a293e,ci CIV,DF,Häcken,18,2002,0.9,0,1,1,100,1.08,1.08,0,0,,0,0,Matches
Viktor Agardius\111d66b2,se SWE,DFMF,Norrköping,31,1989,21.2,1,6,1,16.7,0.28,0.05,0.17,1,,0,0,Matches
August Ahlin\eac46b2b,se SWE,GK,Sirius,23,1997,9,0,0,0,,0,0,,,,0,0,Matches
Erik Ahlstrand\f6b692c0,se SWE,MF,Halmstad,19,2001,5.2,0,11,4,36.4,2.11,0.77,0,0,,0,0,Matches
Amar Ahmed\22396615,se SWE,MF,AIK Stockholm,16,2004,0.1,0,2,0,0,20,0,0,,,0,0,Matches
Anel Ahmedhodzic\eab957a3,ba BIH,DF,Malmö,21,1999,25,1,18,7,38.9,0.72,0.28,0.06,0.14,,0,0,Matches
Hosam Aiesh\9d01ec0f,sy SYR,MF,Göteborg,25,1995,16.8,2,17,5,29.4,1.01,0.3,0.12,0.4,,0,0,Matches
Noah Alexandersson\6caf5840,se SWE,MF,Göteborg,19,2001,0.1,0,0,0,,0,0,,,,0,0,Matches
Oliver Alfonsi\63cf1a8a,se SWE,MFFW,Varberg,17,2003,5.3,1,11,3,27.3,2.08,0.57,0.09,0.33,,0,0,Matches
Hussein Ali\b8a919ad,se SWE,DFMF,Örebro,18,2002,18.1,0,13,3,23.1,0.72,0.17,0,0,,0,0,Matches
Bobby Allain\8870154f,fr FRA,GK,Örebro,29,1991,23,0,0,0,,0,0,,,,0,0,Matches
Joel Allansson\097e650b,se SWE,MF,Halmstad,28,1992,28.7,0,27,2,7.4,0.94,0.07,0,0,,0,0,Matches
Rasmus Alm\78506575,se SWE,FWMF,Elfsborg,25,1995,16.6,6,44,16,36.4,2.65,0.96,0.14,0.38,,0,0,Matches
Michael Almebäck\8f2aa8b2,se SWE,DF,Örebro,32,1988,15.3,0,0,0,,0,0,,,,0,0,Matches
Kevin Álvarez\049682ea,hn HON,MF,Norrköping,24,1996,0.4,0,0,0,,0,0,,,,0,0,Matches
Filip Ambroz\493dff05,hr CRO,MF,Göteborg,17,2003,0.7,0,2,0,0,3,0,0,,,0,0,Matches
Amir Al Ammari\9f65be73,iq IRQ,MF,Halmstad,23,1997,29,3,39,12,30.8,1.35,0.41,0.08,0.25,,0,0,Matches
Akinkunmi Amoo\bc2d4118,ng NGA,FWMF,Hammarby,18,2002,20.5,9,64,25,39.1,3.12,1.22,0.13,0.32,,1,2,Matches
Jeppe Andersen\aadbb7bc,dk DEN,MF,Hammarby,28,1992,20.5,2,24,5,20.8,1.17,0.24,0.08,0.4,,0,0,Matches
Elias Andersson\d0d3bcc7,se SWE,MF,Djurgården,25,1996,0.8,0,1,1,100,1.29,1.29,0,0,,0,0,Matches
Elias Andersson\d0d3bcc7,se SWE,MF,Mjällby,25,1996,13.6,1,18,8,44.4,1.32,0.59,0.06,0.13,,0,0,Matches
Jakob Andersson\3e6760c0,se SWE,MF,Degerfors,18,2002,0.1,0,0,0,,0,0,,,,0,0,Matches
Tobias Andersson\842b7900,se SWE,GK,Kalmar,26,1994,4,0,0,0,,0,0,,,,0,0,Matches
Giannis Anestis\d3149135,gr GRE,GK,Göteborg,29,1991,28,0,0,0,,0,0,,,,0,0,Matches
Marcus Antonsson\ba3378a5,se SWE,FW,Halmstad,29,1991,25.3,6,65,28,43.1,2.57,1.11,0.06,0.14,,2,2,Matches
Frank Arhin\c48130b7,gh GHA,MF,Östersund,21,1999,11.9,0,5,1,20,0.42,0.08,0,0,,0,0,Matches
Johan Arvidsson\09758a88,se SWE,MF,Kalmar,20,2000,0.2,0,0,0,,0,0,,,,0,0,Matches
Joel Asoro\13e827f8,se SWE,FW,Djurgården,21,1999,11.1,3,29,10,34.5,2.6,0.9,0.1,0.3,,0,0,Matches
Ahmed Awad\7aacd2c4,ps PLE,FW,Östersund,28,1992,1.5,1,2,1,50,1.33,0.67,0.5,1,,0,0,Matches
Yasin Ayari\f173303a,se SWE,MF,AIK Stockholm,17,2003,3.3,0,4,0,0,1.2,0,0,,,0,0,Matches
Ferhad Ayaz\bcdad511,se SWE,MF,Degerfors,26,1994,8.2,1,15,7,46.7,1.82,0.85,0.07,0.14,,0,0,Matches
Keanin Ayer Boya\5b5c4d01,za RSA,MF,Varberg,20,2000,0.6,0,0,0,,0,0,,,,0,0,Matches
Victor Backman\cc9bac69,se SWE,MF,Kalmar,19,2001,2.3,0,2,0,0,0.86,0,0,,,0,0,Matches
Joseph Baffo\ee18a2b7,se SWE,DF,Halmstad,28,1992,27.9,0,7,0,0,0.25,0,0,,,0,0,Matches
Nabil Bahoui\8689dccc,se SWE,FWMF,AIK Stockholm,29,1991,20.2,10,68,31,45.6,3.36,1.53,0.15,0.32,,0,0,Matches
Emmanuel Banda\e0fdefca,zm ZAM,MFFW,Djurgården,23,1997,7.8,4,27,10,37,3.47,1.29,0.15,0.4,,0,0,Matches
Nicklas Bärkroth\7635ba42,se SWE,FW,Djurgården,29,1992,16.7,4,34,14,41.2,2.04,0.84,0.12,0.29,,0,0,Matches
Felix Beijmo\71115017,se SWE,DF,Malmö,23,1998,10.9,0,8,0,0,0.74,0,0,,,0,0,Matches
Henrik Bellman\940d842b,se SWE,MF,Östersund,21,1999,16.1,0,10,5,50,0.62,0.31,0,0,,0,0,Matches
Adam Benediktsson\8be7e8db,is ISL,GK,Göteborg,18,2002,2,0,0,0,,0,0,,,,0,0,Matches
Andreas Bengtsson\3d2c6036,se SWE,DF,Halmstad,24,1996,29.7,0,3,1,33.3,0.1,0.03,0,0,,0,0,Matches
Leo Bengtsson\25cde772,se SWE,MFFW,Häcken,22,1998,23.5,6,61,15,24.6,2.59,0.64,0.1,0.4,,0,0,Matches
Moustafa Benshi\3293de09,sy SYR,MF,Kalmar,19,2002,0.1,0,0,0,,0,0,,,,0,0,Matches
Marcus Berg\b39bf63f,se SWE,FW,Göteborg,34,1986,17.7,10,52,25,48.1,2.95,1.42,0.19,0.4,,0,0,Matches
Oliver Berg\6053df96,no NOR,FWMF,Kalmar,27,1993,28.9,12,57,19,33.3,1.98,0.66,0.16,0.47,,3,3,Matches
Gustav Berggren\b8103669,se SWE,MF,Häcken,23,1997,26.4,1,25,5,20,0.95,0.19,0.04,0.2,,0,0,Matches
Niclas Bergmark\ac907675,se SWE,DF,Örebro,19,2002,5.8,0,3,0,0,0.52,0,0,,,0,0,Matches
Doug Bergqvist\73221bb0,se SWE,DF,Kalmar,27,1993,14.1,1,3,2,66.7,0.21,0.14,0.33,0.5,,0,0,Matches
Jacob Bergström\665d3deb,se SWE,FW,Mjällby,25,1995,25.3,9,52,24,46.2,2.05,0.95,0.17,0.38,,0,0,Matches
Alexander Bernhardsson\dea1d183,se SWE,FWMF,Elfsborg,22,1998,8.9,4,26,11,42.3,2.92,1.24,0.15,0.36,,0,0,Matches
Alexander Berntsson\8b08c8d3,se SWE,DF,Halmstad,24,1996,2.5,0,6,2,33.3,2.44,0.81,0,0,,0,0,Matches
Johan Bertilsson\52c3464a,se SWE,FWMF,Degerfors,32,1988,20.7,8,43,20,46.5,2.07,0.96,0.12,0.25,,3,3,Matches
Nahir Besara\2fadcd15,se SWE,MFFW,Örebro,29,1991,16.6,4,39,10,25.6,2.35,0.6,0.08,0.3,,1,1,Matches
Egzon Binaku\63a304f3,al ALB,DF,Norrköping,25,1995,0,0,0,0,,0,0,,,,0,0,Matches
Jon Birkfeldt\c0ded652,se SWE,DF,Varberg,24,1996,9.7,0,6,0,0,0.62,0,0,,,0,0,Matches
Veljko Birman?evi?\636247ca,rs SRB,MFFW,Malmö,22,1998,21.8,9,91,30,33,4.18,1.38,0.1,0.3,,0,0,Matches
Aron Bjarnason\a6e092ea,is ISL,FW,Sirius,25,1995,0.2,0,2,0,0,9,0,0,,,0,0,Matches
Jóhannes Bjarnason\481ac871,is ISL,MF,Norrköping,15,2005,0.1,0,0,0,,0,0,,,,0,0,Matches
Mattias Bjärsmyr\15927d77,se SWE,DF,Göteborg,35,1986,29.1,1,10,1,10,0.34,0.03,0.1,1,,0,0,Matches
Carl Björk\3b2bdc7e,se SWE,FWMF,Norrköping,21,2000,19.3,7,37,15,40.5,1.92,0.78,0.19,0.47,,0,0,Matches
Eric Björkander\141935d3,se SWE,DF,Mjällby,24,1996,11,1,13,8,61.5,1.18,0.73,0.08,0.13,,0,0,Matches
