Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Taha Abdi Ali\da4b8a4e,se SWE,FW,Örebro,22,1998,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ishaq Abdulrazak\4d2d7ea5,ng NGA,MF,Norrköping,18,2002,30,30,2625,29.2,0,5,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
Sargon Abraham\447ca633,se SWE,FWMF,Degerfors,29,1991,18,9,796,8.8,0,1,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
Peter Abrahamsson\40e57039,se SWE,GK,Häcken,32,1988,21,21,1890,21,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Malik Abubakari\47aaf574,gh GHA,FW,Malmö,20,2000,15,5,543,6,3,1,3,0,0,4,0,0.5,0.17,0.66,0.5,0.66,Matches
David Accam\f5220ece,gh GHA,FWMF,Hammarby,30,1990,13,4,461,5.1,1,1,1,0,0,2,0,0.2,0.2,0.39,0.2,0.39,Matches
Bénie Adama Traore\77816c91,ci CIV,MFFW,Häcken,18,2002,27,12,1327,14.7,3,3,3,0,0,1,0,0.2,0.2,0.41,0.2,0.41,Matches
Samuel Adegbenro\884a8908,ng NGA,FWMF,Norrköping,25,1995,30,25,2328,25.9,17,2,17,0,0,3,0,0.66,0.08,0.73,0.66,0.73,Matches
Albion Ademi\424471b0,al ALB,FW,Djurgården,21,1999,8,0,101,1.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Simon Adjei\f77dcf95,se SWE,FW,Varberg,27,1993,24,10,1028,11.4,4,2,3,1,1,0,0,0.35,0.18,0.53,0.26,0.44,Matches
Yannick Adjoumani\ba6a293e,ci CIV,DF,Häcken,18,2002,3,0,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Viktor Agardius\111d66b2,se SWE,DFMF,Norrköping,31,1989,24,23,1908,21.2,1,3,1,0,0,4,0,0.05,0.14,0.19,0.05,0.19,Matches
August Ahlin\eac46b2b,se SWE,GK,Sirius,23,1997,9,9,810,9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Erik Ahlstrand\f6b692c0,se SWE,MF,Halmstad,19,2001,18,4,470,5.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Amar Ahmed\22396615,se SWE,MF,AIK Stockholm,16,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Anel Ahmedhodzic\eab957a3,ba BIH,DF,Malmö,21,1999,25,25,2250,25,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches
Hosam Aiesh\9d01ec0f,sy SYR,MF,Göteborg,25,1995,23,18,1512,16.8,2,4,2,0,0,3,0,0.12,0.24,0.36,0.12,0.36,Matches
Noah Alexandersson\6caf5840,se SWE,MF,Göteborg,19,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oliver Alfonsi\63cf1a8a,se SWE,MFFW,Varberg,17,2003,15,5,475,5.3,1,0,1,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches
Hussein Ali\b8a919ad,se SWE,DFMF,Örebro,18,2002,27,19,1630,18.1,0,2,0,0,0,3,0,0,0.11,0.11,0,0.11,Matches
Bobby Allain\8870154f,fr FRA,GK,Örebro,29,1991,23,23,2070,23,0,0,0,0,0,4,0,0,0,0,0,0,Matches
