Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Bilal Hussein\aff07507,se SWE,MF,20,30,30,2636,29.3,1,1,1,0,0,2,0,0.03,0.03,0.07,0.03,0.07,Matches
Sotirios Papagiannopoulos\da617483,se SWE,DF,30,29,29,2594,28.8,2,0,2,0,0,5,0,0.07,0,0.07,0.07,0.07,Matches
Eric Ouma\0c9b07a7,ke KEN,DF,24,29,29,2593,28.8,1,5,1,0,0,4,0,0.03,0.17,0.21,0.03,0.21,Matches
Nicolás Stefanelli\21a529cf,ar ARG,FWMF,26,29,28,2211,24.6,12,1,12,0,0,2,1,0.49,0.04,0.53,0.49,0.53,Matches
Mikael Lustig\54c9ed15,se SWE,DF,34,27,27,2412,26.8,0,2,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
Alexander Miloševi?\2f065e3a,se SWE,DF,29,27,26,2359,26.2,3,1,3,0,0,5,0,0.11,0.04,0.15,0.11,0.15,Matches
Seb Larsson\b26efc36,se SWE,MF,35,25,25,2209,24.5,3,8,2,1,1,12,0,0.12,0.33,0.45,0.08,0.41,Matches
Nabil Bahoui\8689dccc,se SWE,FWMF,29,27,21,1819,20.2,10,0,10,0,0,2,0,0.49,0,0.49,0.49,0.49,Matches
Zachary Elbouzedi\1a5ed92d,ie IRL,MF,22,20,18,1580,17.6,1,3,1,0,0,2,0,0.06,0.17,0.23,0.06,0.23,Matches
Henok Goitom\c3680236,er ERI,FW,36,29,17,1645,18.3,3,3,3,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches
Budimir Janoševi?\26d26396,rs SRB,GK,31,16,16,1440,16,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Kristoffer Nordfeldt\78549904,se SWE,GK,31,14,14,1260,14,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Erik Ring\9bc48002,se SWE,MF,18,17,10,818,9.1,0,3,0,0,0,1,0,0,0.33,0.33,0,0.33,Matches
Saku Ylätupa\ed87c761,fi FIN,MFFW,21,11,10,796,8.8,1,3,1,0,0,2,0,0.11,0.34,0.45,0.11,0.45,Matches
Filip Rogi?\57abcd1a,se SWE,MFDF,27,16,8,772,8.6,2,0,2,0,0,1,0,0.23,0,0.23,0.23,0.23,Matches
Bojan Radulovic\cbeed9e6,rs SRB,FW,21,26,6,710,7.9,3,1,3,0,0,1,0,0.38,0.13,0.51,0.38,0.51,Matches
Ebenezer Ofori\a5d77c4e,gh GHA,MFDF,25,16,4,435,4.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Tom Strannegard\e2da3e4e,se SWE,MFDF,18,14,3,362,4,1,1,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5,Matches
Yasin Ayari\f173303a,se SWE,MF,17,12,3,300,3.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Per Karlsson\766caf38,se SWE,DF,35,8,2,206,2.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Eric Kahl\e44381c2,se SWE,DF,19,3,2,188,2.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Stefan Silva\86cad0e9,se SWE,MF,30,5,1,156,1.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jetmir Haliti\7a381b1f,se SWE,DF,24,4,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Amar Ahmed\22396615,se SWE,MF,16,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rasmus Bonde\7e9dd95e,se SWE,DF,17,0,0,,,,,,,,,,,,,,,Matches
Samuel Dahl\bbe7d20b,se SWE,MF,20,0,0,,,,,,,,,,,,,,,Matches
Ahmad Faqa\0f5c93cc,se SWE,MF,18,0,0,,,,,,,,,,,,,,,Matches
Jakob Haugaard\142741bb,dk DEN,GK,28,0,0,,,,,,,,,,,,,,,Matches
Calvin Kabuye\b918d238,se SWE,MF,17,0,0,,,,,,,,,,,,,,,Matches
Felix Michel\1621858d,lb LIB,MF,26,0,0,,,,,,,,,,,,,,,Matches
Joshua Sivertsen\fe81d915,se SWE,MF,17,0,0,,,,,,,,,,,,,,,Matches
Kyriakos Stamatopoulos\0be1b70f,ca CAN,GK,41,0,0,,,,,,,,,,,,,,,Matches
