Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Victor Edvardsen\817f3a14,se SWE,FW,25,29,29,2542,28.2,14,5,13,1,1,4,1,0.5,0.18,0.67,0.46,0.64,Matches
Sebastian Ohlsson\335278f4,se SWE,DF,28,29,29,2540,28.2,0,3,0,0,0,5,0,0,0.11,0.11,0,0.11,Matches
Adam Carlén\5d2dd3fd,se SWE,MF,20,28,28,2476,27.5,1,2,1,0,0,6,1,0.04,0.07,0.11,0.04,0.11,Matches
Christos Gravius\9f10b799,se SWE,MF,23,27,27,2354,26.2,0,3,0,0,0,6,0,0,0.11,0.11,0,0.11,Matches
Oliver Ekroth\5707648e,se SWE,DF,29,26,25,2296,25.5,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches
Sean Sabetkar\bdc92001,se SWE,DF,25,26,22,1961,21.8,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Abdelrahman Saidi\c456358e,se SWE,FWMF,21,29,21,1872,20.8,4,4,4,0,0,4,0,0.19,0.19,0.38,0.19,0.38,Matches
Johan Bertilsson\52c3464a,se SWE,FWMF,32,30,21,1866,20.7,8,2,5,3,3,1,0,0.39,0.1,0.48,0.24,0.34,Matches
Erik Lindell\d2f41096,se SWE,MF,24,25,17,1541,17.1,0,2,0,0,0,2,0,0,0.12,0.12,0,0.12,Matches
Anton Kralj\d935c83b,se SWE,MF,22,20,16,1330,14.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ismael Diawara\a9107589,ml MLI,GK,26,13,13,1170,13,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Alfie Whiteman\3f2587ee,eng ENG,GK,22,13,13,1170,13,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Gustav Granath\52cf894f,se SWE,DFMF,23,18,12,1038,11.5,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
Ferhad Ayaz\bcdad511,se SWE,MF,26,14,11,740,8.2,1,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,Matches
Axel Lindahl\eee8bff2,se SWE,MF,25,15,10,809,9,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
Sargon Abraham\447ca633,se SWE,FWMF,29,18,9,796,8.8,0,1,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
Nikola ?ur?i?\e61406e4,rs SRB,FW,34,11,8,727,8.1,2,1,2,0,0,3,0,0.25,0.12,0.37,0.25,0.37,Matches
Daniel Janevski\ee722e58,se SWE,DF,28,6,5,470,5.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Villiam Dahlström\9f95d007,se SWE,FW,23,21,4,593,6.6,2,0,2,0,0,1,0,0.3,0,0.3,0.3,0.3,Matches
Justin Salmon\7edc50a0,lr LBR,MF,22,8,4,371,4.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jeffrey Gal\a689bb06,se SWE,GK,27,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jonathan Tamimi\bdd2c16c,jo JOR,MFDF,26,18,2,488,5.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Adhavan Rajamohan\8282fc56,se SWE,FW,27,10,0,74,0.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Nicklas Maripuu\873155c4,se SWE,MF,28,3,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jakob Andersson\3e6760c0,se SWE,MF,18,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Hugo Claesson\5bfca104,se SWE,GK,18,0,0,,,,,,,,,,,,,,,Matches
Karl Serrano\31ca92b4,se SWE,GK,17,0,0,,,,,,,,,,,,,,,Matches
Christoffer Wiktorsson\8257a77b,se SWE,DF,31,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
