Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Magnus Eriksson\5571f8b5,se SWE,MF,30,30,30,2700,30,5,13,5,0,2,2,0,0.17,0.43,0.6,0.17,0.6,Matches
Edward Chilufya\b7b27de0,zm ZAM,FW,21,29,29,2314,25.7,8,3,8,0,0,1,0,0.31,0.12,0.43,0.31,0.43,Matches
Elliot Käck\e8f80c49,se SWE,DF,31,28,28,2520,28,0,3,0,0,0,3,0,0,0.11,0.11,0,0.11,Matches
Jacob Une Larsson\b45672e0,se SWE,DF,26,28,28,2374,26.4,3,0,3,0,0,5,0,0.11,0,0.11,0.11,0.11,Matches
Hampus Finndell\5afc236c,se SWE,MF,20,26,26,2184,24.3,3,0,3,0,0,5,0,0.12,0,0.12,0.12,0.12,Matches
Rasmus Schüller\0e624c72,fi FIN,MF,29,26,26,2121,23.6,0,1,0,0,0,7,1,0,0.04,0.04,0,0.04,Matches
Hjalmar Ekdal\3d554589,se SWE,DF,22,26,25,2234,24.8,4,0,4,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches
Kalle Holmberg\1b7acd94,se SWE,FW,27,24,21,1524,16.9,2,4,2,0,0,3,0,0.12,0.24,0.35,0.12,0.35,Matches
Haris Radetinac\76c24535,ba BIH,FWDF,35,29,20,1885,20.9,3,4,3,0,0,1,0,0.14,0.19,0.33,0.14,0.33,Matches
Jacob Zetterström\ac5120d8,se SWE,GK,22,19,19,1710,19,0,1,0,0,0,1,0,0,0.05,0.05,0,0.05,Matches
Nicklas Bärkroth\7635ba42,se SWE,FW,29,28,17,1502,16.7,4,4,4,0,0,0,0,0.24,0.24,0.48,0.24,0.48,Matches
Aslak Witry\3f30f12a,no NOR,DF,24,14,14,1260,14,5,1,3,2,2,2,0,0.36,0.07,0.43,0.21,0.29,Matches
Jesper Löfgren\c02fedde,se SWE,DF,23,24,11,1308,14.5,1,0,1,0,0,1,0,0.07,0,0.07,0.07,0.07,Matches
Joel Asoro\13e827f8,se SWE,FW,21,26,11,1002,11.1,3,2,3,0,0,1,0,0.27,0.18,0.45,0.27,0.45,Matches
Aleksandr Vasyutin\61911828,ru RUS,GK,25,10,10,835,9.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Emmanuel Banda\e0fdefca,zm ZAM,MFFW,23,22,5,700,7.8,4,0,4,0,0,2,0,0.51,0,0.51,0.51,0.51,Matches
Jesper Nyholm\ea8cf8bb,ph PHI,DF,27,10,4,368,4.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Curtis Edwards\3480cb6b,eng ENG,MF,27,7,4,331,3.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Leo Cornic\b3f8e966,no NOR,DF,20,7,1,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tommi Vaiho\8610da59,se SWE,GK,32,2,1,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Emir Kujovi?\f120942c,se SWE,FW,32,11,0,179,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Albion Ademi\424471b0,al ALB,FW,21,8,0,101,1.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Elias Andersson\d0d3bcc7,se SWE,MF,25,2,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Isak Hien\12806697,se SWE,DF,22,5,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
David Celic\7dec0efa,se SWE,GK,17,0,0,,,,,,,,,,,,,,,Matches
Melker Jonsson\00ac1b19,se SWE,DF,18,0,0,,,,,,,,,,,,,,,Matches
