Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jeppe Okkels\c3b0f15f,dk DEN,FWMF,21,30,30,2078,23.1,8,1,8,0,0,1,0,0.35,0.04,0.39,0.35,0.39,Matches
André Rømer\fa6d26d9,dk DEN,MF,27,27,27,2346,26.1,1,3,0,1,1,9,0,0.04,0.12,0.15,0,0.12,Matches
Simon Strand\2df964cf,se SWE,DF,27,26,26,2281,25.3,0,2,0,0,0,6,1,0,0.08,0.08,0,0.08,Matches
Tim Rönning\8e833ce2,se SWE,GK,21,25,25,2238,24.9,0,0,0,0,0,3,1,0,0,0,0,0,Matches
Johan Larsson\fe006f82,se SWE,DF,30,25,25,2174,24.2,3,5,3,0,0,4,0,0.12,0.21,0.33,0.12,0.33,Matches
Per Frick\374368f1,se SWE,FW,28,27,25,2086,23.2,8,7,8,0,1,7,0,0.35,0.3,0.65,0.35,0.65,Matches
Frederik Holst\7f32741e,dk DEN,MF,26,26,25,1973,21.9,1,4,1,0,0,8,1,0.05,0.18,0.23,0.05,0.23,Matches
Leo Väisänen\93b56ba5,fi FIN,DF,23,23,23,2046,22.7,3,1,3,0,0,3,0,0.13,0.04,0.18,0.13,0.18,Matches
Maudo Jarjué\d4945a62,gm GAM,DF,23,19,19,1623,18,1,0,1,0,0,1,1,0.06,0,0.06,0.06,0.06,Matches
Christopher McVey\149d8165,se SWE,DF,23,23,17,1617,18,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Rasmus Alm\78506575,se SWE,FWMF,25,24,17,1495,16.6,6,2,6,0,0,4,0,0.36,0.12,0.48,0.36,0.48,Matches
Simon Olsson\0a4a1821,se SWE,MF,23,19,15,1404,15.6,2,3,2,0,0,1,0,0.13,0.19,0.32,0.13,0.32,Matches
Robert Gojani\65465292,se SWE,MF,28,15,14,1210,13.4,1,3,1,0,0,2,0,0.07,0.22,0.3,0.07,0.3,Matches
Marokhy Ndione\227691ea,se SWE,MFFW,21,22,9,959,10.7,5,3,4,1,1,4,0,0.47,0.28,0.75,0.38,0.66,Matches
Alexander Bernhardsson\dea1d183,se SWE,FWMF,22,21,7,801,8.9,4,3,4,0,0,2,0,0.45,0.34,0.79,0.45,0.79,Matches
Jacob Ondrejka\752e09ed,se SWE,MF,18,28,6,802,8.9,3,1,3,0,0,0,0,0.34,0.11,0.45,0.34,0.45,Matches
Joseph Okumu\039f1983,ke KEN,DF,23,7,6,536,6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Hákon Rafn Valdimarsson\7e76b78b,is ISL,GK,19,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oliver Zandén\72d4922b,se SWE,DF,19,5,4,379,4.2,0,1,0,0,0,1,0,0,0.24,0.24,0,0.24,Matches
Samuel Holmén\a54bb0fb,se SWE,MF,36,23,2,492,5.5,1,0,0,1,1,5,0,0.18,0,0.18,0,0,Matches
Emmanuel Boateng\efad6707,gh GHA,MF,23,4,2,148,1.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Sveinn Guðjohnsen\6a7bdb3f,is ISL,FW,22,11,1,155,1.7,3,0,3,0,0,1,1,1.74,0,1.74,1.74,1.74,Matches
Ahmed Qasem\27219ecb,se SWE,MF,17,6,0,119,1.3,0,1,0,0,0,0,0,0,0.76,0.76,0,0.76,Matches
Noah Söderberg\23562628,se SWE,MF,19,6,0,86,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Gustaf Lagerbielke\9e39fa2d,se SWE,DF,20,2,0,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jack Cooper Love\0b6360b0,se SWE,FW,19,6,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gustav Broman\8565576d,se SWE,DF,19,0,0,,,,,,,,,,,,,,,Matches
Mathias Dyngeland\00a0b181,no NOR,GK,25,0,0,,,,,,,,,,,,,,,Matches
Ludvig Målberg\f21b61cc,se SWE,GK,18,0,0,,,,,,,,,,,,,,,Matches
