Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Mattias Bjärsmyr\15927d77,se SWE,DF,35,30,30,2620,29.1,1,0,1,0,0,2,0,0.03,0,0.03,0.03,0.03,Matches
Alexander Jallow\b04dff15,se SWE,DFMF,22,30,30,2591,28.8,1,3,1,0,0,2,0,0.03,0.1,0.14,0.03,0.14,Matches
Tobias Sana\52a7bcfe,se SWE,MFFW,31,29,29,2598,28.9,7,6,4,3,5,1,0,0.24,0.21,0.45,0.14,0.35,Matches
Giannis Anestis\d3149135,gr GRE,GK,29,28,28,2520,28,0,0,0,0,0,0,0,0,0,0,0,0,Matches
August Erlingmark\ab54f943,se SWE,MFDF,22,25,22,2007,22.3,1,0,1,0,0,8,0,0.04,0,0.04,0.04,0.04,Matches
Gustav Svensson\733713ef,se SWE,MF,33,19,19,1661,18.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Marcus Berg\b39bf63f,se SWE,FW,34,18,18,1589,17.7,10,2,10,0,0,3,0,0.57,0.11,0.68,0.57,0.68,Matches
Carl Johansson\02f7a79a,se SWE,DF,26,18,18,1571,17.5,2,0,2,0,0,6,0,0.11,0,0.11,0.11,0.11,Matches
Hosam Aiesh\9d01ec0f,sy SYR,MF,25,23,18,1512,16.8,2,4,2,0,0,3,0,0.12,0.24,0.36,0.12,0.36,Matches
Kolbeinn Sigþórsson\adf825b9,is ISL,FW,30,17,16,1359,15.1,4,3,4,0,0,1,0,0.26,0.2,0.46,0.26,0.46,Matches
Oscar Wendt\b69261a0,se SWE,DF,35,15,15,1338,14.9,2,3,2,0,0,1,0,0.13,0.2,0.34,0.13,0.34,Matches
Sebastian Eriksson\35d76360,se SWE,MFDF,32,16,14,1147,12.7,1,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,Matches
Simon Thern\3933becd,se SWE,MF,28,19,12,1203,13.4,1,2,1,0,0,2,0,0.07,0.15,0.22,0.07,0.22,Matches
Gustaf Norlin\f4b1ae84,se SWE,MF,24,23,9,1000,11.1,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
Oscar Wilhelmsson\e7f4869a,se SWE,FW,17,14,9,781,8.7,2,1,2,0,0,0,0,0.23,0.12,0.35,0.23,0.35,Matches
Alhassan Yusuf\0de73fa4,ng NGA,MF,20,10,9,762,8.5,0,2,0,0,0,0,0,0,0.24,0.24,0,0.24,Matches
Kevin Yakob\18d3b8df,se SWE,MFFW,20,23,8,931,10.3,2,1,2,0,0,2,0,0.19,0.1,0.29,0.19,0.29,Matches
Jesper Tolinsson\1a5fa6a3,se SWE,DF,17,8,8,702,7.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marek Hamšík\e6ad16b2,sk SVK,MF,33,6,5,441,4.9,1,1,1,0,0,0,0,0.2,0.2,0.41,0.2,0.41,Matches
Bernardo Jeronimo\b611d0d6,br BRA,DF,22,6,5,354,3.9,1,0,1,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches
Yahya Kalley\b1120985,se SWE,DF,19,8,3,290,3.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Robin Söder\9ecca9b5,se SWE,FW,29,16,2,284,3.2,2,0,2,0,0,0,0,0.63,0,0.63,0.63,0.63,Matches
Adam Benediktsson\8be7e8db,is ISL,GK,18,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pontus Wernbloom\d7398ac3,se SWE,MF,34,6,1,137,1.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Filip Ambroz\493dff05,hr CRO,MF,17,6,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Isak Dahlqvist\19965b27,se SWE,FW,19,3,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Noah Alexandersson\6caf5840,se SWE,MF,19,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lucas Kåhed\76b131a9,se SWE,MF,18,0,0,,,,,,,,,,,,,,,Matches
Hannes Lennartsson\389463be,se SWE,DF,18,0,0,,,,,,,,,,,,,,,Matches
Alfons Nygaard\18ea772e,se SWE,FW,18,0,0,,,,,,,,,,,,,,,Matches
Ole Söderberg\3fb2bb70,se SWE,GK,30,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
