Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Andreas Johansson\49a0c4f9,se SWE,DF,38,30,30,2700,30,1,0,1,0,0,2,0,0.03,0,0.03,0.03,0.03,Matches
Andreas Bengtsson\3d2c6036,se SWE,DF,24,30,30,2675,29.7,0,2,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
Malkolm Nilsson\5662e81f,se SWE,GK,27,29,29,2610,29,0,1,0,0,0,1,0,0,0.03,0.03,0,0.03,Matches
Amir Al Ammari\9f65be73,iq IRQ,MF,23,29,29,2609,29,3,0,3,0,0,5,0,0.1,0,0.1,0.1,0.1,Matches
Joel Allansson\097e650b,se SWE,MF,28,29,29,2580,28.7,0,1,0,0,0,3,0,0,0.03,0.03,0,0.03,Matches
Joseph Baffo\ee18a2b7,se SWE,DF,28,28,28,2512,27.9,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Edvin Kurtulus\5b136c33,xk KVX,DF,20,29,27,2381,26.5,0,2,0,0,0,5,0,0,0.08,0.08,0,0.08,Matches
Marcus Antonsson\ba3378a5,se SWE,FW,29,27,27,2279,25.3,6,0,4,2,2,0,0,0.24,0,0.24,0.16,0.16,Matches
Sadat Karim\caae2e5c,gh GHA,FW,29,30,21,1935,21.5,5,2,5,0,0,0,0,0.23,0.09,0.33,0.23,0.33,Matches
Samuel Kroon\1ff9d55f,se SWE,MF,24,22,21,1757,19.5,2,0,2,0,1,1,0,0.1,0,0.1,0.1,0.1,Matches
Thomas Boakye\241bcd55,gh GHA,MFDF,27,22,14,1362,15.1,0,2,0,0,0,2,1,0,0.13,0.13,0,0.13,Matches
Emil Töt Wikström\c5151b67,se SWE,MF,21,28,13,1249,13.9,1,0,1,0,0,1,0,0.07,0,0.07,0.07,0.07,Matches
Mikael Boman\975410dc,se SWE,FW,32,24,12,1096,12.2,2,1,2,0,0,0,0,0.16,0.08,0.25,0.16,0.25,Matches
Simon Lundevall\796d1e97,se SWE,MF,32,22,12,1034,11.5,0,2,0,0,0,3,0,0,0.17,0.17,0,0.17,Matches
Erik Ahlstrand\f6b692c0,se SWE,MF,19,18,4,470,5.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Alexander Berntsson\8b08c8d3,se SWE,DF,24,11,2,221,2.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Malte Påhlsson\cacfa97f,se SWE,GK,21,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Phil Ofosu-Ayeh\57467297,gh GHA,DF,29,1,1,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alexander Johansson\835023a5,se SWE,FW,21,7,0,97,1.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Dusan Djuri?\b7d4b2d5,se SWE,MF,36,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Albin Binnefors\85f1e878,se SWE,FW,16,0,0,,,,,,,,,,,,,,,Matches
Pontus Carlsson\57e80a71,se SWE,MF,16,0,0,,,,,,,,,,,,,,,Matches
Kasper Karlsson\fb439503,se SWE,FW,20,0,0,,,,,,,,,,,,,,,Matches
Isac Larsson\afd26084,se SWE,DF,19,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
