Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Godswill Ekpolo\9f74c39b,ng NGA,DFMF,25,29,29,2584,28.7,3,2,3,0,0,4,0,0.1,0.07,0.17,0.1,0.17,Matches
Gustav Berggren\b8103669,se SWE,MF,23,27,27,2374,26.4,1,5,1,0,0,8,0,0.04,0.19,0.23,0.04,0.23,Matches
Leo Bengtsson\25cde772,se SWE,MFFW,22,28,26,2117,23.5,6,1,6,0,0,7,0,0.26,0.04,0.3,0.26,0.3,Matches
Alexander Jeremejeff\54394643,se SWE,FW,27,27,25,2235,24.8,11,3,6,5,5,2,0,0.44,0.12,0.56,0.24,0.36,Matches
Joona Toivio\2794a536,fi FIN,DF,32,25,24,2031,22.6,1,0,1,0,0,2,0,0.04,0,0.04,0.04,0.04,Matches
Patrik Wålemark\7d7660da,se SWE,MFFW,19,29,23,1965,21.8,9,7,9,0,0,3,0,0.41,0.32,0.73,0.41,0.73,Matches
Peter Abrahamsson\40e57039,se SWE,GK,32,21,21,1890,21,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Tobias Karlsson\29f54da0,se SWE,DFMF,25,20,19,1707,19,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Johan Hammar\9dc0fa97,se SWE,DF,26,24,19,1656,18.4,0,1,0,0,0,7,2,0,0.05,0.05,0,0.05,Matches
Alexander Faltsetas\55fe5670,se SWE,MF,33,24,15,1453,16.1,0,0,0,0,0,8,0,0,0,0,0,0,Matches
Kristoffer Hansen\9e3e5d05,dk DEN,DFMF,18,15,15,1266,14.1,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
Tobias Heintz\a69cf944,no NOR,MFFW,22,18,15,1252,13.9,2,1,2,0,0,2,0,0.14,0.07,0.22,0.14,0.22,Matches
Erik Friberg\3eaa3f36,se SWE,MF,34,15,13,1015,11.3,0,2,0,0,0,6,0,0,0.18,0.18,0,0.18,Matches
Bénie Adama Traore\77816c91,ci CIV,MFFW,18,27,12,1327,14.7,3,3,3,0,0,1,0,0.2,0.2,0.41,0.2,0.41,Matches
Martin Olsson\2f72f79e,se SWE,DF,32,10,10,784,8.7,1,2,1,0,0,3,1,0.11,0.23,0.34,0.11,0.34,Matches
Pontus Dahlberg\2475b06e,se SWE,GK,22,8,8,720,8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rasmus Lindgren\5b18ad03,se SWE,DFMF,36,11,8,715,7.9,1,0,1,0,0,3,0,0.13,0,0.13,0.13,0.13,Matches
Jasse Tuominen\aaee68f1,fi FIN,FWMF,25,14,7,631,7,1,0,1,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
Oskar Sverrisson\5354a2a3,is ISL,DF,28,16,3,441,4.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Daleho Irandust\371c77c6,se SWE,MF,22,7,3,338,3.8,2,1,2,0,0,2,0,0.53,0.27,0.8,0.53,0.8,Matches
Ali Youssef\2e820983,tn TUN,FW,20,7,3,274,3,2,0,2,0,0,0,0,0.66,0,0.66,0.66,0.66,Matches
Valgeir Lunddal Friðriksson\3945764e,is ISL,DF,19,8,2,243,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Samuel Gustafson\b1e61f23,se SWE,MF,26,4,2,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Johan Brattberg\3906ff9b,se SWE,GK,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Franklin Tebo\b37c5951,ng NGA,DF,21,5,0,176,2,0,1,0,0,0,0,0,0,0.51,0.51,0,0.51,Matches
Samir Maarouf\ae5ecaf7,se SWE,MF,20,7,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yannick Adjoumani\ba6a293e,ci CIV,DF,18,3,0,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nasiru Mohammed\082028fe,gh GHA,FWMF,26,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
William Milovanovic\b3b7a592,se SWE,MF,18,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sebastian Lagerlund\3de5c9a7,se SWE,MF,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Leonardo Farah Shahin\563c7bda,se SWE,FW,17,0,0,,,,,,,,,,,,,,,Matches
Jack Lahne\07f73a4f,se SWE,FW,19,0,0,,,,,,,,,,,,,,,Matches
Alexander Nadj\1b967b3a,se SWE,GK,34,0,0,,,,,,,,,,,,,,,Matches
Jonathan Rasheed\30b7d942,no NOR,GK,29,0,0,,,,,,,,,,,,,,,Matches
