Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Max Watson\18d95619,se SWE,DF,24,29,29,2605,28.9,0,1,0,0,0,3,0,0,0.03,0.03,0,0.03,Matches
Kadir Hodzic\2cf7a1e8,se SWE,MF,26,29,29,2492,27.7,2,3,1,1,1,5,0,0.07,0.11,0.18,0.04,0.14,Matches
Joel Nilsson\6e5e4890,se SWE,MF,26,30,27,2401,26.7,5,5,5,0,0,2,0,0.19,0.19,0.37,0.19,0.37,Matches
Jesper Gustavsson\34376913,se SWE,MFFW,26,28,26,2217,24.6,0,2,0,0,0,8,0,0,0.08,0.08,0,0.08,Matches
Jacob Bergström\665d3deb,se SWE,FW,25,29,24,2280,25.3,9,2,9,0,0,3,0,0.36,0.08,0.43,0.36,0.43,Matches
Ivan Kri?ak\1f490a0c,rs SRB,DF,24,24,23,1958,21.8,0,0,0,0,0,8,1,0,0,0,0,0,Matches
Carljohan Eriksson\058b630f,fi FIN,GK,25,20,20,1800,20,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Viktor Gustafsson\385c6006,se SWE,MF,25,27,19,1603,17.8,0,1,0,0,0,6,0,0,0.06,0.06,0,0.06,Matches
David Löfquist\ccbf0746,se SWE,MFFW,34,25,19,1600,17.8,0,4,0,0,1,5,0,0,0.23,0.23,0,0.23,Matches
Amin Sarr\d5326924,se SWE,FW,19,19,18,1480,16.4,8,1,7,1,1,2,0,0.49,0.06,0.55,0.43,0.49,Matches
Carlos Moros Garcia\defa2ae9,es ESP,DF,27,17,16,1462,16.2,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches
Elias Andersson\d0d3bcc7,se SWE,MF,25,16,15,1227,13.6,1,2,1,0,0,1,0,0.07,0.15,0.22,0.07,0.22,Matches
Enoch Kofi Adu\8f43c32d,gh GHA,MF,30,19,12,911,10.1,0,1,0,0,0,3,1,0,0.1,0.1,0,0.1,Matches
Eric Björkander\141935d3,se SWE,DF,24,11,11,990,11,1,0,1,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
Andreas Blomqvist\ad454818,se SWE,MFFW,28,26,10,1080,12,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
Samuel Brolin\82fdcbec,se SWE,GK,20,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mamudo Moro\79c65b89,gh GHA,FW,25,27,8,821,9.1,6,1,6,0,0,2,0,0.66,0.11,0.77,0.66,0.77,Matches
Daan Klinkenberg\5c48912b,nl NED,DF,25,7,6,513,5.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Magnus Wørts\d9a29c01,dk DEN,DF,21,10,5,557,6.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Noah Persson\8830d81d,se SWE,MF,17,10,1,194,2.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sam Johnson\c423d845,lr LBR,FW,27,5,1,88,1,1,0,1,0,0,0,0,1.02,0,1.02,1.02,1.02,Matches
Otto Rosengren\1c6f0559,,MF,,2,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Taylor Silverholt\868b9f43,se SWE,FW,19,6,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Herman Johansson\6f864562,se SWE,FW,23,7,0,86,1,0,1,0,0,0,1,0,0,1.05,1.05,0,1.05,Matches
Adam Petersson\f94ed56a,se SWE,MF,20,5,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Josip Filipovic\28a57f0e,hr CRO,DF,24,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Neftali Manzambi\da2ced9c,ao ANG,MF,23,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ludvig Carlius\7c605365,se SWE,MF,19,1,0,13,0.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Marc Tokich\6870f080,au AUS,MF,21,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
