Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Oscar Jansson\a33c4ee2,se SWE,GK,30,30,30,2700,30,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alexander Fransson\2e85c59c,se SWE,MF,26,30,30,2659,29.5,0,1,0,0,0,2,0,0,0.03,0.03,0,0.03,Matches
Ishaq Abdulrazak\4d2d7ea5,ng NGA,MF,18,30,30,2625,29.2,0,5,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
Linus Wahlqvist\15a7b2f3,se SWE,DF,24,28,28,2478,27.5,3,5,3,0,0,2,0,0.11,0.18,0.29,0.11,0.29,Matches
Samuel Adegbenro\884a8908,ng NGA,FWMF,25,30,25,2328,25.9,17,2,17,0,0,3,0,0.66,0.08,0.73,0.66,0.73,Matches
Marco Lund\9841dc99,dk DEN,DF,24,26,23,2007,22.3,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Viktor Agardius\111d66b2,se SWE,DFMF,31,24,23,1908,21.2,1,3,1,0,0,4,0,0.05,0.14,0.19,0.05,0.19,Matches
Henrik Castegren\ba20d6d1,se SWE,DF,24,27,22,2005,22.3,1,2,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,Matches
Jonathan Levi\abcfaa50,se SWE,FWMF,25,27,22,1969,21.9,2,6,1,1,1,2,0,0.09,0.27,0.37,0.05,0.32,Matches
Carl Björk\3b2bdc7e,se SWE,FWMF,21,26,19,1734,19.3,7,2,7,0,0,0,0,0.36,0.1,0.47,0.36,0.47,Matches
Ari Freyr Skúlason\cce93ecd,is ISL,MFDF,33,23,17,1566,17.4,2,2,2,0,0,4,0,0.11,0.11,0.23,0.11,0.23,Matches
Ísak Jóhannesson\c16c4e3b,is ISL,MF,17,15,15,1302,14.5,2,4,2,0,0,3,0,0.14,0.28,0.41,0.14,0.41,Matches
Kristoffer Khazeni\8b2e1b87,se SWE,MFFW,25,20,11,896,10,1,2,1,0,0,2,0,0.1,0.2,0.3,0.1,0.3,Matches
Christoffer Nyman\f9e3ef15,se SWE,FW,28,16,9,875,9.7,5,0,5,0,1,1,0,0.51,0,0.51,0.51,0.51,Matches
Maic Sema\de78cee4,se SWE,FWMF,32,23,7,634,7,2,0,2,0,0,0,0,0.28,0,0.28,0.28,0.28,Matches
Sead Haksabanovi?\d2fd7c14,me MNE,FWMF,21,7,7,630,7,0,4,0,0,0,1,0,0,0.57,0.57,0,0.57,Matches
Christopher Telo\35e05d5b,se SWE,MFDF,31,21,6,695,7.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Theodore Rask\d73d430b,se SWE,DF,20,9,2,245,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dino Salihovic\3be274de,se SWE,MF,18,6,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yahav Gurfinkel\e93d8d1a,il ISR,MF,22,6,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kevin Álvarez\049682ea,hn HON,MF,24,2,1,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lucas Lima\e6d8cd15,se SWE,FW,18,5,0,106,1.2,1,0,1,0,0,1,0,0.85,0,0.85,0.85,0.85,Matches
Manasse Kusu\b18a497e,se SWE,DF,19,3,0,26,0.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Emanuel Chabo\454ad0bd,se SWE,FW,18,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jóhannes Bjarnason\481ac871,is ISL,MF,15,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Egzon Binaku\63a304f3,al ALB,DF,25,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Edvin Tellgren\d113077c,se SWE,DF,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Julius Lindgren\28b6e0f2,se SWE,GK,23,0,0,,,,,,,,,,,,,,,Matches
Finnur Tómas Pálmason\878e2662,is ISL,DF,19,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
