Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Christian Kouakou\32f1bc0f,se SWE,FW,25,30,30,2534,28.2,12,2,11,1,1,2,0,0.43,0.07,0.5,0.39,0.46,Matches
Marcus Mathisen\221a1641,dk DEN,DFMF,24,27,27,2430,27,2,2,2,0,0,5,0,0.07,0.07,0.15,0.07,0.15,Matches
Jacob Ortmark\e8f5c328,se SWE,MFFW,23,28,26,2298,25.5,4,2,4,0,0,8,0,0.16,0.08,0.23,0.16,0.23,Matches
Tim Björkström\d95042fd,se SWE,DF,30,21,21,1890,21,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Laorent Shabani\4c8ad16c,se SWE,MFDF,21,28,21,1815,20.2,1,6,1,0,0,1,0,0.05,0.3,0.35,0.05,0.35,Matches
Nahom Netabay\fc5e209e,se SWE,MFFW,26,26,21,1646,18.3,3,2,2,1,1,6,0,0.16,0.11,0.27,0.11,0.22,Matches
Joseph Colley\62e66c88,se SWE,DF,21,23,19,1790,19.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Adam Hellborg\19bb1ad8,se SWE,MF,22,24,19,1660,18.4,3,1,3,0,0,11,0,0.16,0.05,0.22,0.16,0.22,Matches
Moustafa Zeidan\eca2b6b8,se SWE,MF,22,20,17,1561,17.3,3,1,3,0,0,0,0,0.17,0.06,0.23,0.17,0.23,Matches
David Mitov Nilsson\34829444,mk MKD,GK,30,17,17,1530,17,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dennis Widgren\512a52c6,se SWE,MFDF,26,18,16,1388,15.4,0,3,0,0,0,2,0,0,0.19,0.19,0,0.19,Matches
Adam Ståhl\840207c9,se SWE,MFDF,26,24,15,1592,17.7,4,2,4,0,0,3,0,0.23,0.11,0.34,0.23,0.34,Matches
Yukiya Sugita\8f7e132f,jp JPN,FWMF,27,17,15,1129,12.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jamie Roche\dbdbddb0,se SWE,DFMF,19,22,14,1309,14.5,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
Patrick Nwadike\b2cbe3ad,se SWE,DF,22,11,10,813,9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
August Ahlin\eac46b2b,se SWE,GK,23,9,9,810,9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Axel Björnström\8db38187,se SWE,MFDF,25,9,9,810,9,0,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
Johan Karlsson\03ee1876,se SWE,MFDF,23,22,8,695,7.7,1,1,1,0,0,1,0,0.13,0.13,0.26,0.13,0.26,Matches
Edi Sylisufaj\dc84aa79,se SWE,FWMF,20,15,6,587,6.5,3,1,3,0,0,2,0,0.46,0.15,0.61,0.46,0.61,Matches
Karl Larson\5329a699,se SWE,MFDF,29,21,4,433,4.8,0,1,0,0,0,0,0,0,0.21,0.21,0,0.21,Matches
Hannes Sveijer\3df2d5aa,se SWE,GK,18,5,4,361,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mohammed Saeid\49649775,er ERI,FW,30,12,2,366,4.1,1,1,1,0,0,1,0,0.25,0.25,0.49,0.25,0.49,Matches
Herman Sjögrell\f5ea4560,se SWE,FW,19,7,0,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ekin Bulut\1907a740,se SWE,FW,24,5,0,49,0.5,1,0,1,0,0,0,0,1.84,0,1.84,1.84,1.84,Matches
Adam Vikman\677889a9,se SWE,MF,17,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joakim Persson\8092f486,se SWE,FW,18,3,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aron Bjarnason\a6e092ea,is ISL,FW,25,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tim Olsson\8167c62f,se SWE,DF,16,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Karim Fegrouche\d543c870,ma MAR,GK,38,0,0,,,,,,,,,,,,,,,Matches
Noel Hansson\6c5ce344,se SWE,DF,17,0,0,,,,,,,,,,,,,,,Matches
Emil Özkan\4239e84c,se SWE,MF,17,0,0,,,,,,,,,,,,,,,Matches
Samuel Wikman\f98d3c3b,se SWE,MF,19,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
