Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Joakim Lindner\62d86cad,se SWE,DF,29,30,30,2665,29.6,1,1,1,0,0,2,0,0.03,0.03,0.07,0.03,0.07,Matches
Tashreeq Matthews\fd18e7a1,za RSA,FWMF,20,27,23,1901,21.1,5,5,5,0,0,5,0,0.24,0.24,0.47,0.24,0.47,Matches
Oliver Stanisic\b884c338,se SWE,DF,26,26,22,2049,22.8,5,0,5,0,0,4,0,0.22,0,0.22,0.22,0.22,Matches
Jean\50b5a935,br BRA,DFMF,25,23,21,1860,20.7,0,5,0,0,0,6,0,0,0.24,0.24,0,0.24,Matches
Albert Ejupi\aae04d1c,se SWE,MF,28,23,20,1714,19,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Stojan Luki?\02dd033c,ba BIH,GK,41,20,20,1712,19,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Anton Liljenbäck\bbc47841,se SWE,MFDF,25,28,19,1861,20.7,1,2,1,0,0,3,0,0.05,0.1,0.15,0.05,0.15,Matches
Luke Le Roux\e30117aa,za RSA,MF,20,26,19,1694,18.8,0,0,0,0,0,8,2,0,0,0,0,0,Matches
Robin Tranberg\c1ba89bf,se SWE,MFFW,27,25,19,1421,15.8,1,0,1,0,0,8,0,0.06,0,0.06,0.06,0.06,Matches
Hampus Zackrisson\6e784c33,se SWE,DF,26,20,17,1471,16.3,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Robin Simovi?\4a4d38ca,se SWE,FW,29,20,15,1346,15,3,0,3,0,0,5,0,0.2,0,0.2,0.2,0.2,Matches
Ryan Moon\9a712f78,za RSA,FWMF,24,25,14,1362,15.1,7,1,6,1,1,5,0,0.46,0.07,0.53,0.4,0.46,Matches
Gideon Mensah\708ee0c0,gh GHA,MFDF,20,20,14,1122,12.5,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Jon Birkfeldt\c0ded652,se SWE,DF,24,13,11,869,9.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Simon Adjei\f77dcf95,se SWE,FW,27,24,10,1028,11.4,4,2,3,1,1,0,0,0.35,0.18,0.53,0.26,0.44,Matches
Albin Winbo\2b5cd02e,se SWE,MF,23,24,9,933,10.4,1,0,1,0,0,8,0,0.1,0,0.1,0.1,0.1,Matches
Adama Fofana\c98a3b4a,ci CIV,MFDF,21,13,9,855,9.5,0,2,0,0,0,2,0,0,0.21,0.21,0,0.21,Matches
Victor Karlsson\a1e70080,se SWE,FWMF,19,18,6,600,6.7,2,3,2,0,0,1,0,0.3,0.45,0.75,0.3,0.75,Matches
Alexander Johansson\94180993,se SWE,FWMF,25,14,5,606,6.7,3,3,3,0,0,3,0,0.45,0.45,0.89,0.45,0.89,Matches
Philip Mårtensson\666bba9d,se SWE,GK,27,6,5,538,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oliver Alfonsi\63cf1a8a,se SWE,MFFW,17,15,5,475,5.3,1,0,1,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches
August Strömberg\db810c46,se SWE,GK,28,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Des Kunst\a53e8fce,nl NED,FWMF,21,8,5,361,4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Albin Mörfelt\885b817b,se SWE,MFFW,21,6,4,319,3.5,1,1,1,0,0,1,0,0.28,0.28,0.56,0.28,0.56,Matches
André Boman\5f58ba26,se SWE,MFFW,19,7,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Keanin Ayer Boya\5b5c4d01,za RSA,MF,20,3,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Montader Madjed\048293db,se SWE,FW,15,2,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daniel Krezic\1fdbc6b7,mk MKD,MF,24,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adnan Kojic\e6b1eef7,se SWE,DF,25,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Noah Johansson\4bb5e605,se SWE,DF,17,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dean Solomons\7c5d5b61,za RSA,DF,21,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Viktor Dryselius\5158fd38,se SWE,GK,17,0,0,,,,,,,,,,,,,,,Matches
Gustav Nordh\ed5d9ecd,se SWE,FW,20,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
