Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Benjamin Hjertstrand\c801ab51,se SWE,DF,27,28,26,2332,25.9,0,2,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
Bobby Allain\8870154f,fr FRA,GK,29,23,23,2070,23,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Johan Mårtensson\f160aad8,se SWE,MF,31,24,23,1878,20.9,1,1,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1,Matches
Andreas Skovgaard\43664f05,dk DEN,DF,23,23,22,1962,21.8,0,0,0,0,0,8,1,0,0,0,0,0,Matches
David Seger\9fad4bf0,se SWE,MFFW,21,29,22,1923,21.4,1,2,1,0,0,3,0,0.05,0.09,0.14,0.05,0.14,Matches
Hussein Ali\b8a919ad,se SWE,DFMF,18,27,19,1630,18.1,0,2,0,0,0,3,0,0,0.11,0.11,0,0.11,Matches
Dennis Collander\9b6a4927,se SWE,MFFW,18,21,18,1422,15.8,2,0,2,0,0,2,0,0.13,0,0.13,0.13,0.13,Matches
Nahir Besara\2fadcd15,se SWE,MFFW,29,17,17,1494,16.6,4,4,3,1,1,3,0,0.24,0.24,0.48,0.18,0.42,Matches
Kevin Walker\20701686,se SWE,MF,31,19,17,1487,16.5,0,2,0,0,0,6,0,0,0.12,0.12,0,0.12,Matches
Michael Almebäck\8f2aa8b2,se SWE,DF,32,18,16,1374,15.3,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Jiloan Hamad\a1d609ca,iq IRQ,MF,30,15,15,1288,14.3,0,1,0,0,0,2,1,0,0.07,0.07,0,0.07,Matches
Deniz Hummet\754f87d6,tr TUR,FWMF,24,15,15,1276,14.2,5,0,5,0,0,2,0,0.35,0,0.35,0.35,0.35,Matches
Kevin Wright\7aea4231,sl SLE,DF,25,15,14,1129,12.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Nasiru Moro\3af81a69,gh GHA,DF,24,13,13,1104,12.3,0,1,0,0,0,3,1,0,0.08,0.08,0,0.08,Matches
Nordin Gerzi?\acc80246,se SWE,MF,37,23,10,1148,12.8,1,0,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
Jake Larsson\f05d3bb0,se SWE,MFFW,22,21,8,893,9.9,1,0,1,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
Daniel Björnquist\903aa3e3,se SWE,DFMF,32,19,8,874,9.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Agon Mehmeti\1a79bd22,al ALB,FW,31,19,8,702,7.8,4,1,4,0,0,1,0,0.51,0.13,0.64,0.51,0.64,Matches
Romain Gall\3da8cba0,us USA,MF,26,11,8,600,6.7,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
Mergim Krasniqi\c26f9d5a,se SWE,GK,28,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Richard Friday\1034f1e2,ng NGA,MFFW,20,9,6,616,6.8,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Niclas Bergmark\ac907675,se SWE,DF,19,8,5,520,5.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Erik Björndahl\87d38e82,se SWE,FW,30,12,3,354,3.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Noel Milleskog\efd84678,se SWE,FWMF,18,8,3,317,3.5,0,1,0,0,0,0,0,0,0.28,0.28,0,0.28,Matches
Martin Broberg\ebf906a6,se SWE,FW,30,10,2,230,2.6,1,1,1,0,0,1,0,0.39,0.39,0.78,0.39,0.78,Matches
Ahmed Yasin Ghani\eb5383a8,iq IRQ,FW,29,3,2,178,2,2,0,2,0,0,0,0,1.01,0,1.01,1.01,1.01,Matches
Patrick\e0e410ae,br BRA,FW,22,6,0,137,1.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Taha Abdi Ali\da4b8a4e,se SWE,FW,22,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Anton Ingves\f4ec9183,se SWE,MF,19,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alfred Ajdarevi?\2809ec8e,xk KVX,MF,22,0,0,,,,,,,,,,,,,,,Matches
Robin Damstrom\3ec4d3e5,se SWE,,17,0,0,,,,,,,,,,,,,,,Matches
Johannes Danho\ec1a1d65,se SWE,DF,16,0,0,,,,,,,,,,,,,,,Matches
Filip Ivarsson\a350557e,,,,0,0,,,,,,,,,,,,,,,Matches
Gustav Leijon\2b7a07a6,se SWE,GK,19,0,0,,,,,,,,,,,,,,,Matches
