Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Eirik Haugan\857411ed,no NOR,DF,23,29,29,2548,28.3,0,0,0,0,1,5,0,0,0,0,0,0,Matches
Patrick Kpozo\50385760,gh GHA,DFMF,23,29,29,2541,28.2,2,2,2,0,0,4,1,0.07,0.07,0.14,0.07,0.14,Matches
Felix Hörberg\4e7d3d74,se SWE,MFDF,21,26,25,2133,23.7,1,4,1,0,0,4,0,0.04,0.17,0.21,0.04,0.21,Matches
Blair Turgott\2c272afa,jm JAM,FW,26,24,24,2147,23.9,10,1,10,0,0,4,0,0.42,0.04,0.46,0.42,0.46,Matches
Noah Sonko Sundberg\f18c0f1f,gm GAM,DF,24,24,24,2143,23.8,1,2,1,0,0,5,0,0.04,0.08,0.13,0.04,0.13,Matches
Aly Keita\92c62328,gn GUI,GK,34,24,24,2088,23.2,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Ludvig Fritzson\768667c0,se SWE,MF,25,24,23,1875,20.8,1,1,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1,Matches
Samuel Mensiro\1a97dc06,gh GHA,DFMF,31,21,20,1660,18.4,0,0,0,0,0,4,1,0,0,0,0,0,Matches
Henrik Bellman\940d842b,se SWE,MF,21,22,17,1448,16.1,0,2,0,0,0,3,0,0,0.12,0.12,0,0.12,Matches
Isak Ssewankambo\d457def7,se SWE,MFDF,24,18,17,1435,15.9,0,2,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches
Nikolaos Dosis\64ed4f29,se SWE,MFDF,20,25,16,1543,17.1,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Frank Arhin\c48130b7,gh GHA,MF,21,18,12,1072,11.9,0,0,0,0,0,4,1,0,0,0,0,0,Matches
Charlie Colkett\ecf151ac,eng ENG,MF,24,15,10,934,10.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Malcolm Stolt\02bbfec2,se SWE,FWMF,20,18,10,916,10.2,1,2,1,0,0,5,1,0.1,0.2,0.29,0.1,0.29,Matches
Francis Jno-Baptiste\628a1921,eng ENG,FW,21,14,8,626,7,2,1,2,0,0,1,0,0.29,0.14,0.43,0.29,0.43,Matches
Simon Kroon\b9f1813f,se SWE,MFFW,27,12,7,609,6.8,1,2,1,0,0,1,0,0.15,0.3,0.44,0.15,0.44,Matches
Ronald Mukiibi\b2f1fbd5,ug UGA,DF,29,9,7,576,6.4,2,0,2,0,0,0,0,0.31,0,0.31,0.31,0.31,Matches
Sebastian Grach\72aefb0b,se SWE,FWDF,19,20,6,808,9,1,0,1,0,0,1,0,0.11,0,0.11,0.11,0.11,Matches
Marco Weymans\cac84ca4,bi BDI,MFDF,23,13,6,692,7.7,1,1,1,0,0,4,0,0.13,0.13,0.26,0.13,0.26,Matches
Sixten Mohlin\534f7745,cv CPV,GK,25,7,6,612,6.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jerell Sellars\84bf4600,eng ENG,MFFW,25,14,5,601,6.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Nebiyou Perry\c8a92587,se SWE,FWMF,21,9,5,455,5.1,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,Matches
Ahmed Awad\7aacd2c4,ps PLE,FW,28,9,0,135,1.5,1,1,1,0,0,0,0,0.67,0.67,1.33,0.67,1.33,Matches
Kalpi Ouattara\e15637d9,ci CIV,DF,22,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jakob Gustafsson\0f9cd76c,,MF,,0,0,,,,,,,,,,,,,,,Matches
Andrew Mills\6c897ea3,eng ENG,GK,26,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
