Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Oliver Baumann\47064058,de GER,GK,Hoffenheim,31,1990,33,33,2970,33,57,1.73,154,100,64.3,12,7,14,8,24.2,4,2,1,1,33.3,Matches
Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26,1995,4,4,360,4,7,1.75,24,17,70.8,0,2,2,0,0,0,0,0,0,,Matches
Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,31,1989,14,14,1260,14,28,2,69,44,63.8,2,4,8,3,21.4,3,3,0,0,0,Matches
Roman Bürki\9d12e142,ch SUI,GK,Dortmund,30,1990,1,1,90,1,1,1,0,0,,1,0,0,0,0,1,1,0,0,0,Matches
Koen Casteels\db401046,be BEL,GK,Wolfsburg,29,1992,28,28,2520,28,40,1.43,111,74,66.7,11,6,11,10,35.7,6,3,2,1,40,Matches
Finn Dahmen\dee3013b,de GER,GK,Mainz 05,23,1998,2,2,180,2,3,1.5,4,2,50,1,1,0,0,0,1,1,0,0,0,Matches
Michael Esser\83e0eeb4,de GER,GK,Bochum,33,1987,3,3,270,3,7,2.33,18,13,72.2,2,0,1,0,0,2,2,0,0,0,Matches
Mark Flekken\a92ab7be,nl NED,GK,Freiburg,28,1993,32,32,2880,32,39,1.22,140,103,73.6,15,9,8,10,31.3,2,2,0,0,0,Matches
Christian Früchtl\1940be91,de GER,GK,Bayern Munich,21,2000,1,0,10,0.1,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches
Marius Funk\86314793,de GER,GK,Greuther Fürth,25,1996,8,8,720,8,30,3.75,52,26,46.2,0,0,8,0,0,2,2,0,0,0,Matches
Rafa? Gikiewicz\17376543,pl POL,GK,Augsburg,33,1987,34,34,3060,34,56,1.65,152,100,66.4,10,8,16,9,26.5,5,5,0,0,0,Matches
Jens Grahl\f26dee6b,de GER,GK,Eint Frankfurt,32,1988,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,,Matches
Lennart Grill\37998008,de GER,GK,Leverkusen,22,1999,1,1,90,1,2,2,6,5,66.7,1,0,0,0,0,0,0,0,0,,Matches
