Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,22,1998,8.1,3,0,0,18,12,15,2,8,7,0,0,0,Matches
Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,23,1998,2.9,0,0,0,6,8,6,6,0,2,0,0,0,Matches
Tyler Adams\2b09d998,us USA,MF,RB Leipzig,22,1999,15,5,0,0,20,18,0,3,23,16,0,0,0,Matches
Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,28,1993,3.7,0,0,0,6,9,4,6,3,8,0,0,0,Matches
Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,21,2000,14,3,0,0,27,32,8,26,17,25,0,0,0,Matches
Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,19,2002,0.7,0,0,0,2,1,0,0,0,0,0,0,0,Matches
Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,26,1995,25.1,3,0,0,23,26,1,2,47,36,0,0,1,Matches
Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,26,1995,17,5,0,0,30,24,4,29,35,20,0,1,0,Matches
Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,28,1992,7.3,2,0,0,8,11,7,3,3,4,1,0,0,Matches
Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,24,1996,4.1,0,0,0,1,13,0,3,5,4,0,0,0,Matches
Sebastian Andersson\b4cf5806,se SWE,FW,Köln,30,1991,14,3,0,0,27,17,6,15,3,9,0,0,0,Matches
Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,22,1998,11.6,4,0,0,14,2,1,11,26,20,0,1,0,Matches
Fredrik André Bjørkan\3724baa1,no NOR,DF,Hertha BSC,22,1998,3.9,1,0,0,3,3,0,4,6,7,0,0,0,Matches
Robert Andrich\e0b113a7,de GER,MF,Leverkusen,26,1994,20.2,5,1,0,42,17,2,5,46,33,0,0,0,Matches
Angeliño\30941e96,es ESP,DF,RB Leipzig,24,1997,25.5,3,0,0,17,40,4,128,35,18,0,0,0,Matches
Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,25,1996,28.8,6,1,0,31,19,1,12,66,33,0,0,0,Matches
Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,27,1994,12.6,2,0,0,16,29,11,28,7,19,1,0,0,Matches
