Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,Matches
Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,22,1998,8.1,0,18,4,22.2,2.23,0.5,0,0,15.6,0,0,0,Matches
Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,23,1998,2.9,0,11,2,18.2,3.82,0.69,0,0,15.8,0,0,0,Matches
Tyler Adams\2b09d998,us USA,MF,RB Leipzig,22,1999,15,0,2,0,0,0.13,0,0,,19.4,0,0,0,Matches
Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,28,1993,3.7,1,3,2,66.7,0.82,0.54,0.33,0.5,16.7,0,0,0,Matches
Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,21,2000,14,3,38,19,50,2.72,1.36,0.08,0.16,15.3,0,0,0,Matches
Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,19,2002,0.7,0,0,0,,0,0,,,,0,0,0,Matches
Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,26,1995,25.1,1,14,3,21.4,0.56,0.12,0.07,0.33,10.4,1,0,0,Matches
Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,26,1995,17,2,12,4,33.3,0.71,0.24,0.17,0.5,12.7,0,0,0,Matches
Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,28,1992,7.3,6,23,13,56.5,3.16,1.79,0.26,0.46,11.2,0,0,1,Matches
Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,24,1996,4.1,1,8,2,25,1.95,0.49,0.13,0.5,20.1,1,0,0,Matches
Sebastian Andersson\b4cf5806,se SWE,FW,Köln,30,1991,14,3,35,13,37.1,2.51,0.93,0.09,0.23,11.3,0,0,0,Matches
Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,22,1998,11.6,0,7,3,42.9,0.6,0.26,0,0,19.6,0,0,0,Matches
Fredrik André Bjørkan\3724baa1,no NOR,DF,Hertha BSC,22,1998,3.9,0,0,0,,0,0,,,,0,0,0,Matches
Robert Andrich\e0b113a7,de GER,MF,Leverkusen,26,1994,20.2,4,30,7,23.3,1.49,0.35,0.13,0.57,17.5,1,0,0,Matches
Angeliño\30941e96,es ESP,DF,RB Leipzig,24,1997,25.5,2,15,7,46.7,0.59,0.27,0.13,0.29,16.4,0,0,0,Matches
Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,25,1996,28.8,2,23,6,26.1,0.8,0.21,0.09,0.33,13.8,0,0,0,Matches
Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,27,1994,12.6,1,29,10,34.5,2.31,0.8,0.03,0.1,14.9,0,0,0,Matches
Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,32,1989,17.5,1,11,3,27.3,0.63,0.17,0.09,0.33,19,0,0,0,Matches
Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,27,1994,33.3,4,40,14,35,1.2,0.42,0.1,0.29,31.7,13,0,0,Matches
Takuma Asano\13ddc856,jp JPN,FWMF,Bochum,26,1994,17.9,3,32,11,34.4,1.79,0.62,0.09,0.27,17,0,0,0,Matches
Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,24,1997,26.4,0,13,1,7.7,0.49,0.04,0,0,17.1,0,0,0,Matches
Fisnik Asllani\35f67a30,xk KVX,MFFW,Hoffenheim,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,Matches
Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,20,2001,8.7,0,3,0,0,0.34,0,0,,15,0,0,0,Matches
Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,23,1997,24.2,15,66,30,45.5,2.73,1.24,0.2,0.43,12.9,0,2,2,Matches
Sardar Azmoun\10549b49,ir IRN,FWMF,Leverkusen,26,1995,4,1,10,4,40,2.51,1,0.1,0.25,12.4,0,0,0,Matches
Mitchel Bakker\a8567629,nl NED,DF,Leverkusen,21,2000,20.2,0,9,2,22.2,0.44,0.1,0,0,20.4,0,0,0,Matches
