Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Iven Austbø\f461ebf7,no NOR,GK,Viking,35,1985,10,10,900,10,21,2.1,49,28,57.1,5,1,4,0,0,0,0,0,0,,Matches
Jonas Brauti\936ba0f5,no NOR,GK,Stabæk,21,1999,2,1,129,1.4,6,4.19,14,8,57.1,0,0,1,0,0,0,0,0,0,,Matches
Mads Christiansen\0c872cdf,no NOR,GK,Lillestrøm,20,2000,24,24,2160,24,25,1.04,104,80,76,13,7,4,8,33.3,1,0,1,0,100,Matches
Alex Craninx\b947001e,es ESP,GK,Lillestrøm,25,1995,2,2,180,2,6,3,11,6,54.5,0,0,2,0,0,1,1,0,0,0,Matches
Mathias Dyngeland\00a0b181,no NOR,GK,Vålerenga,25,1995,3,2,217,2.4,2,0.83,15,14,93.3,1,0,1,1,50,1,1,0,0,0,Matches
Julian Faye-Lund\ca3fff03,no NOR,GK,Rosenborg,21,1999,5,4,386,4.3,4,0.93,13,10,69.2,1,2,1,1,25,1,0,1,0,100,Matches
Lennart Grill\37998008,de GER,GK,Brann,22,1999,13,13,1170,13,20,1.54,54,34,63,3,7,3,0,0,0,0,0,0,,Matches
Patrik Gunnarsson\4d39152d,is ISL,GK,Viking,20,2000,7,7,557,6.2,9,1.45,30,23,73.3,4,2,1,1,14.3,2,1,1,0,50,Matches
Elias Hadaya\6c43465f,se SWE,GK,Kristiansund,22,1998,1,0,37,0.4,1,2.43,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
Nikita Haikin\60831426,ru RUS,GK,Bodø/Glimt,25,1995,29,29,2610,29,23,0.79,100,77,77,18,8,3,13,44.8,0,0,0,0,,Matches
André Hansen\5e91ddf8,no NOR,GK,Rosenborg,31,1989,26,26,2314,25.7,38,1.48,101,64,63.4,12,7,7,5,19.2,1,1,0,0,0,Matches
Kjetil Haug\d3ae48eb,no NOR,GK,Vålerenga,22,1998,14,14,1223,13.6,15,1.1,58,44,75.9,5,6,3,3,21.4,1,1,0,0,0,Matches
