Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Daniel A. Pedersen\f3dd2e06,dk DEN,MF,Brann,28,1992,10.4,0,0,0,4,4,0,7,15,5,,,0,Matches
Syver Aas\b25d02b7,no NOR,MF,Odd,17,2004,1.8,1,0,0,5,1,0,0,0,1,,,0,Matches
Christoffer Aasbak\d77f1a42,no NOR,DF,Kristiansund,27,1993,14.8,1,0,0,10,8,0,139,21,11,,,0,Matches
Stian Aasmundsen\6a6bf0f1,no NOR,MF,Mjøndalen,31,1989,15.6,6,0,0,20,11,1,8,9,21,,,0,Matches
Sam Adekugbe\7f2309be,ca CAN,DF,Vålerenga,26,1995,12,2,0,0,10,5,2,20,8,13,,,0,Matches
Pål Alexander Kirkevold\60dc8778,no NOR,FW,Stabæk,30,1990,7,1,0,0,12,15,5,4,4,4,,,0,Matches
Philip Alexander Slørdahl\d442ad04,no NOR,DF,Lillestrøm,20,2000,9.5,1,0,0,8,2,0,2,9,2,,,0,Matches
Ole Amund Sveen\44e30cb6,no NOR,MF,Mjøndalen,31,1990,18,3,0,0,18,39,1,10,16,25,,,0,Matches
Isak Amundsen\7fdb872a,no NOR,DF,Tromsø,21,1999,19.7,3,0,0,19,13,0,2,35,18,,,0,Matches
Magnus Andersen\1aca259c,no NOR,MF,Tromsø,34,1986,0.6,0,0,0,0,0,0,4,1,2,,,0,Matches
Adam Andersson\ecf8b85f,se SWE,DF,Rosenborg,24,1996,25.6,3,1,0,19,9,2,107,35,29,,,0,Matches
Fredrik André Bjørkan\3724baa1,no NOR,DF,Bodø/Glimt,22,1998,25.5,1,0,0,15,36,1,50,30,32,,,0,Matches
Pål André Helland\ef8f266e,no NOR,FW,Lillestrøm,31,1990,3.9,2,0,0,8,4,1,65,0,3,,,0,Matches
Markus Andreas Kaasa\0a7fa520,no NOR,MF,Odd,23,1997,27.2,3,0,0,28,38,3,16,14,26,,,0,Matches
Aleksander Andresen\b44abbe1,no NOR,FW,Stabæk,15,2005,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Chuma Anene\43718610,no NOR,FW,Sandefjord,27,1993,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Kent-Are Antonsen\f374a4b3,no NOR,DFMF,Tromsø,25,1995,13.6,2,0,0,12,22,1,30,18,18,,,0,Matches
Viðar Ari Jónsson\f816d98c,is ISL,FWDF,Sandefjord,26,1994,27.7,5,0,0,47,25,8,98,18,27,,,0,Matches
Gjermund Åsen\6b767188,no NOR,FWMF,Lillestrøm,29,1991,24.6,0,0,0,14,26,9,130,10,13,,,0,Matches
Amin Askar\940efd73,et ETH,DFMF,Kristiansund,35,1985,8,1,0,0,3,7,0,24,9,7,,,0,Matches
Jonathan Augustinsson\7311c03b,se SWE,DF,Rosenborg,24,1996,7.4,2,0,0,5,2,3,21,3,10,,,0,Matches
