Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Daniel A. Pedersen\f3dd2e06,dk DEN,MF,Brann,28,1992,10.4,1,10,1,10,0.96,0.1,0.1,1,,0,0,Matches
Syver Aas\b25d02b7,no NOR,MF,Odd,17,2004,1.8,1,5,3,60,2.74,1.65,0.2,0.33,,0,0,Matches
Christoffer Aasbak\d77f1a42,no NOR,DF,Kristiansund,27,1993,14.8,1,17,5,29.4,1.15,0.34,0.06,0.2,,0,0,Matches
Stian Aasmundsen\6a6bf0f1,no NOR,MF,Mjøndalen,31,1989,15.6,0,7,2,28.6,0.45,0.13,0,0,,0,0,Matches
Sam Adekugbe\7f2309be,ca CAN,DF,Vålerenga,26,1995,12,0,4,1,25,0.33,0.08,0,0,,0,0,Matches
Pål Alexander Kirkevold\60dc8778,no NOR,FW,Stabæk,30,1990,7,1,19,4,21.1,2.7,0.57,0.05,0.25,,0,0,Matches
Philip Alexander Slørdahl\d442ad04,no NOR,DF,Lillestrøm,20,2000,9.5,0,4,1,25,0.42,0.11,0,0,,0,0,Matches
Ole Amund Sveen\44e30cb6,no NOR,MF,Mjøndalen,31,1990,18,1,23,5,21.7,1.28,0.28,0.04,0.2,,0,0,Matches
Isak Amundsen\7fdb872a,no NOR,DF,Tromsø,21,1999,19.7,1,2,2,100,0.1,0.1,0.5,0.5,,0,0,Matches
Magnus Andersen\1aca259c,no NOR,MF,Tromsø,34,1986,0.6,0,1,0,0,1.8,0,0,,,0,0,Matches
Adam Andersson\ecf8b85f,se SWE,DF,Rosenborg,24,1996,25.6,0,17,4,23.5,0.66,0.16,0,0,,0,0,Matches
Fredrik André Bjørkan\3724baa1,no NOR,DF,Bodø/Glimt,22,1998,25.5,2,18,4,22.2,0.71,0.16,0.11,0.5,,0,0,Matches
Pål André Helland\ef8f266e,no NOR,FW,Lillestrøm,31,1990,3.9,1,22,7,31.8,5.71,1.82,0.05,0.14,,0,0,Matches
Markus Andreas Kaasa\0a7fa520,no NOR,MF,Odd,23,1997,27.2,2,36,11,30.6,1.33,0.4,0.06,0.18,,0,0,Matches
Aleksander Andresen\b44abbe1,no NOR,FW,Stabæk,15,2005,0.2,0,0,0,,0,0,,,,0,0,Matches
Chuma Anene\43718610,no NOR,FW,Sandefjord,27,1993,0.1,0,0,0,,0,0,,,,0,0,Matches
