Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Daniel A. Pedersen\f3dd2e06,dk DEN,MF,Brann,28,1992,14,12,937,10.4,1,0,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
Syver Aas\b25d02b7,no NOR,MF,Odd,17,2004,11,1,164,1.8,1,0,1,0,0,1,0,0.55,0,0.55,0.55,0.55,Matches
Christoffer Aasbak\d77f1a42,no NOR,DF,Kristiansund,27,1993,17,16,1328,14.8,1,2,1,0,0,1,0,0.07,0.14,0.2,0.07,0.2,Matches
Stian Aasmundsen\6a6bf0f1,no NOR,MF,Mjøndalen,31,1989,23,16,1407,15.6,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Sam Adekugbe\7f2309be,ca CAN,DF,Vålerenga,26,1995,12,12,1080,12,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Pål Alexander Kirkevold\60dc8778,no NOR,FW,Stabæk,30,1990,14,7,634,7,1,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
Philip Alexander Slørdahl\d442ad04,no NOR,DF,Lillestrøm,20,2000,11,10,854,9.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ole Amund Sveen\44e30cb6,no NOR,MF,Mjøndalen,31,1990,25,21,1622,18,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
Isak Amundsen\7fdb872a,no NOR,DF,Tromsø,21,1999,25,19,1769,19.7,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,Matches
Magnus Andersen\1aca259c,no NOR,MF,Tromsø,34,1986,7,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adam Andersson\ecf8b85f,se SWE,DF,Rosenborg,24,1996,28,26,2306,25.6,0,4,0,0,0,3,1,0,0.16,0.16,0,0.16,Matches
Fredrik André Bjørkan\3724baa1,no NOR,DF,Bodø/Glimt,22,1998,28,27,2293,25.5,2,6,2,0,0,1,0,0.08,0.24,0.31,0.08,0.31,Matches
Pål André Helland\ef8f266e,no NOR,FW,Lillestrøm,31,1990,14,4,347,3.9,1,1,1,0,0,2,0,0.26,0.26,0.52,0.26,0.52,Matches
Markus Andreas Kaasa\0a7fa520,no NOR,MF,Odd,23,1997,30,29,2445,27.2,2,3,2,0,0,3,0,0.07,0.11,0.18,0.07,0.18,Matches
Aleksander Andresen\b44abbe1,no NOR,FW,Stabæk,15,2005,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Chuma Anene\43718610,no NOR,FW,Sandefjord,27,1993,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kent-Are Antonsen\f374a4b3,no NOR,DFMF,Tromsø,25,1995,16,13,1224,13.6,1,0,1,0,1,2,0,0.07,0,0.07,0.07,0.07,Matches
Viðar Ari Jónsson\f816d98c,is ISL,FWDF,Sandefjord,26,1994,29,29,2489,27.7,11,4,11,0,0,5,0,0.4,0.14,0.54,0.4,0.54,Matches
Gjermund Åsen\6b767188,no NOR,FWMF,Lillestrøm,29,1991,26,25,2214,24.6,2,12,2,0,0,0,0,0.08,0.49,0.57,0.08,0.57,Matches
Amin Askar\940efd73,et ETH,DFMF,Kristiansund,35,1985,18,7,720,8,0,2,0,0,0,1,0,0,0.25,0.25,0,0.25,Matches
Jonathan Augustinsson\7311c03b,se SWE,DF,Rosenborg,24,1996,10,7,663,7.4,0,1,0,0,0,2,0,0,0.14,0.14,0,0.14,Matches
Sondre Auklend\aa744585,no NOR,FW,Viking,17,2003,9,2,232,2.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fredrik Aursnes\f0677ed7,no NOR,MF,Molde,25,1995,15,15,1307,14.5,1,5,1,0,0,1,0,0.07,0.34,0.41,0.07,0.41,Matches
Iven Austbø\f461ebf7,no NOR,GK,Viking,35,1985,10,10,900,10,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Fitim Azemi\2cd030ea,no NOR,FW,Stabæk,28,1992,19,14,1146,12.7,2,0,2,0,1,1,0,0.16,0,0.16,0.16,0.16,Matches
Mushaga Bakenga\c322feb0,no NOR,FW,Odd,28,1992,11,10,880,9.8,11,1,6,5,5,4,0,1.13,0.1,1.23,0.61,0.72,Matches
Daouda Bamba\543e1eb6,ci CIV,FW,Brann,25,1995,14,12,1117,12.4,6,1,6,0,0,2,0,0.48,0.08,0.56,0.48,0.56,Matches
Frank Bamenye\6edfd46a,no NOR,FW,Mjøndalen,19,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kristoffer Barmen\0f89f7b3,no NOR,DFMF,Brann,27,1993,12,10,888,9.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
