Player,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Matches
Erik Botheim\3d13d9e4,Erik Botheim\3d13d9e4,no NOR,FW,21.0,30.0,30.0,2630.0,29.2,15.0,4.0,15.0,0.0,0.0,2.0,0.0,0.51,0.14,0.65,0.51,0.65,Matches
Nikita Haikin\60831426,Nikita Haikin\60831426,ru RUS,GK,25.0,29.0,29.0,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alfons Sampsted\5d873dfb,Alfons Sampsted\5d873dfb,is ISL,DF,22.0,29.0,28.0,2544.0,28.3,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Fredrik André Bjørkan\3724baa1,Fredrik André Bjørkan\3724baa1,no NOR,DF,22.0,28.0,27.0,2293.0,25.5,2.0,6.0,2.0,0.0,0.0,1.0,0.0,0.08,0.24,0.31,0.08,0.31,Matches
Patrick Berg\e4114f5d,Patrick Berg\e4114f5d,no NOR,MF,23.0,26.0,26.0,2274.0,25.3,3.0,3.0,2.0,1.0,2.0,5.0,0.0,0.12,0.12,0.24,0.08,0.2,Matches
Ola Solbakken\78f13530,Ola Solbakken\78f13530,no NOR,FW,22.0,26.0,26.0,2219.0,24.7,6.0,4.0,5.0,1.0,1.0,2.0,0.0,0.24,0.16,0.41,0.2,0.37,Matches
Sondre Brunstad Fet\c1d9bf1f,Sondre Brunstad Fet\c1d9bf1f,no NOR,MF,24.0,26.0,24.0,1838.0,20.4,3.0,5.0,3.0,0.0,0.0,2.0,0.0,0.15,0.24,0.39,0.15,0.39,Matches
Brede Moe\a55ba2f8,Brede Moe\a55ba2f8,no NOR,DF,29.0,24.0,23.0,1965.0,21.8,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches
Ulrik Saltnes\f6af14b0,Ulrik Saltnes\f6af14b0,no NOR,MF,28.0,23.0,22.0,1980.0,22.0,8.0,3.0,8.0,0.0,0.0,2.0,0.0,0.36,0.14,0.5,0.36,0.5,Matches
Marius Lode\37f341f0,Marius Lode\37f341f0,no NOR,DF,27.0,21.0,20.0,1654.0,18.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
