Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Erik Botheim\3d13d9e4,no NOR,FW,21,30,30,2630,29.2,15,4,15,0,0,2,0,0.51,0.14,0.65,0.51,0.65,Matches
Nikita Haikin\60831426,ru RUS,GK,25,29,29,2610,29,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Alfons Sampsted\5d873dfb,is ISL,DF,22,29,28,2544,28.3,0,3,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
Fredrik André Bjørkan\3724baa1,no NOR,DF,22,28,27,2293,25.5,2,6,2,0,0,1,0,0.08,0.24,0.31,0.08,0.31,Matches
Patrick Berg\e4114f5d,no NOR,MF,23,26,26,2274,25.3,3,3,2,1,2,5,0,0.12,0.12,0.24,0.08,0.2,Matches
Ola Solbakken\78f13530,no NOR,FW,22,26,26,2219,24.7,6,4,5,1,1,2,0,0.24,0.16,0.41,0.2,0.37,Matches
Sondre Brunstad Fet\c1d9bf1f,no NOR,MF,24,26,24,1838,20.4,3,5,3,0,0,2,0,0.15,0.24,0.39,0.15,0.39,Matches
Brede Moe\a55ba2f8,no NOR,DF,29,24,23,1965,21.8,2,2,2,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches
Ulrik Saltnes\f6af14b0,no NOR,MF,28,23,22,1980,22,8,3,8,0,0,2,0,0.36,0.14,0.5,0.36,0.5,Matches
Marius Lode\37f341f0,no NOR,DF,27,21,20,1654,18.4,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Amahl Pellegrino\9d9e69df,no NOR,FW,30,15,14,1174,13,6,2,5,1,1,3,0,0.46,0.15,0.61,0.38,0.54,Matches
Marius Høibråten\952afd27,no NOR,DF,26,23,12,1398,15.5,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,Matches
Morten Konradsen\0f816ae5,no NOR,MFDF,24,19,11,979,10.9,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
Sondre Sørli\c2dadbf3,no NOR,FW,25,11,11,825,9.2,3,4,3,0,0,1,0,0.33,0.44,0.76,0.33,0.76,Matches
Hugo Vetlesen\aa982b0f,no NOR,MFFW,20,27,10,1170,13,5,6,5,0,0,2,0,0.38,0.46,0.85,0.38,0.85,Matches
Elias Hagen\7673e4bc,no NOR,MF,21,17,6,709,7.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Sigurd Kvile\569ce58e,no NOR,DF,20,10,5,426,4.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lasse Nordås\71e1b938,no NOR,FW,18,11,4,353,3.9,2,1,2,0,0,0,0,0.51,0.25,0.76,0.51,0.76,Matches
Joel Mugisha\0959184b,no NOR,FW,18,8,1,104,1.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Joshua Smits\c91698ae,nl NED,GK,28,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Axel Lindahl\eee8bff2,se SWE,MF,25,10,0,156,1.7,1,0,1,0,0,2,0,0.58,0,0.58,0.58,0.58,Matches
Pernambucor\ec61b68f,br BRA,MF,22,8,0,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sebastian Tounekti\584fee1f,tn TUN,FW,18,5,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gilbert Koomson\e033cfb6,gh GHA,FWMF,26,6,0,65,0.7,1,0,1,0,0,0,0,1.38,0,1.38,1.38,1.38,Matches
Vegard Kongsro\59f87305,no NOR,DF,22,2,0,51,0.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Victor Boniface\b146275b,ng NGA,FW,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adan Abadala Hussein\35c3f774,no NOR,FW,18,0,0,,,,,,,,,,,,,,,Matches
Magnus Brøndbo\f6083426,no NOR,GK,15,0,0,,,,,,,,,,,,,,,Matches
Brynjar Johnsplass\7485590c,no NOR,DF,17,0,0,,,,,,,,,,,,,,,Matches
Mattias Käit\eef2e16a,ee EST,MF,22,0,0,,,,,,,,,,,,,,,Matches
Vegard Leikvoll Moberg\f89d91d9,no NOR,MF,30,0,0,,,,,,,,,,,,,,,Matches
Tomas Rataj\acb63228,cz CZE,DF,17,0,0,,,,,,,,,,,,,,,Matches
