Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Robert Taylor\1fc0973f,fi FIN,FWMF,26,27,27,2239,24.9,6,8,5,1,3,0,0,0.24,0.32,0.56,0.2,0.52,Matches
Petter Strand\c26e60c2,no NOR,MFDF,26,27,26,2305,25.6,1,3,1,0,1,2,0,0.04,0.12,0.16,0.04,0.16,Matches
Ruben Kristiansen\4d6f8360,no NOR,DF,32,26,26,2159,24,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches
Mathias Rasmussen\99549c4b,no NOR,MF,23,27,21,1940,21.6,2,5,2,0,0,3,0,0.09,0.23,0.32,0.09,0.32,Matches
Ole Martin Kolskogen\7c289e31,no NOR,DF,20,24,19,1769,19.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Aune Heggebø\70d2c6e7,no NOR,FW,19,22,19,1662,18.5,8,2,8,0,0,1,0,0.43,0.11,0.54,0.43,0.54,Matches
Sivert Heltne Nilsen\d676dd35,no NOR,MF,29,15,15,1350,15,0,1,0,0,0,5,0,0,0.07,0.07,0,0.07,Matches
Felix Myhre\cf8469d2,no NOR,DF,21,15,15,1350,15,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Bård Finne\78699620,no NOR,FWMF,25,15,14,1052,11.7,4,2,4,0,0,0,0,0.34,0.17,0.51,0.34,0.51,Matches
Lennart Grill\37998008,de GER,GK,22,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kasper Skaanes\b40f8e4a,no NOR,MFFW,25,20,12,1231,13.7,1,2,1,0,0,2,0,0.07,0.15,0.22,0.07,0.22,Matches
Daouda Bamba\543e1eb6,ci CIV,FW,25,14,12,1117,12.4,6,1,6,0,0,2,0,0.48,0.08,0.56,0.48,0.56,Matches
Håkon Opdal\7ab0b730,no NOR,GK,38,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daniel A. Pedersen\f3dd2e06,dk DEN,MF,28,14,12,937,10.4,1,0,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
Ole Didrik Blomberg\250abfbf,no NOR,DF,20,15,11,988,11,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Fredrik Pallesen Knudsen\3a4c9e5c,no NOR,DF,24,11,11,894,9.9,1,1,1,0,0,7,1,0.1,0.1,0.2,0.1,0.2,Matches
Kristoffer Barmen\0f89f7b3,no NOR,DFMF,27,12,10,888,9.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Vegard Forren\d75eebda,no NOR,DF,32,11,9,823,9.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Moonga Simba\651ebf75,se SWE,FW,20,20,7,829,9.2,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
Japhet Sery\03e7a498,dk DEN,DF,20,7,7,600,6.7,1,0,1,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
David Møller Wolfe\9affc5f2,no NOR,DFMF,18,20,5,801,8.9,1,1,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches
Eirik Johansen\576ea36c,no NOR,GK,28,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Niklas Jensen\cb6bdd4a,no NOR,MF,16,9,5,385,4.3,1,0,1,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
Runar Hove\ee3eec6e,no NOR,DF,25,6,4,476,5.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Filip Delaveris\1ad971b6,no NOR,FWMF,20,12,4,432,4.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Thomas Grøgaard\836689d0,no NOR,MFDF,26,8,3,271,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jon-Helge Tveita\b7705481,no NOR,MFDF,29,7,2,240,2.7,1,0,1,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
Vieux Sané\b77ca4a0,sn SEN,DF,31,4,2,146,1.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Vajebah Sakor\14813a41,no NOR,MF,24,3,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lars Krogh Gerson\68eaf3e2,lu LUX,DF,30,1,1,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Markus Haaland\4b80d399,no NOR,MF,15,0,0,,,,,,,,,,,,,,,Matches
Isak Hjorteseth\8cc9a918,no NOR,MF,16,0,0,,,,,,,,,,,,,,,Matches
Elias Myrlid\2986b500,no NOR,FW,18,0,0,,,,,,,,,,,,,,,Matches
Markus Olsen Pettersen\c20ef365,no NOR,GK,21,0,0,,,,,,,,,,,,,,,Matches
