Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Benjamin Hansen\8916e76c,dk DEN,DF,26,29,29,2610,29,2,0,2,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
Egil Selvik\05d89c1c,no NOR,GK,23,29,29,2610,29,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Peter Therkildsen\36f9e534,dk DEN,MF,22,30,29,2559,28.4,2,3,2,0,0,3,0,0.07,0.11,0.18,0.07,0.18,Matches
Kevin Krygård\7044bef8,no NOR,MF,20,29,29,2510,27.9,1,2,1,0,0,5,0,0.04,0.07,0.11,0.04,0.11,Matches
Sondre Liseth\8fef04c9,no NOR,MFFW,23,28,27,2294,25.5,5,4,5,0,0,5,0,0.2,0.16,0.35,0.2,0.35,Matches
Niklas Sandberg\62a90cfb,no NOR,MFFW,25,28,27,2200,24.4,3,6,2,1,1,1,0,0.12,0.25,0.37,0.08,0.33,Matches
Kristoffer Velde\c5c1627c,no NOR,MFFW,21,29,26,2393,26.6,7,7,6,1,1,4,0,0.26,0.26,0.53,0.23,0.49,Matches
Ulrik Fredriksen\f8242397,no NOR,DF,21,27,26,2341,26,1,0,1,0,0,3,0,0.04,0,0.04,0.04,0.04,Matches
Thore Pedersen\c4941340,no NOR,DF,24,26,26,2202,24.5,0,4,0,0,0,5,0,0,0.16,0.16,0,0.16,Matches
Alexander Stølås\3a8a4db8,no NOR,DF,31,24,11,1149,12.8,2,1,2,0,0,2,0,0.16,0.08,0.23,0.16,0.23,Matches
Ibrahima Wadji\c844f6f9,sn SEN,FW,25,13,11,899,10,8,0,8,0,0,1,0,0.8,0,0.8,0.8,0.8,Matches
Alioune Ndour\6e3c43c9,sn SEN,FWMF,23,26,10,1015,11.3,7,1,7,0,0,1,1,0.62,0.09,0.71,0.62,0.71,Matches
Anders Bærtelsen\d234b7e7,dk DEN,DF,20,10,10,900,10,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
Mikkel Desler\1d5c96f8,dk DEN,DF,25,10,10,900,10,1,0,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
Martin Samuelsen\746df5d3,no NOR,FWMF,23,16,8,697,7.7,2,1,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39,Matches
Alexander Søderlund\e61d33f1,no NOR,FW,33,15,6,624,6.9,4,0,4,0,0,2,0,0.58,0,0.58,0.58,0.58,Matches
Fredrik Pallesen Knudsen\3a4c9e5c,no NOR,DF,24,7,5,396,4.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bruno Leite\571f8b30,cv CPV,MF,25,10,4,414,4.6,0,2,0,0,0,1,0,0,0.43,0.43,0,0.43,Matches
Torje Naustdal\4972a771,no NOR,MF,20,15,3,331,3.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Sulayman Bojang\8f87b70a,gm GAM,DF,23,2,2,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mads Sande\d3c59d4e,no NOR,MF,22,24,1,388,4.3,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,Matches
Frank Stople\33d86563,no NOR,GK,18,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kristoff Gunnarshaug\d1508ecc,no NOR,MF,21,4,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Endresen\901d82bc,no NOR,FW,18,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mathias Tjoland\e2d36b1b,no NOR,MF,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joakim Våge Nilsen\14d4c059,no NOR,DFMF,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Asbjorn Engenes\4f9ec139,no NOR,GK,16,0,0,,,,,,,,,,,,,,,Matches
Eivind Helgeland\1b6ff816,no NOR,DF,17,0,0,,,,,,,,,,,,,,,Matches
Andre Lønning\100f127c,no NOR,FW,17,0,0,,,,,,,,,,,,,,,Matches
Helge Sandvik\0656addb,no NOR,GK,30,0,0,,,,,,,,,,,,,,,Matches
Vegard Solheim\1f7df534,no NOR,MF,16,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
