Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Sean McDermott\fc5c05cb,ie IRL,GK,27,30,30,2663,29.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Andreas Hopmark\62b38ef8,no NOR,DFMF,29,28,28,2520,28,1,1,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,Matches
Snorre Strand Nilsen\c38489c4,no NOR,DF,24,28,27,2388,26.5,6,2,6,0,0,4,0,0.23,0.08,0.3,0.23,0.3,Matches
Amidou Diop\f7f657a4,sn SEN,MF,28,27,25,2028,22.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Aliou Coly\027bd318,sn SEN,DF,28,28,24,2249,25,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches
Torgil Øwre Gjertsen\a8e53a43,no NOR,FWMF,28,29,22,1906,21.2,6,7,6,0,0,3,0,0.28,0.33,0.61,0.28,0.61,Matches
Bendik Bye\fed73448,no NOR,FWMF,30,26,20,1869,20.8,7,0,5,2,3,0,0,0.34,0,0.34,0.24,0.24,Matches
Dan Peter Ulvestad\f118d91f,no NOR,DF,31,21,19,1687,18.7,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,Matches
Agon Mucolli\865c3f09,dk DEN,FWMF,22,26,16,1396,15.5,4,5,4,0,0,3,0,0.26,0.32,0.58,0.26,0.58,Matches
Christoffer Aasbak\d77f1a42,no NOR,DF,27,17,16,1328,14.8,1,2,1,0,0,1,0,0.07,0.14,0.2,0.07,0.2,Matches
Sander Kartum\15aa1463,no NOR,MF,25,26,15,1257,14,4,1,4,0,0,4,0,0.29,0.07,0.36,0.29,0.36,Matches
Moses Mawa\2dd3f285,no NOR,FW,24,15,14,1136,12.6,5,0,4,1,1,1,0,0.4,0,0.4,0.32,0.32,Matches
Liridon Kalludra\c22336ee,se SWE,MFFW,29,25,12,1115,12.4,2,4,2,0,0,3,0,0.16,0.32,0.48,0.16,0.48,Matches
Jesper Isaksen\043f7a23,no NOR,MF,21,17,9,896,10,1,1,1,0,0,4,0,0.1,0.1,0.2,0.1,0.2,Matches
Olaus Skarsem\2c8c6968,no NOR,MF,22,13,9,802,8.9,0,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
Pål Erik Ulvestad\abcce9e2,no NOR,MF,30,20,8,841,9.3,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Amin Askar\940efd73,et ETH,DFMF,35,18,7,720,8,0,2,0,0,0,1,0,0,0.25,0.25,0,0.25,Matches
Brynjolfur Darri Willumsson\a597bf9a,is ISL,FWMF,20,21,6,712,7.9,0,1,0,0,0,4,0,0,0.13,0.13,0,0.13,Matches
Erlend Sivertsen\4de8f23f,no NOR,DF,30,15,6,578,6.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Faris Moumbagna\58aae0a9,cm CMR,FW,20,11,6,526,5.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Bent Sørmo\e19b566b,no NOR,DF,24,5,5,388,4.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Flamur Kastrati\f1972d2e,xk KVX,FW,29,9,3,253,2.8,0,1,0,0,0,2,0,0,0.36,0.36,0,0.36,Matches
Max Williamsen\a30f80de,no NOR,MFDF,17,10,2,252,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ivar Erlien Furu\8dffc38c,no NOR,DF,26,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oskar Siira Sivertsen\d50829e9,no NOR,FW,16,5,0,50,0.6,1,0,1,0,0,1,0,1.8,0,1.8,1.8,1.8,Matches
Elias Hadaya\6c43465f,se SWE,GK,22,1,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lagos Kunga\5a770480,us USA,FWMF,22,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bendik Brevik\24b9e1d0,no NOR,DF,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Isak Aalberg\617c2622,no NOR,DF,15,0,0,,,,,,,,,,,,,,,Matches
Heine Bruseth\5f004975,no NOR,MF,16,0,0,,,,,,,,,,,,,,,Matches
Serigne Mor Mbaye\fe415351,sn SEN,GK,25,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
