Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Vetle Dragsnes\6062bd22,no NOR,MFDF,26,30,30,2670,29.7,2,3,2,0,0,2,0,0.07,0.1,0.17,0.07,0.17,Matches
Ifeanyi Mathew\93ff27ca,ng NGA,MF,24,30,30,2639,29.3,2,4,2,0,0,3,0,0.07,0.14,0.2,0.07,0.2,Matches
Thomas Lehne Olsen\9dc3585e,no NOR,FW,29,29,29,2528,28.1,26,2,23,3,3,3,0,0.93,0.07,1,0.82,0.89,Matches
Ogbu Igoh\8af1b3a2,ng NGA,DF,20,26,26,2330,25.9,1,1,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,Matches
Espen Garnås\f0d43928,no NOR,DF,26,27,26,2322,25.8,2,0,2,0,0,6,0,0.08,0,0.08,0.08,0.08,Matches
Gjermund Åsen\6b767188,no NOR,FWMF,29,26,25,2214,24.6,2,12,2,0,0,0,0,0.08,0.49,0.57,0.08,0.57,Matches
Mads Christiansen\0c872cdf,no NOR,GK,20,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lars Ranger\73ed5e65,no NOR,MFDF,21,24,21,1866,20.7,2,1,2,0,0,8,0,0.1,0.05,0.14,0.1,0.14,Matches
Daniel Gustavsson\887e19ae,se SWE,FWMF,30,27,18,1575,17.5,2,2,2,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Matches
Kaan Kairinen\b3dcc2cf,fi FIN,MF,22,20,17,1493,16.6,1,3,1,0,1,1,0,0.06,0.18,0.24,0.06,0.24,Matches
Tom Pettersson\c1268aa3,se SWE,DF,30,17,17,1449,16.1,3,1,3,0,0,1,0,0.19,0.06,0.25,0.19,0.25,Matches
Eskil Smidesang Edh\e3372668,no NOR,MF,18,24,14,1345,14.9,1,3,1,0,0,4,0,0.07,0.2,0.27,0.07,0.27,Matches
Magnus Knudsen\a48fb0c7,no NOR,MFFW,19,19,12,1012,11.2,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
Philip Alexander Slørdahl\d442ad04,no NOR,DF,20,11,10,854,9.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Tobias Svendsen\c2a35241,no NOR,FWMF,21,21,8,766,8.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ulrik Mathisen\4e32cf6d,no NOR,FWMF,22,21,6,674,7.5,1,0,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
Fredrik Krogstad\090ff4ec,no NOR,MFFW,25,24,6,631,7,1,1,1,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches
Knut-André Skjærstein\4b06552b,no NOR,GK,25,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pål André Helland\ef8f266e,no NOR,FW,31,14,4,347,3.9,1,1,1,0,0,2,0,0.26,0.26,0.52,0.26,0.52,Matches
Alex Craninx\b947001e,es ESP,GK,25,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jonatan Braut Brunes\36adbbe0,no NOR,FW,20,18,1,223,2.5,1,1,1,0,0,1,0,0.4,0.4,0.81,0.4,0.81,Matches
Kent Håvard Eriksen\64dcc35f,no NOR,FW,29,2,0,30,0.3,0,1,0,0,0,0,0,0,3,3,0,3,Matches
Henrik Skogvold\8353e96a,no NOR,MF,16,3,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Martin Bergum\84b68123,no NOR,MF,18,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Josef Brian Baccay\ea005201,no NOR,FW,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Simen Kind Mikalsen\04370015,no NOR,DFMF,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alexander Sannes\8658b2ee,no NOR,MF,18,0,0,,,,,,,,,,,,,,,Matches
Uranik Seferi\b8fb0890,no NOR,FW,17,0,0,,,,,,,,,,,,,,,Matches
Jørgen Sveinhaug\aff74d6f,no NOR,GK,17,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
