Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Markus Nakkim\0e12671e,no NOR,DF,24,29,29,2610,29,3,0,3,0,1,4,0,0.1,0,0.1,0.1,0.1,Matches
Nikolas Walstad\7a877b93,no NOR,DFMF,23,28,26,2257,25.1,2,2,2,0,0,4,0,0.08,0.08,0.16,0.08,0.16,Matches
Martin Rønning Ovenstad\52dea9c3,no NOR,FW,26,29,24,1980,22,3,5,3,0,0,3,0,0.14,0.23,0.36,0.14,0.36,Matches
Lars Olden Larsen\9e4df3ba,no NOR,FWMF,22,30,22,2066,23,8,2,8,0,0,2,0,0.35,0.09,0.44,0.35,0.44,Matches
Sosha Makani\1bd90d9f,ir IRN,GK,34,22,22,1980,22,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ole Amund Sveen\44e30cb6,no NOR,MF,31,25,21,1622,18,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
Benjamin Stokke\6bce4a7f,no NOR,FW,30,28,19,1686,18.7,4,4,3,1,1,1,0,0.21,0.21,0.43,0.16,0.37,Matches
Isaac Twum\760f3c1b,gh GHA,MF,,24,17,1762,19.6,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,Matches
Sondre Johansen\4893fefc,no NOR,DF,25,16,16,1440,16,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,Matches
Stian Aasmundsen\6a6bf0f1,no NOR,MF,31,23,16,1407,15.6,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Christian Gauseth\497627e2,no NOR,MF,36,21,16,1231,13.7,0,2,0,0,1,3,0,0,0.15,0.15,0,0.15,Matches
Fredrik Brustad\f1d0e50d,no NOR,FW,31,27,12,1300,14.4,2,2,2,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
Joackim Olsen Solberg\a71b5e73,no NOR,DFMF,31,27,12,1196,13.3,0,2,0,0,0,4,0,0,0.15,0.15,0,0.15,Matches
Syver Skaar Eriksen\8ddfcf44,no NOR,DF,19,15,11,1015,11.3,2,1,2,0,0,3,0,0.18,0.09,0.27,0.18,0.27,Matches
Kent Håvard Eriksen\64dcc35f,no NOR,FW,29,16,10,912,10.1,3,1,3,0,0,0,0,0.3,0.1,0.39,0.3,0.39,Matches
Herman Kleppa\9c8946a8,no NOR,DFMF,24,9,9,749,8.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Idar Lysgård\9d40133e,no NOR,GK,26,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Albin Sporrong\eac3ef06,se SWE,MF,21,15,8,614,6.8,1,0,1,0,0,5,1,0.15,0,0.15,0.15,0.15,Matches
William Sell\c9499170,no NOR,DF,22,10,7,618,6.9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Daniel Janevski\ee722e58,se SWE,DF,28,7,7,540,6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Erik Stavas Skistad\cb538f64,no NOR,MF,19,12,5,600,6.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Tonny Brochmann\9d75ac94,dk DEN,MF,31,9,4,424,4.7,1,1,1,0,1,1,0,0.21,0.21,0.42,0.21,0.42,Matches
Adrian Hansen\4b35ec8b,no NOR,DF,19,6,3,275,3.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Sebastian Sebulonsen\d62063b7,no NOR,DF,21,4,3,254,2.8,0,1,0,0,0,0,0,0,0.35,0.35,0,0.35,Matches
Sivert Øverby\7edb0618,no NOR,DF,21,9,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Shuaibu Ibrahim\e88ce61f,ng NGA,FW,24,6,1,107,1.2,1,0,1,0,0,0,0,0.84,0,0.84,0.84,0.84,Matches
Magnus Bækken\0c226fd1,no NOR,FW,19,4,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alfred Scriven\e1c77b42,no NOR,FW,23,5,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Brinder Singh\fef999e9,no NOR,FW,18,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Frank Bamenye\6edfd46a,no NOR,FW,19,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
