Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ola Brynhildsen\ffe5ecdb,no NOR,MF,21,30,29,2394,26.6,5,8,5,0,0,3,0,0.19,0.3,0.49,0.19,0.49,Matches
Ohi Omoijuanfo\9d115f7a,no NOR,FW,27,29,28,2359,26.2,27,2,27,0,2,3,0,1.03,0.08,1.11,1.03,1.11,Matches
Martin Bjørnbak\eb49bd3f,no NOR,DF,28,27,26,2319,25.8,3,0,3,0,0,3,1,0.12,0,0.12,0.12,0.12,Matches
Andreas Linde\4d6a842d,se SWE,GK,27,25,25,2250,25,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Sheriff Sinyan\47c1458c,gm GAM,DF,24,24,23,2008,22.3,3,1,3,0,0,1,0,0.13,0.04,0.18,0.13,0.18,Matches
Etzaz Hussain\c3853da6,no NOR,MF,28,27,23,1860,20.7,2,5,2,0,0,4,0,0.1,0.24,0.34,0.1,0.34,Matches
Magnus Wolff Eikrem\3a770838,no NOR,MF,30,24,21,1613,17.9,5,8,5,0,0,2,0,0.28,0.45,0.73,0.28,0.73,Matches
Kristoffer Haugen\52d7f819,no NOR,DF,26,25,20,1939,21.5,6,1,6,0,0,4,0,0.28,0.05,0.32,0.28,0.32,Matches
Eirik Ulland Andersen\5f06ae82,no NOR,MF,28,23,16,1394,15.5,6,4,6,0,0,3,0,0.39,0.26,0.65,0.39,0.65,Matches
Fredrik Aursnes\f0677ed7,no NOR,MF,25,15,15,1307,14.5,1,5,1,0,0,1,0,0.07,0.34,0.41,0.07,0.41,Matches
Erling Knudtzon\123dd5e2,no NOR,DFMF,32,25,15,1278,14.2,1,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches
Eirik Hestad\315e74cf,no NOR,MFFW,25,17,13,1086,12.1,3,3,3,0,0,0,0,0.25,0.25,0.5,0.25,0.5,Matches
Birk Risa\c70b221c,no NOR,DF,22,17,13,1067,11.9,2,1,2,0,0,5,1,0.17,0.08,0.25,0.17,0.25,Matches
Sivert Mannsverk\773e16b9,no NOR,MF,18,14,11,1049,11.7,0,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
Stian Rode Gregersen\5f011e05,no NOR,DF,25,14,11,986,11,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches
Emil Breivik\611f4f60,no NOR,MFFW,20,20,9,1111,12.3,1,5,1,0,0,2,0,0.08,0.41,0.49,0.08,0.49,Matches
Martin Linnes\0e100630,no NOR,DF,29,11,9,815,9.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Martin Ellingsen\1d42db4a,no NOR,MF,25,7,6,495,5.5,2,0,0,2,2,2,0,0.36,0,0.36,0,0,Matches
Rafik Zekhnini\1b62a7df,no NOR,MF,23,12,5,533,5.9,0,2,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches
Marcus Pedersen\596cc50e,no NOR,DF,20,7,5,478,5.3,0,2,0,0,0,2,0,0,0.38,0.38,0,0.38,Matches
Oliver Petersen\17c602ca,no NOR,GK,19,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
David Fofana\e82900ef,ci CIV,FW,18,18,1,320,3.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Magnus Grødem\f6e8ee38,no NOR,MF,22,19,1,284,3.2,1,1,1,0,0,0,0,0.32,0.32,0.63,0.32,0.63,Matches
Fredrik Sjølstad\ce22ca27,no NOR,MF,26,6,0,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mathis Bolly\e9895d1c,ci CIV,FWMF,30,8,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Björn Sigurðarson\bb79b58f,is ISL,FW,29,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Simen Beck\1f5d1c30,no NOR,MF,18,0,0,,,,,,,,,,,,,,,Matches
Jacob Bolsø\0d3a4054,no NOR,FW,18,0,0,,,,,,,,,,,,,,,Matches
Alex Craninx\b947001e,es ESP,GK,25,0,0,,,,,,,,,,,,,,,Matches
Mathias Eriksen Ranmark\e04315c2,no NOR,GK,25,0,0,,,,,,,,,,,,,,,Matches
Peder Lervik\ce750fd2,no NOR,GK,15,0,0,,,,,,,,,,,,,,,Matches
Mathias Løvik\f17aa65c,no NOR,MF,17,0,0,,,,,,,,,,,,,,,Matches
Niklas Ødegård\76d0e227,no NOR,MF,16,0,0,,,,,,,,,,,,,,,Matches
