Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Markus Andreas Kaasa\0a7fa520,no NOR,MF,23,30,29,2445,27.2,2,3,2,0,0,3,0,0.07,0.11,0.18,0.07,0.18,Matches
Joshua Kitolano\5186dfbf,no NOR,MF,19,28,28,2444,27.2,2,2,2,0,0,6,0,0.07,0.07,0.15,0.07,0.15,Matches
Odin Lurås Bjørtuft\49399401,no NOR,DF,22,28,27,2441,27.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Filip Jörgensen\2e6e223a,no NOR,MF,18,28,27,2360,26.2,2,0,2,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
John Kitolano\e9312847,no NOR,DF,21,27,27,2321,25.8,0,1,0,0,0,6,0,0,0.04,0.04,0,0.04,Matches
Sander Svendsen\da60fd2a,no NOR,FWMF,23,28,27,2177,24.2,8,6,8,0,0,1,0,0.33,0.25,0.58,0.33,0.58,Matches
Magnus Lekven\b32bc8b3,no NOR,DFMF,33,25,25,2096,23.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gilli Rólantsson\865306d1,fo FRO,DFFW,28,20,19,1662,18.5,1,3,1,0,0,3,0,0.05,0.16,0.22,0.05,0.22,Matches
Espen Ruud\ca1efb13,no NOR,DF,36,21,18,1726,19.2,2,3,2,0,0,1,0,0.1,0.16,0.26,0.1,0.26,Matches
Tobias Lauritsen\d266f8c9,no NOR,FW,23,29,17,1633,18.1,8,3,8,0,0,1,0,0.44,0.17,0.61,0.44,0.61,Matches
Sondre Rossbach\a32554bc,no NOR,GK,24,17,17,1530,17,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Conrad Wallem\443a4bb2,no NOR,FWMF,20,30,16,1540,17.1,3,1,3,0,0,3,0,0.18,0.06,0.23,0.18,0.23,Matches
Leopold Wahlstedt\9b26a433,se SWE,GK,21,13,13,1170,13,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Mushaga Bakenga\c322feb0,no NOR,FW,28,11,10,880,9.8,11,1,6,5,5,4,0,1.13,0.1,1.23,0.61,0.72,Matches
Salomon Owusu\3dbb4356,gh GHA,DF,25,18,9,904,10,1,0,1,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
Steffen Hagen\2ba1985a,no NOR,DF,34,7,6,559,6.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Flamur Kastrati\f1972d2e,xk KVX,FW,29,13,6,482,5.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Kristoffer Larsen\55043155,no NOR,FW,29,20,5,615,6.8,1,2,1,0,0,0,0,0.15,0.29,0.44,0.15,0.44,Matches
Emil Jonassen\edbb7e67,no NOR,DF,27,4,2,159,1.8,0,1,0,0,0,0,0,0,0.57,0.57,0,0.57,Matches
Milan Jevtovi?\34bf7740,rs SRB,FW,27,11,1,282,3.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Syver Aas\b25d02b7,no NOR,MF,17,11,1,164,1.8,1,0,1,0,0,1,0,0.55,0,0.55,0.55,0.55,Matches
Kevin Johnsen\6c81108c,no NOR,DF,20,2,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Onyekachi Hope Ugwuadu\2eecbeb0,ng NGA,FW,23,5,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Thomas Hallstensen\f7e37b89,no NOR,MF,18,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Eirik Gayi\af559be1,no NOR,FW,20,0,0,,,,,,,,,,,,,,,Matches
Björn Maeland\1bac6f56,no NOR,DF,19,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
