Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jacob Storevik\84088e33,no NOR,GK,24,30,30,2700,30,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Viðar Ari Jónsson\f816d98c,is ISL,FWDF,26,29,29,2489,27.7,11,4,11,0,0,5,0,0.4,0.14,0.54,0.4,0.54,Matches
Alexander Ruud Tveter\2eb7eb41,no NOR,FW,29,30,28,2390,26.6,6,3,6,0,0,0,0,0.23,0.11,0.34,0.23,0.34,Matches
Sander Foss\dd6c1712,no NOR,DF,22,28,26,2431,27,2,0,2,0,0,6,0,0.07,0,0.07,0.07,0.07,Matches
Martin Kreuzriegler\002ac0a2,at AUT,DF,27,27,26,2305,25.6,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
Kristoffer Normann Hansen\92a57cd6,no NOR,FW,26,26,23,2085,23.2,7,6,7,0,0,2,0,0.3,0.26,0.56,0.3,0.56,Matches
Brice Wembangomo\c1851bfd,no NOR,DF,24,24,23,1937,21.5,0,2,0,0,0,4,0,0,0.09,0.09,0,0.09,Matches
William Kurtovic\a78115ac,se SWE,MF,24,24,21,1882,20.9,2,1,2,0,0,4,0,0.1,0.05,0.14,0.1,0.14,Matches
Harmeet Singh\aae023c4,no NOR,MF,30,22,21,1715,19.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Mats Haakenstad\c85826b7,no NOR,DF,27,17,17,1474,16.4,0,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
Sander Risan Mørk\768cfef9,no NOR,MF,20,22,14,1090,12.1,2,2,2,0,0,0,0,0.17,0.17,0.33,0.17,0.33,Matches
Amer Ordagi?\216696a4,ba BIH,MF,27,17,12,1084,12,0,2,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches
Ian Smeulers\732e0da3,nl NED,DF,21,12,12,972,10.8,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Marc Vales\3ac2d87f,ad AND,DF,30,18,11,1085,12.1,1,0,1,0,0,5,0,0.08,0,0.08,0.08,0.08,Matches
Erik Næsbak Brenden\6c22a354,no NOR,MF,27,20,10,984,10.9,3,1,3,0,0,2,0,0.27,0.09,0.37,0.27,0.37,Matches
Franklin Nyenetue\bd8df7cf,no NOR,FW,20,23,7,696,7.7,0,1,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
Zé Eduardo\cb2d343d,br BRA,MF,29,18,5,588,6.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
André Sødlund\a0bdd879,no NOR,MFFW,24,14,4,496,5.5,0,0,0,0,1,1,0,0,0,0,0,0,Matches
Enric Vallès\1d9c1eca,es ESP,MF,30,8,4,364,4,0,1,0,0,0,0,0,0,0.25,0.25,0,0.25,Matches
Deyver Vega\29c0b088,cr CRC,FW,28,5,3,211,2.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Moussa Njie\b7520ab1,no NOR,FW,25,7,2,234,2.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lars Markmanrud\abb9e02a,no NOR,DF,19,2,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Henrik Falchener\57fe6b9b,no NOR,DF,17,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sivert Gussiås\16855f19,no NOR,FW,21,12,0,200,2.2,1,0,1,0,1,0,0,0.45,0,0.45,0.45,0.45,Matches
Vetle Egeli\fed7524b,no NOR,MF,16,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Celorrio\f7e488f9,es ESP,FW,23,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jørgen Kili Fjeldskår\c7eda84c,no NOR,DF,18,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Peder Johansen\3370367b,no NOR,MF,17,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Chuma Anene\43718610,no NOR,FW,27,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Filip Loftesnes-Bjune\ea8507d2,no NOR,MF,15,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Albertsen\ce564526,no NOR,GK,16,0,0,,,,,,,,,,,,,,,Matches
Frederik Due\f0397922,dk DEN,GK,28,0,0,,,,,,,,,,,,,,,Matches
Sindre Egeli\25172468,,FW,,0,0,,,,,,,,,,,,,,,Matches
Jesper Granlund\44612501,no NOR,GK,21,0,0,,,,,,,,,,,,,,,Matches
Mads Martinsen\05a610e8,,GK,,0,0,,,,,,,,,,,,,,,Matches
Danilo Santos\f01c70aa,,FW,,0,0,,,,,,,,,,,,,,,Matches
Vetle Wallestad\9eb35b8f,,MF,,0,0,,,,,,,,,,,,,,,Matches
