Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Anders Kristiansen\61dc42f4,no NOR,GK,30,30,30,2689,29.9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Joachim Thomassen\ebc06041,no NOR,MF,32,27,27,2377,26.4,3,1,3,0,0,7,0,0.11,0.04,0.15,0.11,0.15,Matches
Bjørn Inge Utvik\5e388ecf,no NOR,DF,24,28,27,2375,26.4,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches
Anton Salétros\3da8c3f9,se SWE,MFFW,24,26,26,2230,24.8,3,7,3,0,0,5,1,0.12,0.28,0.4,0.12,0.4,Matches
Ibrahima Koné\04bb2b06,ml MLI,FW,21,28,26,2168,24.1,11,3,10,1,1,5,1,0.46,0.12,0.58,0.42,0.54,Matches
Magnar Ødegaard\4fb49fb1,no NOR,DFMF,27,27,25,2150,23.9,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Mikael Dyrestam\3354f7d4,gn GUI,DF,29,24,24,2095,23.3,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Jonathan Lindseth\ca3a24de,no NOR,FWMF,24,25,21,1838,20.4,10,3,10,0,0,3,0,0.49,0.15,0.64,0.49,0.64,Matches
Eirik Wichne\aed60196,no NOR,MF,23,27,20,1691,18.8,1,5,1,0,0,2,0,0.05,0.27,0.32,0.05,0.32,Matches
Nicolai Næss\54d629b3,no NOR,MFDF,28,23,19,1767,19.6,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Benjamin Karamoko\acb9db1b,ml MLI,DF,25,23,16,1502,16.7,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches
Mikkel Maigaard\b123f11d,dk DEN,MF,25,13,12,1002,11.1,0,4,0,0,0,1,0,0,0.36,0.36,0,0.36,Matches
Dario ?ana?ija\da933459,hr CRO,MF,26,12,10,850,9.4,1,1,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,Matches
Ole Jørgen Halvorsen\13d74bff,no NOR,FWMF,33,24,9,966,10.7,1,1,1,0,0,3,0,0.09,0.09,0.19,0.09,0.19,Matches
Emil Pálsson\3897de73,is ISL,MF,27,12,7,583,6.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Joachim Soltvedt\e1453b38,no NOR,MFFW,25,16,6,616,6.8,0,1,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
Gaute Høberg Vetti\947239ca,no NOR,MF,22,8,6,531,5.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Kristian Fardal Opseth\769f9f28,no NOR,FW,31,16,5,604,6.7,5,1,5,0,0,0,0,0.75,0.15,0.89,0.75,0.89,Matches
Sulayman Bojang\8f87b70a,gm GAM,MF,23,10,4,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mohamed Ofkir\070f654b,no NOR,FW,24,7,3,299,3.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Steffen Lie Skålevik\3f1bfab6,no NOR,FW,28,8,2,259,2.9,1,0,1,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
Rashad Muhammed\29e33bf3,fr FRA,FW,27,11,2,219,2.4,1,0,1,0,0,2,0,0.41,0,0.41,0.41,0.41,Matches
Guillermo Molins\cda49f68,se SWE,FW,32,4,2,130,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Laurent Mendy\05f598e8,sn SEN,MF,19,3,1,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sebastian Jarl\d002e865,no NOR,MF,21,6,0,88,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Felix Michel\1621858d,lb LIB,MF,26,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Simen Nilsen\65ee03f3,no NOR,GK,20,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Leo Hermansen\fd401b77,no NOR,MF,17,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Amadou Camara\c165b253,ml MLI,FW,20,0,0,,,,,,,,,,,,,,,Matches
Emir Derviskadic\054d697c,ba BIH,MF,16,0,0,,,,,,,,,,,,,,,Matches
Jesper Johansen\1a5aa95c,no NOR,MF,18,0,0,,,,,,,,,,,,,,,Matches
Markus Welinder\6fcb796e,no NOR,DF,17,0,0,,,,,,,,,,,,,,,Matches
Leander Øy\f6d3db80,no NOR,MF,17,0,0,,,,,,,,,,,,,,,Matches
