Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Sturla Ottesen\6a036a64,no NOR,DFMF,19,29,29,2609,29,1,3,1,0,0,5,0,0.03,0.1,0.14,0.03,0.14,Matches
Marcus Sandberg\308d850e,se SWE,GK,30,29,29,2568,28.5,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Nicolas Pignatel Jenssen\1512bdc2,no NOR,DF,19,27,25,2092,23.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Simen Wangberg\8e9d6ae8,no NOR,DF,29,26,22,1904,21.2,3,0,3,0,0,4,0,0.14,0,0.14,0.14,0.14,Matches
Kornelius Hansen\a7273643,no NOR,MFFW,19,25,21,1807,20.1,2,3,2,0,0,2,1,0.1,0.15,0.25,0.1,0.25,Matches
Markus Solbakken\fe0f9f6a,no NOR,MF,20,26,21,1753,19.5,1,0,1,0,0,1,0,0.05,0,0.05,0.05,0.05,Matches
Oliver Edvardsen\b54b05e2,no NOR,FWMF,21,25,20,1658,18.4,7,4,7,0,0,1,0,0.38,0.22,0.6,0.38,0.6,Matches
Fitim Azemi\2cd030ea,no NOR,FW,28,19,14,1146,12.7,2,0,2,0,1,1,0,0.16,0,0.16,0.16,0.16,Matches
Sammy Skytte\e37b182d,dk DEN,MF,23,15,13,1086,12.1,2,0,1,1,2,4,0,0.17,0,0.17,0.08,0.08,Matches
Jeppe Moe\4c70514e,no NOR,DFMF,25,16,12,1006,11.2,1,1,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
Fredrik Haugen\8b25b500,no NOR,MF,28,13,12,993,11,3,2,3,0,0,1,0,0.27,0.18,0.45,0.27,0.45,Matches
Ivan Mesík\7e054ee8,sk SVK,DF,19,12,11,1008,11.2,1,0,1,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches
Victor Wernersson\0b4921f3,se SWE,DFMF,25,13,10,910,10.1,0,1,0,0,0,2,0,0,0.1,0.1,0,0.1,Matches
Yaw Ihle Amankwah\27f2d937,no NOR,DF,32,13,10,896,10,1,0,1,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
Kaloyan Kostadinov\3b07f1ea,no NOR,MF,18,19,9,939,10.4,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Matches
Kasper Pedersen\debeeea1,dk DEN,DF,28,12,8,750,8.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Herolind Shala\efe260a3,xk KVX,MF,28,11,8,664,7.4,0,3,0,0,0,2,0,0,0.41,0.41,0,0.41,Matches
Mats Solheim\6fcefbad,no NOR,DF,33,11,7,671,7.5,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
Pål Alexander Kirkevold\60dc8778,no NOR,FW,30,14,7,634,7,1,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
Kosuke Kinoshita\2b42a1f1,jp JPN,FW,26,10,7,598,6.6,1,0,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
Martin Høyland\4eb19c82,no NOR,MF,25,8,7,580,6.4,1,0,1,0,0,1,0,0.16,0,0.16,0.16,0.16,Matches
Tomás Podstawski\991a28c4,pt POR,MF,26,11,6,571,6.3,0,1,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches
Antonio Nusa\4ab12002,no NOR,FW,15,11,6,565,6.3,3,0,3,0,0,0,0,0.48,0,0.48,0.48,0.48,Matches
Kristian Torgersen\58265b65,no NOR,MF,17,8,5,472,5.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Herman Geelmuyden\d03e4082,no NOR,MF,19,19,4,611,6.8,2,1,2,0,0,3,0,0.29,0.15,0.44,0.29,0.44,Matches
Mathis Bolly\e9895d1c,ci CIV,MFFW,30,15,4,536,6,3,0,3,0,0,1,0,0.5,0,0.5,0.5,0.5,Matches
Tortol Lumanza\925046bd,be BEL,MF,26,6,1,225,2.5,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,Matches
Oleksiy Khoblenko\77d1f9af,ua UKR,FW,26,4,1,141,1.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jonas Brauti\936ba0f5,no NOR,GK,21,2,1,129,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Uche Sabastine\28c596a3,ng NGA,FW,20,5,0,50,0.6,0,1,0,0,0,1,0,0,1.8,1.8,0,1.8,Matches
Olav Lilleoren Veum\92327747,no NOR,DF,16,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aleksander Andresen\b44abbe1,no NOR,FW,15,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Emil Jonassen\edbb7e67,no NOR,DF,27,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Viktor Engh\25962c13,no NOR,GK,16,0,0,,,,,,,,,,,,,,,Matches
Jesper Isaksen\043f7a23,no NOR,MF,21,0,0,,,,,,,,,,,,,,,Matches
Chris James\6ae13227,nz NZL,MF,33,0,0,,,,,,,,,,,,,,,Matches
Marius Ulla\8c7eea8b,no NOR,GK,18,0,0,,,,,,,,,,,,,,,Matches
Peder Vogt\e18f9067,no NOR,DF,20,0,0,,,,,,,,,,,,,,,Matches
