Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Gustav Valsvik\482e9289,no NOR,DF,27,29,29,2595,28.8,3,1,3,0,0,1,1,0.1,0.03,0.14,0.1,0.14,Matches
Herman Stengel\00608940,no NOR,MF,25,29,29,2559,28.4,6,4,3,3,3,5,0,0.21,0.14,0.35,0.11,0.25,Matches
Johan Hove\0a32c00c,no NOR,MF,20,29,29,2497,27.7,6,3,6,0,0,1,0,0.22,0.11,0.32,0.22,0.32,Matches
Fred Friday\fbaf247c,ng NGA,FW,25,30,29,2481,27.6,7,1,7,0,0,3,0,0.25,0.04,0.29,0.25,0.29,Matches
Halldor Stenevik\d1593f05,no NOR,MFFW,20,29,28,2413,26.8,2,4,2,0,0,6,0,0.07,0.15,0.22,0.07,0.22,Matches
Viljar Myhra\7e83921b,no NOR,GK,24,27,27,2368,26.3,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Lars-Christopher Vilsvik\35a43937,no NOR,DF,32,26,26,2259,25.1,1,4,1,0,0,1,0,0.04,0.16,0.2,0.04,0.2,Matches
Tobias Gulliksen\7f24d8d9,no NOR,MFFW,17,27,23,1937,21.5,5,1,5,0,0,5,0,0.23,0.05,0.28,0.23,0.28,Matches
Niklas Gunnarsson\64fbb7f4,no NOR,DF,29,19,17,1533,17,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches
Jonathan Parr\62110c96,no NOR,DF,32,18,17,1210,13.4,0,4,0,0,0,1,0,0,0.3,0.3,0,0.3,Matches
Ari Leifsson\c3e92b99,is ISL,DF,22,18,16,1438,16,1,0,1,0,0,6,0,0.06,0,0.06,0.06,0.06,Matches
Jack Ipalibo\73e620c1,ng NGA,MF,22,22,12,998,11.1,3,0,3,0,0,3,0,0.27,0,0.27,0.27,0.27,Matches
Kreshnik Krasniqi\03d254a7,xk KVX,MF,20,20,8,880,9.8,1,1,1,0,0,3,0,0.1,0.1,0.2,0.1,0.2,Matches
Thomas Grøgaard\836689d0,no NOR,DF,26,13,7,732,8.1,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
Mikkel Maigaard\b123f11d,dk DEN,MF,25,14,7,688,7.6,1,0,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches
Moses Mawa\2dd3f285,no NOR,FWMF,24,12,7,667,7.4,1,0,1,0,0,2,0,0.13,0,0.13,0.13,0.13,Matches
Kristoffer Tokstad\00337474,no NOR,MFFW,29,19,4,577,6.4,3,1,3,0,0,1,0,0.47,0.16,0.62,0.47,0.62,Matches
Valdimar Þór Ingimundarson\608f77ea,is ISL,MFFW,21,15,4,405,4.5,0,1,0,0,0,2,0,0,0.22,0.22,0,0.22,Matches
Prosper Mendy\54fc4967,fr FRA,DF,24,9,3,412,4.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Morten Sætra\4399d444,no NOR,GK,23,4,3,332,3.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Duplexe Tchamba\75926036,cm CMR,DF,22,3,2,189,2.1,1,0,1,0,0,0,0,0.48,0,0.48,0.48,0.48,Matches
Jordan Kadiri\0ae77d52,ng NGA,FW,20,7,1,164,1.8,1,0,1,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
Ole Kristian Enersen\5c79edf4,no NOR,MF,18,6,1,160,1.8,0,1,0,0,0,2,0,0,0.56,0.56,0,0.56,Matches
Sondre Hanssen\12ff6acb,no NOR,DF,19,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Look Saa Mickelson\d5088b9a,no NOR,DF,21,4,0,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Nyhagen\4c5d4052,no NOR,DF,22,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Simen Hammershaug\fa7a3f3f,no NOR,FW,20,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Eirik Blikstad\095e79b2,no NOR,DF,16,0,0,,,,,,,,,,,,,,,Matches
Casper Bottolfs Svendby\e1e17db3,no NOR,MF,,0,0,,,,,,,,,,,,,,,Matches
Marko Farji\e046cff6,no NOR,MF,16,0,0,,,,,,,,,,,,,,,Matches
Daniel Negussie\9a9ec524,no NOR,GK,19,0,0,,,,,,,,,,,,,,,Matches
Andreas Skjold\771b8b13,no NOR,MF,17,0,0,,,,,,,,,,,,,,,Matches
Aleksander Stenseth\b882f735,no NOR,MF,20,0,0,,,,,,,,,,,,,,,Matches
