Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jacob Karlstrom\eb6fac77,no NOR,GK,24,30,30,2700,30,0,1,0,0,0,1,0,0,0.03,0.03,0,0.03,Matches
Ruben Yttergård Jenssen\62e0b5c2,no NOR,MF,32,29,29,2609,29,0,3,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches
Tomas Totland\8bb174fc,no NOR,MF,22,27,27,2392,26.6,5,3,5,0,0,3,0,0.19,0.11,0.3,0.19,0.3,Matches
Eric Kitolano\9bdb6d1b,no NOR,MF,23,28,27,2369,26.3,4,5,4,0,0,3,0,0.15,0.19,0.34,0.15,0.34,Matches
August Mikkelsen\8f2fd783,no NOR,FW,20,27,26,2275,25.3,8,2,8,0,0,2,0,0.32,0.08,0.4,0.32,0.4,Matches
Anders Jenssen\e62d881a,no NOR,DF,27,26,23,2040,22.7,1,0,1,0,0,3,1,0.04,0,0.04,0.04,0.04,Matches
Isak Amundsen\7fdb872a,no NOR,DF,21,25,19,1769,19.7,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,Matches
Moses Ebiye\8bc0c3cd,ng NGA,FW,23,23,19,1586,17.6,8,3,8,0,0,0,0,0.45,0.17,0.62,0.45,0.62,Matches
Jostein Gundersen\bf4aca93,no NOR,DF,24,18,18,1590,17.7,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Niklas Vesterlund\3829be9f,dk DEN,MFDF,21,25,14,1368,15.2,2,1,2,0,0,2,0,0.13,0.07,0.2,0.13,0.2,Matches
Sakarias Opsahl\414ffde8,no NOR,MF,21,19,14,1190,13.2,0,2,0,0,0,1,0,0,0.15,0.15,0,0.15,Matches
Lasse Nilsen\c58c2194,no NOR,MFDF,25,17,14,1125,12.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Kent-Are Antonsen\f374a4b3,no NOR,DFMF,25,16,13,1224,13.6,1,0,1,0,1,2,0,0.07,0,0.07,0.07,0.07,Matches
Christophe Psyché\282a91fb,fr FRA,DF,32,16,13,1117,12.4,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Daniel Berntsen\dbafa9b1,no NOR,MF,27,23,11,1006,11.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Runar Espejord\16322a52,no NOR,FW,24,17,10,820,9.1,0,4,0,0,0,0,0,0,0.44,0.44,0,0.44,Matches
Casper Øyvann\12dfd92a,no NOR,DF,21,18,10,806,9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Adam Örn Arnarson\f46c154c,is ISL,MF,25,13,5,531,5.9,1,1,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,Matches
Felix Winther\95857afb,dk DEN,MFFW,20,9,5,397,4.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Zden?k Ondrášek\8d120526,cz CZE,FW,32,11,3,431,4.8,1,1,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Matches
Joachim Rothmann\61f0d968,dk DEN,FW,20,7,0,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mikael Ingebrigtsen\57ec4a53,no NOR,FWMF,24,6,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Magnus Andersen\1aca259c,no NOR,MF,34,7,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jesper Robertsen\4e8a0f26,no NOR,MF,16,3,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Runar Norheim\f20b5af8,no NOR,MF,15,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tobias Hafstad\b76eec70,no NOR,FW,18,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Simen Henriksen\dbd113c1,no NOR,FW,18,0,0,,,,,,,,,,,,,,,Matches
Simon Thomas\f4fe8ace,ca CAN,GK,30,0,0,,,,,,,,,,,,,,,Matches
Mats Trige\725b7b5f,no NOR,GK,18,0,0,,,,,,,,,,,,,,,Matches
Isak Vik\46294e23,no NOR,DF,18,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
