Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Fredrik Oldrup Jensen\33521c27,no NOR,MF,27,30,30,2696,30,2,2,2,0,0,0,0,0.07,0.07,0.13,0.07,0.13,Matches
Henrik Bjørdal\7e2c5d75,no NOR,MFDF,23,30,30,2654,29.5,4,4,2,2,2,3,0,0.14,0.14,0.27,0.07,0.2,Matches
Jonatan Tollås\e8994bec,no NOR,DF,30,28,28,2475,27.5,3,1,3,0,0,4,0,0.11,0.04,0.15,0.11,0.15,Matches
Amor Layouni\e9e41fd0,tn TUN,FW,28,28,27,2132,23.7,3,6,3,0,0,4,0,0.13,0.25,0.38,0.13,0.38,Matches
Ivan Näsberg\6e945f87,no NOR,DF,24,26,26,2187,24.3,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Osame Sahraoui\6f9fa232,no NOR,MFFW,19,27,24,2187,24.3,2,6,2,0,0,2,0,0.08,0.25,0.33,0.08,0.33,Matches
Tobias Christensen\d87d58e7,no NOR,MFFW,20,30,23,2132,23.7,3,1,3,0,0,3,0,0.13,0.04,0.17,0.13,0.17,Matches
Christian Borchgrevink\4505c242,no NOR,DF,21,24,23,2023,22.5,3,3,3,0,0,5,0,0.13,0.13,0.27,0.13,0.27,Matches
Viðar Örn Kjartansson\348e0505,is ISL,FW,30,18,17,1305,14.5,5,0,5,0,0,0,0,0.34,0,0.34,0.34,0.34,Matches
Leonard Zuta\248be14f,mk MKD,DF,28,16,16,1435,15.9,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
Kristoffer Klaesson\3f70db80,no NOR,GK,20,14,14,1260,14,0,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
Kjetil Haug\d3ae48eb,no NOR,GK,22,14,14,1223,13.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sam Adekugbe\7f2309be,ca CAN,DF,26,12,12,1080,12,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Henrik Udahl\bd5d1d10,no NOR,FW,24,25,11,1157,12.9,6,2,6,0,0,0,0,0.47,0.16,0.62,0.47,0.62,Matches
Odin Thiago Holm\0355010f,no NOR,MF,18,19,9,845,9.4,3,1,3,0,0,2,0,0.32,0.11,0.43,0.32,0.43,Matches
Aron Dønnum\10cff752,no NOR,FW,22,10,9,762,8.5,6,3,4,2,3,2,0,0.71,0.35,1.06,0.47,0.83,Matches
Seedy Jatta\7b04c5cb,no NOR,FW,17,24,7,768,8.5,2,0,2,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
Brage Skaret\5a349949,no NOR,DF,18,8,5,502,5.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Felix Myhre\cf8469d2,no NOR,DF,21,6,2,275,3.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mathias Dyngeland\00a0b181,no NOR,GK,25,3,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nicolaj Thomsen\e2bf2abc,dk DEN,DF,27,12,1,248,2.8,1,0,1,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
Albin Mörfelt\885b817b,se SWE,FW,21,4,0,48,0.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jacob Eng\b8b63e3e,no NOR,FW,16,6,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sakarias Opsahl\414ffde8,no NOR,MF,21,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mathias Emilsen\eca45998,no NOR,MF,17,3,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fredrik Holmé\3dddb2e4,no NOR,MF,19,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Magnus Riisnæs\f5f2a449,no NOR,MF,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Amin Nouri\2ea2178a,no NOR,DF,31,0,0,,,,,,,,,,,,,,,Matches
Oskar Opsahl\f215373c,no NOR,DF,19,0,0,,,,,,,,,,,,,,,Matches
Magnus Sjøeng\571262e6,no NOR,GK,18,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
