Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Daniel Andersen\ef6cc2c8,dk DEN,GK,AGF,20,2001,1,1,90,1,2,2,7,5,71.4,0,1,0,0,0,0,0,0,0,,Matches
Mikkel Andersen\63e905bc,dk DEN,GK,Viborg,32,1988,6,6,540,6,9,1.5,30,22,73.3,2,3,1,0,0,1,1,0,0,0,Matches
Aske Andresen\486710d5,dk DEN,GK,Silkeborg,16,2005,1,1,90,1,3,3,7,4,57.1,0,0,1,0,0,0,0,0,0,,Matches
Alexander Brunst\99219195,de GER,GK,Vejle BK,26,1995,21,21,1890,21,35,1.67,105,72,68.6,4,6,11,6,28.6,3,2,0,1,0,Matches
Patrik Carlgren\168c50c5,se SWE,GK,Randers,29,1992,32,32,2880,32,42,1.31,156,114,73.1,12,7,13,6,18.8,0,0,0,0,,Matches
Oliver Christensen\af104654,dk DEN,GK,Odense,22,1999,6,6,540,6,10,1.67,27,18,66.7,1,3,2,0,0,1,1,0,0,0,Matches
Hans Christian Bernat\e49bda8e,dk DEN,GK,Odense,20,2000,26,26,2340,26,36,1.38,121,86,70.2,7,11,8,4,15.4,1,0,1,0,100,Matches
Nicolai Flø\ef0ea1ab,dk DEN,GK,SønderjyskE,25,1995,8,8,720,8,10,1.25,43,35,79.1,2,3,3,1,12.5,2,1,1,0,50,Matches
Kamil Grabara\62182b1d,pl POL,GK,FC Copenhagen,22,1999,32,32,2880,32,19,0.59,90,75,82.2,20,8,4,18,56.3,4,3,1,0,25,Matches
Sten Grytebust\c9f11454,no NOR,GK,Vejle BK,31,1989,10,10,900,10,24,2.4,60,38,63.3,2,2,6,1,10,2,2,0,0,0,Matches
Eduardo Dos Santos Haesler\1b9a46d1,de GER,GK,Nordsjælland,22,1999,5,5,450,5,12,2.4,32,20,62.5,1,0,4,0,0,0,0,0,0,,Matches
Lucas Hägg-Johansson\0e014062,se SWE,GK,Vejle BK,27,1994,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,0,,Matches
Andreas Hansen\5a98a7bd,dk DEN,GK,Nordsjælland,25,1995,15,15,1350,15,16,1.07,68,53,77.9,4,8,3,4,26.7,1,1,0,0,0,Matches
Jesper Hansen\a3b952f8,dk DEN,GK,AGF,36,1985,31,31,2790,31,41,1.32,135,98,71.9,6,11,14,8,25.8,5,3,1,1,25,Matches
Mads Hermansen\c924b17d,dk DEN,GK,Brøndby,21,2000,29,29,2610,29,38,1.31,128,96,75,10,9,10,5,17.2,6,6,0,0,0,Matches
Nicolai Larsen\49fcd7b8,dk DEN,GK,Silkeborg,30,1991,31,31,2790,31,34,1.1,114,80,71.1,13,10,8,8,25.8,1,1,0,0,0,Matches
Jonas Lössl\939bc634,dk DEN,GK,Midtjylland,32,1989,8,8,720,8,8,1,29,21,72.4,4,1,3,3,37.5,0,0,0,0,,Matches
Lucas Lund Pedersen\20087b70,dk DEN,GK,Viborg,21,2000,26,26,2340,26,34,1.31,118,86,73.7,8,11,7,6,23.1,3,3,0,0,0,Matches
Thomas Mikkelsen\d0d98611,dk DEN,GK,Brøndby,37,1983,3,3,270,3,3,1,11,9,81.8,3,0,0,1,33.3,1,1,0,0,0,Matches
Emmanuel Ogura\b5528788,gh GHA,GK,Nordsjælland,19,2002,7,7,630,7,16,2.29,46,31,67.4,0,3,4,0,0,1,1,0,0,0,Matches
David Ousted\28269907,dk DEN,GK,Midtjylland,36,1985,11,10,906,10.1,11,1.09,42,32,76.2,7,2,1,3,30,1,1,0,0,0,Matches
Elías Rafn Ólafsson\99047b00,is ISL,GK,Midtjylland,21,2000,14,14,1254,13.9,14,1,56,42,75,9,2,3,6,42.9,0,0,0,0,,Matches
Jacob Rinne\09d131ed,se SWE,GK,Aalborg,28,1993,32,32,2880,32,45,1.41,151,112,74.2,13,6,13,11,34.4,6,6,0,0,0,Matches
Lawrence Thomas\14667592,au AUS,GK,SønderjyskE,29,1992,24,24,2160,24,44,1.83,109,66,60.6,2,8,14,3,12.5,2,1,0,1,0,Matches
Peter Vindahl Jensen\7b433ed0,dk DEN,GK,Nordsjælland,23,1998,5,5,450,5,3,0.6,12,9,75,3,1,1,3,60,0,0,0,0,,Matches
