Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Mads Aaquist\9344895b,dk DEN,MF,Viborg,26,1994,1.1,0,0,0,5,0,0,3,3,1,,,0,Matches
Jonas Abbew\c93f728c,dk DEN,DF,Nordsjælland,19,2002,3.9,0,0,0,0,0,0,0,5,3,,,0,Matches
Francis Abu\66fb354d,gh GHA,MF,Nordsjælland,20,2001,11.3,2,1,0,17,11,0,5,11,22,,,0,Matches
Simon Adingra\4dcec659,ci CIV,FWMF,Nordsjælland,19,2002,20.1,5,0,0,30,18,14,62,9,24,,,0,Matches
Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Vejle BK,27,1993,0.4,0,0,0,0,1,0,0,1,1,,,0,Matches
Mel Agnero\bc5fc7b6,ci CIV,FW,Nordsjælland,18,2003,0.4,1,0,0,4,0,0,0,0,0,,,0,Matches
Jakob Ahlmann Nielsen\3057b8b9,dk DEN,MFDF,Aalborg,30,1991,15.3,6,0,0,41,18,0,33,21,23,,,0,Matches
Raúl Albentosa\348e4809,es ESP,DF,Vejle BK,32,1988,12.4,6,1,1,5,10,2,6,27,17,,,0,Matches
Miiko Albornoz\d459281d,cl CHI,MFDF,Vejle BK,30,1990,10.9,5,0,0,13,14,2,65,20,16,,,0,Matches
Mads Albæk\06aa77a6,dk DEN,MF,SønderjyskE,31,1990,26.9,7,0,0,32,23,0,125,35,20,,,0,Matches
Wessam Haissam Abou Ali\a06467dc,dk DEN,FW,Silkeborg,22,1999,0.6,0,0,0,2,0,0,0,0,1,,,0,Matches
Alexander Ammitzbøll\0d1c3981,dk DEN,FW,AGF,22,1999,0.8,0,0,0,1,4,0,0,1,0,,,0,Matches
Akinkunmi Amoo\bc2d4118,ng NGA,MF,FC Copenhagen,19,2002,0.7,0,0,0,0,0,0,0,2,1,,,0,Matches
Daniel Andersen\ef6cc2c8,dk DEN,GK,AGF,20,2001,1,0,0,0,0,1,0,0,0,0,,,0,Matches
Lucas Andersen\bb753183,dk DEN,MF,Aalborg,26,1994,4.6,0,0,0,4,9,2,20,5,7,,,0,Matches
Mikkel Andersen\63e905bc,dk DEN,GK,Viborg,32,1988,6,0,0,0,0,0,0,0,0,0,,,0,Matches
Mikael Anderson\0a721e85,is ISL,MF,Midtjylland,23,1998,1.4,0,0,0,2,3,0,2,2,1,,,0,Matches
Mikael Anderson\0a721e85,is ISL,MF,AGF,23,1998,17.3,7,0,0,30,48,2,15,12,9,,,0,Matches
Hugo Andersson\f026e46a,se SWE,DF,Randers,22,1999,4.6,4,0,0,7,4,0,0,6,3,,,0,Matches
Joel Andersson\b5f66351,se SWE,MF,Midtjylland,24,1996,28.4,2,0,0,18,15,1,76,18,30,,,0,Matches
Mattias Andersson\f8ee1ea5,se SWE,DF,Randers,23,1998,1,0,0,0,1,0,0,0,1,1,,,0,Matches
Aske Andresen\486710d5,dk DEN,GK,Silkeborg,16,2005,1,0,0,0,0,0,0,0,0,0,,,0,Matches
Jakob Ankersen\7340cf33,dk DEN,MFFW,Randers,30,1990,16,0,0,0,15,22,8,60,10,25,,,0,Matches
Peter Ankersen\df525574,dk DEN,DF,FC Copenhagen,30,1990,22.2,3,0,0,8,39,3,103,31,24,,,0,Matches
Oliver Antman\c63d7d38,fi FIN,FWMF,Nordsjælland,19,2001,16.4,0,0,0,6,8,5,29,6,10,,,0,Matches
Daniel Anyembe\c7e3b9e9,dk DEN,DF,Viborg,23,1998,14.6,1,0,0,4,6,0,42,10,11,,,0,Matches
Hákon Arnar Haraldsson\e2ae54db,is ISL,MFFW,FC Copenhagen,18,2003,6,0,0,0,4,9,1,8,6,6,,,0,Matches
Rocco Ascone\bdf1db39,fr FRA,FW,Nordsjælland,17,2003,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Yann Aurel Bisseck\3963c25b,de GER,DF,AGF,20,2000,23.5,4,0,0,16,22,0,0,47,8,,,0,Matches
Khouma Babacar\422ec08a,sn SEN,FW,FC Copenhagen,28,1993,6.3,2,0,0,4,10,7,1,1,3,,,0,Matches
Edgar Babayan\cddd2df7,am ARM,MFFW,Vejle BK,25,1995,7.6,2,0,0,9,4,3,55,4,4,,,0,Matches
Younes Bakiz\48ab6342,dk DEN,FW,Viborg,22,1999,21.8,3,0,0,34,55,0,24,19,24,,,0,Matches
Roony Bardghji\88ce7ddc,se SWE,MFFW,FC Copenhagen,15,2005,8.2,1,0,0,10,8,4,1,1,7,,,0,Matches
Atli Barkarson\5a91853f,is ISL,MFDF,SønderjyskE,20,2001,4.9,1,0,0,3,1,1,8,7,4,,,0,Matches
Tobias Bech\eb6f92e8,dk DEN,FW,Viborg,19,2002,19.5,6,0,0,18,11,6,35,10,20,,,0,Matches
Asker Beck\b2707d24,,MF,AGF,,,0,0,0,0,0,0,0,0,1,1,,,0,Matches
Joe Bell\7825847e,nz NZL,MF,Brøndby,22,1999,12.2,2,0,0,11,7,0,55,19,25,,,0,Matches
Anis Ben Slimane\9ade9ce1,tn TUN,MFFW,Brøndby,20,2001,27.6,6,0,0,43,29,2,14,25,45,,,0,Matches
Pierre Bengtsson\d1992a3b,se SWE,DFMF,FC Copenhagen,33,1988,0.4,0,0,0,1,2,0,1,0,0,,,0,Matches
Lasse Berg Johnsen\a0b95824,no NOR,MF,Randers,21,1999,30.1,4,0,0,27,25,0,15,38,52,,,0,Matches
Sofus Berger Brix\c6e9b36b,dk DEN,MF,Viborg,18,2003,4.3,1,0,0,13,4,0,4,0,3,,,0,Matches
Emil Berggreen\8be4fd6a,dk DEN,FW,SønderjyskE,28,1993,4,2,1,1,6,4,1,1,0,0,,,0,Matches
Victor Bernth Kristiansen\505486d6,dk DEN,DF,FC Copenhagen,18,2002,18.4,2,0,0,12,8,1,61,20,22,,,0,Matches
Mads Bidstrup\407db0d5,dk DEN,MF,Nordsjælland,20,2001,11.5,3,0,0,23,19,0,4,25,23,,,0,Matches
Pep Biel\1c59240b,es ESP,MFFW,FC Copenhagen,24,1996,28.9,3,0,0,27,23,3,169,16,21,,,0,Matches
Carl Björk\3b2bdc7e,se SWE,FW,Brøndby,21,2000,3.6,1,0,0,5,8,0,1,2,1,,,0,Matches
Peter Bjur\7c962fda,dk DEN,MF,Brøndby,21,2000,0.3,0,0,0,0,0,1,1,0,0,,,0,Matches
Nicolai Boilesen\08fe932d,dk DEN,DF,FC Copenhagen,29,1992,24.1,5,1,0,9,6,0,9,27,9,,,0,Matches
Jakob Bonde\0effaa3b,dk DEN,MF,Viborg,27,1993,27.8,6,0,0,29,19,4,19,31,25,,,0,Matches
Frederik Brandhof\c2af37df,dk DEN,MF,AGF,25,1996,19.1,6,0,0,33,36,0,23,21,22,,,1,Matches
Mathias Brems\3c7abd19,dk DEN,DF,Odense,19,2002,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
Jakob Breum\31c61ac7,dk DEN,MFFW,Odense,17,2003,9.3,0,0,0,6,19,2,16,5,13,,,0,Matches
Mark Brink\ae149bdb,dk DEN,MF,Silkeborg,23,1998,29.7,0,0,0,12,31,0,12,42,25,,,0,Matches
Nicolai Brock-Madsen\0443d045,dk DEN,FW,Randers,28,1993,6.3,2,0,0,20,6,6,0,1,3,,,0,Matches
Júnior Brumado\bccc1bb4,br BRA,FWMF,Midtjylland,22,1999,15.5,6,1,0,34,17,10,3,8,12,,,0,Matches
Alexander Brunst\99219195,de GER,GK,Vejle BK,26,1995,21,0,0,0,0,3,0,0,0,0,,,0,Matches
Andreas Bruus\b088d5d3,dk DEN,MFDF,Brøndby,22,1999,25,5,0,0,16,12,2,132,19,15,,,0,Matches
Filip Bundgaard\ab42610c,dk DEN,MF,Randers,17,2004,2.9,2,0,0,6,7,2,7,6,7,,,0,Matches
