Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Mads Aaquist\9344895b,dk DEN,MF,Viborg,26,1994,1.1,0,0,0,,0,0,,,,0,0,Matches
Jonas Abbew\c93f728c,dk DEN,DF,Nordsjælland,19,2002,3.9,0,1,0,0,0.26,0,0,,,0,0,Matches
Francis Abu\66fb354d,gh GHA,MF,Nordsjælland,20,2001,11.3,0,23,7,30.4,2.04,0.62,0,0,,0,0,Matches
Simon Adingra\4dcec659,ci CIV,FWMF,Nordsjælland,19,2002,20.1,9,75,34,45.3,3.73,1.69,0.12,0.26,,0,0,Matches
Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Vejle BK,27,1993,0.4,0,0,0,,0,0,,,,0,0,Matches
Mel Agnero\bc5fc7b6,ci CIV,FW,Nordsjælland,18,2003,0.4,0,0,0,,0,0,,,,0,0,Matches
Jakob Ahlmann Nielsen\3057b8b9,dk DEN,MFDF,Aalborg,30,1991,15.3,1,14,2,14.3,0.92,0.13,0.07,0.5,,0,0,Matches
Raúl Albentosa\348e4809,es ESP,DF,Vejle BK,32,1988,12.4,2,13,2,15.4,1.05,0.16,0.15,1,,0,0,Matches
Miiko Albornoz\d459281d,cl CHI,MFDF,Vejle BK,30,1990,10.9,1,8,1,12.5,0.73,0.09,0.13,1,,0,0,Matches
Mads Albæk\06aa77a6,dk DEN,MF,SønderjyskE,31,1990,26.9,0,27,4,14.8,1,0.15,0,0,,0,0,Matches
Wessam Haissam Abou Ali\a06467dc,dk DEN,FW,Silkeborg,22,1999,0.6,0,1,1,100,1.55,1.55,0,0,,0,0,Matches
Alexander Ammitzbøll\0d1c3981,dk DEN,FW,AGF,22,1999,0.8,0,2,1,50,2.61,1.3,0,0,,0,0,Matches
Akinkunmi Amoo\bc2d4118,ng NGA,MF,FC Copenhagen,19,2002,0.7,1,3,1,33.3,4.29,1.43,0.33,1,,0,0,Matches
