Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Mads Aaquist\9344895b,dk DEN,MF,Viborg,26,1994,5,1,98,1.1,0,1,0,0,0,0,0,0,0.92,0.92,0,0.92,Matches
Jonas Abbew\c93f728c,dk DEN,DF,Nordsjælland,19,2002,11,3,347,3.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Francis Abu\66fb354d,gh GHA,MF,Nordsjælland,20,2001,16,13,1015,11.3,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Simon Adingra\4dcec659,ci CIV,FWMF,Nordsjælland,19,2002,31,19,1809,20.1,9,3,9,0,0,5,0,0.45,0.15,0.6,0.45,0.6,Matches
Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Vejle BK,27,1993,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mel Agnero\bc5fc7b6,ci CIV,FW,Nordsjælland,18,2003,3,0,33,0.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jakob Ahlmann Nielsen\3057b8b9,dk DEN,MFDF,Aalborg,30,1991,29,16,1377,15.3,1,1,1,0,0,6,0,0.07,0.07,0.13,0.07,0.13,Matches
Raúl Albentosa\348e4809,es ESP,DF,Vejle BK,32,1988,13,13,1118,12.4,2,1,2,0,0,6,1,0.16,0.08,0.24,0.16,0.24,Matches
Miiko Albornoz\d459281d,cl CHI,MFDF,Vejle BK,30,1990,13,10,985,10.9,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,Matches
Mads Albæk\06aa77a6,dk DEN,MF,SønderjyskE,31,1990,30,26,2419,26.9,0,1,0,0,0,7,0,0,0.04,0.04,0,0.04,Matches
Wessam Haissam Abou Ali\a06467dc,dk DEN,FW,Silkeborg,22,1999,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alexander Ammitzbøll\0d1c3981,dk DEN,FW,AGF,22,1999,4,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Akinkunmi Amoo\bc2d4118,ng NGA,MF,FC Copenhagen,19,2002,2,1,63,0.7,1,0,1,0,0,0,0,1.43,0,1.43,1.43,1.43,Matches
Daniel Andersen\ef6cc2c8,dk DEN,GK,AGF,20,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lucas Andersen\bb753183,dk DEN,MF,Aalborg,26,1994,7,4,414,4.6,0,1,0,0,0,0,0,0,0.22,0.22,0,0.22,Matches
Mikkel Andersen\63e905bc,dk DEN,GK,Viborg,32,1988,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mikael Anderson\0a721e85,is ISL,MF,Midtjylland,23,1998,4,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mikael Anderson\0a721e85,is ISL,MF,AGF,23,1998,20,18,1560,17.3,5,0,5,0,0,7,0,0.29,0,0.29,0.29,0.29,Matches
Hugo Andersson\f026e46a,se SWE,DF,Randers,22,1999,9,5,417,4.6,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Joel Andersson\b5f66351,se SWE,MF,Midtjylland,24,1996,31,29,2555,28.4,1,7,1,0,0,2,0,0.04,0.25,0.28,0.04,0.28,Matches
Mattias Andersson\f8ee1ea5,se SWE,DF,Randers,23,1998,2,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aske Andresen\486710d5,dk DEN,GK,Silkeborg,16,2005,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jakob Ankersen\7340cf33,dk DEN,MFFW,Randers,30,1990,27,18,1441,16,2,2,2,0,0,0,0,0.12,0.12,0.25,0.12,0.25,Matches
Peter Ankersen\df525574,dk DEN,DF,FC Copenhagen,30,1990,28,23,1998,22.2,1,4,1,0,0,3,0,0.05,0.18,0.23,0.05,0.23,Matches
Oliver Antman\c63d7d38,fi FIN,FWMF,Nordsjælland,19,2001,26,16,1479,16.4,5,2,4,1,1,0,0,0.3,0.12,0.43,0.24,0.37,Matches
Daniel Anyembe\c7e3b9e9,dk DEN,DF,Viborg,23,1998,21,15,1318,14.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Hákon Arnar Haraldsson\e2ae54db,is ISL,MFFW,FC Copenhagen,18,2003,11,6,537,6,4,0,4,0,0,0,0,0.67,0,0.67,0.67,0.67,Matches
Rocco Ascone\bdf1db39,fr FRA,FW,Nordsjælland,17,2003,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yann Aurel Bisseck\3963c25b,de GER,DF,AGF,20,2000,30,23,2117,23.5,1,0,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches
Khouma Babacar\422ec08a,sn SEN,FW,FC Copenhagen,28,1993,14,6,565,6.3,3,2,3,0,0,2,0,0.48,0.32,0.8,0.48,0.8,Matches
Edgar Babayan\cddd2df7,am ARM,MFFW,Vejle BK,25,1995,13,8,683,7.6,0,2,0,0,0,2,0,0,0.26,0.26,0,0.26,Matches
Younes Bakiz\48ab6342,dk DEN,FW,Viborg,22,1999,27,24,1966,21.8,3,3,3,0,1,3,0,0.14,0.14,0.27,0.14,0.27,Matches
Roony Bardghji\88ce7ddc,se SWE,MFFW,FC Copenhagen,15,2005,13,10,742,8.2,2,0,2,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
Atli Barkarson\5a91853f,is ISL,MFDF,SønderjyskE,20,2001,7,6,438,4.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Tobias Bech\eb6f92e8,dk DEN,FW,Viborg,19,2002,27,23,1758,19.5,3,2,3,0,0,6,0,0.15,0.1,0.26,0.15,0.26,Matches
Asker Beck\b2707d24,,MF,AGF,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joe Bell\7825847e,nz NZL,MF,Brøndby,22,1999,15,13,1095,12.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Anis Ben Slimane\9ade9ce1,tn TUN,MFFW,Brøndby,20,2001,31,29,2480,27.6,2,4,2,0,0,6,0,0.07,0.15,0.22,0.07,0.22,Matches
Pierre Bengtsson\d1992a3b,se SWE,DFMF,FC Copenhagen,33,1988,3,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lasse Berg Johnsen\a0b95824,no NOR,MF,Randers,21,1999,31,31,2708,30.1,2,2,0,2,2,4,0,0.07,0.07,0.13,0,0.07,Matches
Sofus Berger Brix\c6e9b36b,dk DEN,MF,Viborg,18,2003,22,3,389,4.3,0,1,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches
Emil Berggreen\8be4fd6a,dk DEN,FW,SønderjyskE,28,1993,5,4,362,4,4,0,4,0,0,2,1,0.99,0,0.99,0.99,0.99,Matches
Victor Bernth Kristiansen\505486d6,dk DEN,DF,FC Copenhagen,18,2002,21,19,1658,18.4,0,4,0,0,0,2,0,0,0.22,0.22,0,0.22,Matches
Mads Bidstrup\407db0d5,dk DEN,MF,Nordsjælland,20,2001,13,12,1036,11.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Pep Biel\1c59240b,es ESP,MFFW,FC Copenhagen,24,1996,32,30,2601,28.9,11,6,11,0,0,3,0,0.38,0.21,0.59,0.38,0.59,Matches
Carl Björk\3b2bdc7e,se SWE,FW,Brøndby,21,2000,11,3,325,3.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Peter Bjur\7c962fda,dk DEN,MF,Brøndby,21,2000,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
