Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jesper Hansen\a3b952f8,dk DEN,GK,36,31,31,2790,31,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nicolai Poulsen\661116ba,dk DEN,MF,27,28,27,2225,24.7,1,0,1,0,0,11,0,0.04,0,0.04,0.04,0.04,Matches
Yann Aurel Bisseck\3963c25b,de GER,DF,20,30,23,2117,23.5,1,0,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches
Patrick Mortensen\f95cb908,dk DEN,FW,32,28,22,2054,22.8,6,2,4,2,2,5,0,0.26,0.09,0.35,0.18,0.26,Matches
Albert Gronbaek Erlykke\0da5076f,dk DEN,MFFW,20,31,22,1968,21.9,3,4,3,0,0,4,0,0.14,0.18,0.32,0.14,0.32,Matches
Eric Kahl\e44381c2,se SWE,DFMF,19,24,22,1884,20.9,2,3,2,0,0,3,0,0.1,0.14,0.24,0.1,0.24,Matches
Sebastian Hausner\5ba8a86b,dk DEN,DF,21,24,21,1858,20.6,0,0,0,0,0,6,1,0,0,0,0,0,Matches
Jón Dagur Þorsteinsson\474beb8b,is ISL,FWMF,22,23,21,1652,18.4,3,1,3,0,0,8,0,0.16,0.05,0.22,0.16,0.22,Matches
Frederik Brandhof\c2af37df,dk DEN,MF,25,27,18,1722,19.1,1,2,1,0,0,6,0,0.05,0.1,0.16,0.05,0.16,Matches
Oliver Lund\e2cd47e0,dk DEN,DFMF,30,26,18,1592,17.7,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Mikael Anderson\0a721e85,is ISL,MF,23,20,18,1560,17.3,5,0,5,0,0,7,0,0.29,0,0.29,0.29,0.29,Matches
Frederik Tingager\41a6985e,dk DEN,DF,28,24,17,1571,17.5,2,0,2,0,0,2,0,0.11,0,0.11,0.11,0.11,Matches
Mustapha Bundu\9d50bfd3,sl SLE,FWMF,24,22,16,1502,16.7,3,2,3,0,0,1,0,0.18,0.12,0.3,0.18,0.3,Matches
Anthony D'Alberto\98684b0c,be BEL,DFMF,26,19,14,1251,13.9,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
Alexander Munksgaard\5155fe21,dk DEN,DF,23,17,13,1118,12.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Dawid Kurminowski\94d166d4,pl POL,FW,22,25,11,967,10.7,2,0,2,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
Gift Links\fbfa9358,za RSA,FWMF,22,21,11,940,10.4,1,1,1,0,0,2,0,0.1,0.1,0.19,0.1,0.19,Matches
Patrick Olsen\29c9b554,dk DEN,MFFW,27,13,9,870,9.7,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
Thomas Kristensen\fadf9a05,dk DEN,DF,19,11,8,729,8.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jack Wilshere\9c318325,eng ENG,MF,29,14,7,702,7.8,0,1,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches
Zach Duncan\5e2b88fa,au AUS,MF,21,6,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daniel Andersen\ef6cc2c8,dk DEN,GK,20,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alexander Ammitzbøll\0d1c3981,dk DEN,FW,22,4,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Frederik Ihler\91557c73,dk DEN,FW,18,7,0,69,0.8,1,0,1,0,0,0,0,1.3,0,1.3,1.3,1.3,Matches
Jesper Juelsgård\28ab6d0d,dk DEN,DF,32,5,0,69,0.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Adam Daghim\17f9da8a,,MF,,3,0,65,0.7,0,1,0,0,0,2,0,0,1.38,1.38,0,1.38,Matches
Alex Gersbach\494bff86,au AUS,DF,24,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Søren Tengstedt\3476496c,dk DEN,FW,21,2,0,14,0.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Eskild Dall\f64253a3,dk DEN,FW,18,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Milan Jevtovi?\34bf7740,rs SRB,FW,28,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Asker Beck\b2707d24,,MF,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jacob Andersen\624eda5c,dk DEN,DF,17,0,0,,,,,,,,,,,,,,,Matches
Viktor Noring\3146ef4a,se SWE,GK,30,0,0,,,,,,,,,,,,,,,Matches
