Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jacob Rinne\09d131ed,se SWE,GK,28,32,32,2880,32,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Iver Fossum\ce218223,no NOR,MF,25,30,30,2582,28.7,8,4,7,1,1,1,1,0.28,0.14,0.42,0.24,0.38,Matches
Kristoffer Pallesen\4000cb57,dk DEN,MFDF,31,31,30,2563,28.5,0,5,0,0,0,8,0,0,0.18,0.18,0,0.18,Matches
Louka Prip\6447d49f,dk DEN,MFFW,24,32,28,2496,27.7,14,4,11,3,3,0,0,0.5,0.14,0.65,0.4,0.54,Matches
Rasmus Thelander\c4cf42db,dk DEN,DF,30,27,27,2427,27,3,0,3,0,0,5,1,0.11,0,0.11,0.11,0.11,Matches
Malthe Hojholt\b52b9079,dk DEN,MF,20,30,27,2299,25.5,0,0,0,0,0,8,0,0,0,0,0,0,Matches
Daniel Granli\76ccbee2,no NOR,DFMF,27,27,27,2166,24.1,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
Milan Makari?\e88b0189,rs SRB,FW,25,30,25,1837,20.4,8,4,8,0,0,2,0,0.39,0.2,0.59,0.39,0.59,Matches
Mathias Ross\549d4e3e,dk DEN,DF,20,27,24,1958,21.8,1,0,1,0,0,10,1,0.05,0,0.05,0.05,0.05,Matches
Anders Hagelskjær\5c550ee1,dk DEN,DF,24,28,17,1863,20.7,1,0,1,0,0,6,0,0.05,0,0.05,0.05,0.05,Matches
Jakob Ahlmann Nielsen\3057b8b9,dk DEN,MFDF,30,29,16,1377,15.3,1,1,1,0,0,6,0,0.07,0.07,0.13,0.07,0.13,Matches
Kasper Kusk\e4fcb211,dk DEN,MFFW,29,26,14,1270,14.1,4,7,4,0,0,0,0,0.28,0.5,0.78,0.28,0.78,Matches
Pedro Ferreira\fb39d792,pt POR,MF,23,17,14,1198,13.3,2,0,2,0,0,9,1,0.15,0,0.15,0.15,0.15,Matches
Magnus Christensen\f3357915,dk DEN,MF,23,17,11,832,9.2,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Frederik Børsting\fd957a77,dk DEN,MFDF,26,17,9,830,9.2,0,4,0,0,0,3,0,0,0.43,0.43,0,0.43,Matches
Kasper Waarst Høgh\a99ea089,dk DEN,FWMF,20,15,4,581,6.5,3,0,3,0,0,1,0,0.46,0,0.46,0.46,0.46,Matches
Lucas Andersen\bb753183,dk DEN,MF,26,7,4,414,4.6,0,1,0,0,0,0,0,0,0.22,0.22,0,0.22,Matches
Guðmundur Þórarinsson\ded30989,is ISL,MFDF,29,6,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aleksandar Trajkovski\84bba8b6,mk MKD,FW,28,7,3,279,3.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tim Prica\d646e08c,se SWE,FW,19,16,2,483,5.4,1,0,1,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
Rufo\00174fb2,es ESP,MFFW,28,6,2,162,1.8,0,1,0,0,0,1,0,0,0.56,0.56,0,0.56,Matches
Oliver Ross\9d4303f7,dk DEN,MF,16,10,1,286,3.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Marcus Hannesbo\f5bc3524,dk DEN,MF,19,12,1,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Casper Hansen\c852f996,dk DEN,FW,19,6,0,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Anosike Ementa\fbe39f7e,dk DEN,FW,19,13,0,117,1.3,0,1,0,0,0,1,0,0,0.77,0.77,0,0.77,Matches
Vladimir Prijovi?\11557b01,rs SRB,DF,19,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oscar Meedom\a6579234,dk DEN,FW,15,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Anders Noshe\446a085a,dk DEN,FW,15,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Hansen\5a98a7bd,dk DEN,GK,25,0,0,,,,,,,,,,,,,,,Matches
Theo Sander\e736dac8,dk DEN,GK,16,0,0,,,,,,,,,,,,,,,Matches
Kevin Stuhr Ellegaard\040f6bc4,dk DEN,GK,38,0,0,,,,,,,,,,,,,,,Matches
