Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Joel Andersson\b5f66351,se SWE,MF,24,31,29,2555,28.4,1,7,1,0,0,2,0,0.04,0.25,0.28,0.04,0.28,Matches
Raphael Nwadike\751a0fb5,ng NGA,MF,20,31,29,2542,28.2,2,2,2,0,0,7,0,0.07,0.07,0.14,0.07,0.14,Matches
Henrik Dalsgaard\563cbac0,dk DEN,DF,32,28,28,2423,26.9,2,1,2,0,0,3,0,0.07,0.04,0.11,0.07,0.11,Matches
Evander\4352d221,br BRA,MF,23,29,28,2344,26,12,6,8,4,4,2,1,0.46,0.23,0.69,0.31,0.54,Matches
Gustav Isaksen\5715bb71,dk DEN,FWMF,20,30,26,1932,21.5,5,5,5,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches
Erik Sviatchenko\9614b550,dk DEN,DF,29,25,22,1894,21,4,0,4,0,0,4,0,0.19,0,0.19,0.19,0.19,Matches
Paulinho\f3fa599d,br BRA,MFDF,26,23,19,1518,16.9,1,1,1,0,0,5,0,0.06,0.06,0.12,0.06,0.12,Matches
Júnior Brumado\bccc1bb4,br BRA,FWMF,22,23,18,1393,15.5,8,1,7,1,1,6,1,0.52,0.06,0.58,0.45,0.52,Matches
Daniel Høegh\01204d46,dk DEN,DF,30,19,17,1516,16.8,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Anders Dreyer\c6486b01,dk DEN,FW,23,16,16,1362,15.1,8,8,8,0,0,0,0,0.53,0.53,1.06,0.53,1.06,Matches
Pione Sisto\fd9c4805,dk DEN,FWMF,26,24,15,1419,15.8,2,3,2,0,0,3,0,0.13,0.19,0.32,0.13,0.32,Matches
Nikolas Dyhr\0b243559,dk DEN,MF,20,25,14,1364,15.2,1,2,1,0,0,1,0,0.07,0.13,0.2,0.07,0.2,Matches
Elías Rafn Ólafsson\99047b00,is ISL,GK,21,14,14,1254,13.9,0,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
Juninho\72c01cfb,br BRA,DF,25,18,13,1246,13.8,1,0,1,0,0,1,0,0.07,0,0.07,0.07,0.07,Matches
Mads Døhr Thychosen\29e298a8,dk DEN,DFMF,24,12,10,930,10.3,2,0,2,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
David Ousted\28269907,dk DEN,GK,36,11,10,906,10.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Charles Rigon Matos\6ff91a3a,br BRA,MFFW,25,23,9,915,10.2,1,1,1,0,0,4,0,0.1,0.1,0.2,0.1,0.2,Matches
Jonas Lössl\939bc634,dk DEN,GK,32,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Edward Chilufya\b7b27de0,zm ZAM,FWMF,21,13,8,678,7.5,3,3,3,0,0,0,0,0.4,0.4,0.8,0.4,0.8,Matches
Dion Cools\0331786b,my MAS,DFMF,25,12,5,414,4.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Victor Lind\d2a83712,dk DEN,FW,18,20,3,511,5.7,3,0,3,0,0,1,0,0.53,0,0.53,0.53,0.53,Matches
Awer Mabil\922da988,au AUS,FW,25,9,2,295,3.3,1,3,1,0,0,1,0,0.31,0.92,1.22,0.31,1.22,Matches
Max Meyer\eba42d2b,de GER,MF,25,8,2,254,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jens Cajuste\928a4a61,se SWE,MF,21,5,2,243,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marrony\1dff86ec,br BRA,FW,22,7,2,208,2.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Nicolas Madsen\6d7e4b06,dk DEN,MF,21,4,1,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mikael Anderson\0a721e85,is ISL,MF,23,4,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rasmus Nicolaisen\3f319bb9,dk DEN,DF,24,3,1,120,1.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Vágner Love\6d4d9e18,br BRA,FW,37,9,0,106,1.2,1,0,1,0,0,0,0,0.85,0,0.85,0.85,0.85,Matches
Mads Hansen\f04a3092,dk DEN,MF,19,7,0,74,0.8,1,0,1,0,0,0,0,1.22,0,1.22,1.22,1.22,Matches
Victor Jensen\706a337d,dk DEN,DF,17,1,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oliver Jensen\53e442e2,dk DEN,MF,19,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oscar Fraulo\458e3479,dk DEN,MF,17,1,0,20,0.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Doguhan Simsir\f91fa277,dk DEN,FW,19,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Victor Torp\e8cc2cbb,dk DEN,MF,22,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jared Thompson\fa1ba1ee,eng ENG,GK,22,0,0,,,,,,,,,,,,,,,Matches
