Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Hans Christian Bernat\e49bda8e,dk DEN,GK,20,26,26,2340,26,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jeppe Tverskov\898b9fd1,dk DEN,DFMF,28,26,25,2248,25,0,1,0,0,0,4,0,0,0.04,0.04,0,0.04,Matches
Jens Jakob Thomasen\0746dbd1,dk DEN,MF,25,28,25,2199,24.4,2,1,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12,Matches
Emmanuel Sabbi\2e1b7c83,us USA,MF,23,30,25,2162,24,3,3,2,1,1,6,0,0.12,0.12,0.25,0.08,0.21,Matches
Look Saa Mickelson\d5088b9a,no NOR,DF,22,24,24,2060,22.9,0,2,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
Jørgen Skjelvik\7bfd96fd,no NOR,DF,30,29,23,2156,24,3,2,3,0,0,1,0,0.13,0.08,0.21,0.13,0.21,Matches
Kasper Larsen\d07de91d,dk DEN,DF,28,22,22,1915,21.3,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Issam Jebali\4b751020,tn TUN,MFFW,29,25,22,1875,20.8,10,4,7,3,5,5,1,0.48,0.19,0.67,0.34,0.53,Matches
Mads Frøkjær-Jensen\108e44ca,dk DEN,MF,22,28,20,1602,17.8,6,3,6,0,0,4,0,0.34,0.17,0.51,0.34,0.51,Matches
Max Fenger\c39080f7,dk DEN,FWMF,19,32,18,1635,18.2,6,0,6,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
Aron Þrándarson\6175499e,is ISL,MF,26,22,17,1554,17.3,0,2,0,0,0,4,0,0,0.12,0.12,0,0.12,Matches
Bashkim Kadrii\f6bb360b,dk DEN,FW,30,28,16,1430,15.9,1,2,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,Matches
Alexander Juel Andersen\02ee8a6f,dk DEN,DF,30,18,14,1329,14.8,1,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches
Ayo Simon Okosun\9e8e1a60,dk DEN,MF,28,21,12,1104,12.3,1,0,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
Joel King\33803829,au AUS,DF,20,11,11,926,10.3,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Matches
Troels Kløve\c26d24a3,dk DEN,MFFW,30,26,10,980,10.9,1,2,1,0,0,2,0,0.09,0.18,0.28,0.09,0.28,Matches
Jakob Breum\31c61ac7,dk DEN,MFFW,17,21,10,841,9.3,4,1,4,0,0,0,0,0.43,0.11,0.54,0.43,0.54,Matches
Sander Svendsen\da60fd2a,no NOR,MF,23,13,7,670,7.4,4,1,4,0,0,0,0,0.54,0.13,0.67,0.54,0.67,Matches
Robin Dahl Østrøm\4ab66aa2,no NOR,DF,18,11,7,653,7.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mihajlo Ivan?evi?\144c84e6,rs SRB,DF,22,8,7,640,7.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Oliver Christensen\af104654,dk DEN,GK,22,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Moses Opondo\9049ebe8,ug UGA,MFFW,23,13,4,377,4.2,1,2,1,0,0,0,0,0.24,0.48,0.72,0.24,0.72,Matches
Mart Lieder\1b21f77c,nl NED,FW,31,15,1,328,3.6,2,0,2,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
Ryan Laursen\ce69cd83,dk DEN,DFMF,29,2,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tarik Ibrahimagic\92cb1457,dk DEN,MF,20,3,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mathias Brems\3c7abd19,dk DEN,DF,19,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tobias Slotsager\a20b6f5e,dk DEN,DF,15,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tobias Augustinus Jensen\10ab56d6,dk DEN,FW,16,0,0,,,,,,,,,,,,,,,Matches
Sayouba Mandé\500ca2dd,ci CIV,GK,28,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
