Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Patrik Carlgren\168c50c5,se SWE,GK,29,32,32,2880,32,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Lasse Berg Johnsen\a0b95824,no NOR,MF,21,31,31,2708,30.1,2,2,0,2,2,4,0,0.07,0.07,0.13,0,0.07,Matches
Simon Piesinger\a7fb1a06,at AUT,DF,29,31,29,2622,29.1,1,1,1,0,0,7,0,0.03,0.03,0.07,0.03,0.07,Matches
Vito Hammershøy-Mistrati\35676d63,dk DEN,MFFW,29,31,28,2454,27.3,7,2,6,1,2,1,0,0.26,0.07,0.33,0.22,0.29,Matches
Björn Kopplin\a77b5db5,de GER,DF,32,29,26,2435,27.1,0,2,0,0,0,5,0,0,0.07,0.07,0,0.07,Matches
Tosin Kehinde\bb8eb607,ng NGA,MFFW,23,28,23,2098,23.3,5,3,5,0,0,4,0,0.21,0.13,0.34,0.21,0.34,Matches
Oliver Bundgaard\46a51ca7,dk DEN,DF,20,28,21,1821,20.2,0,1,0,0,0,1,0,0,0.05,0.05,0,0.05,Matches
Stephen Odey\6a479195,ng NGA,FW,23,23,21,1817,20.2,7,1,6,1,2,2,1,0.35,0.05,0.4,0.3,0.35,Matches
Frederik Lauenborg\5cc9caa1,dk DEN,MF,24,27,20,1774,19.7,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,Matches
Simon Graves Jensen\b1027206,dk DEN,DF,22,21,20,1676,18.6,0,1,0,0,0,4,1,0,0.05,0.05,0,0.05,Matches
Jakob Ankersen\7340cf33,dk DEN,MFFW,30,27,18,1441,16,2,2,2,0,0,0,0,0.12,0.12,0.25,0.12,0.25,Matches
Mikkel Kallesøe\5040fb79,dk DEN,DF,24,17,15,1265,14.1,1,2,1,0,0,4,0,0.07,0.14,0.21,0.07,0.21,Matches
Simon Tibbling\5f8aecce,se SWE,MF,26,26,15,1173,13,0,2,0,0,0,6,0,0,0.15,0.15,0,0.15,Matches
Erik Marxen\8db2c33b,dk DEN,DF,30,14,10,886,9.8,0,2,0,0,0,1,0,0,0.2,0.2,0,0.2,Matches
Alhaji Kamara\8846f47e,sl SLE,FW,27,14,8,744,8.3,6,0,6,0,0,3,0,0.73,0,0.73,0.73,0.73,Matches
Tobias Klysner\d18abeca,dk DEN,MFDF,20,25,7,835,9.3,0,1,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
Nicolai Brock-Madsen\0443d045,dk DEN,FW,28,19,6,567,6.3,1,0,1,0,0,2,0,0.16,0,0.16,0.16,0.16,Matches
Marvin Egho\7764b2fc,at AUT,FW,27,10,6,526,5.8,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
Hugo Andersson\f026e46a,se SWE,DF,22,9,5,417,4.6,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Mathias Greve\98ca4feb,dk DEN,MF,26,3,3,247,2.7,1,2,1,0,0,1,0,0.36,0.73,1.09,0.36,1.09,Matches
Vincent Onovo\b0a8d967,ng NGA,MF,25,8,3,242,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jesper Lauridsen\c5f6f7d9,dk DEN,DF,30,20,2,433,4.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Mads Enggaard\f95dc7a4,dk DEN,MF,17,7,2,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mattias Andersson\f8ee1ea5,se SWE,DF,23,2,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Filip Bundgaard\ab42610c,dk DEN,MF,17,15,0,265,2.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Alexander Simmelhack\7cbd9f32,dk DEN,FW,15,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joel Kabongo\3b1a8a71,dk DEN,DF,23,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Issah Abdoulaye\de63d77a,ne NIG,MF,22,0,0,,,,,,,,,,,,,,,Matches
Jonas Dakir\8aa8021c,dk DEN,GK,24,0,0,,,,,,,,,,,,,,,Matches
Jeppe Kudsk\b6ac52b8,dk DEN,DF,18,0,0,,,,,,,,,,,,,,,Matches
Alexander Nybo\4573c20f,dk DEN,GK,26,0,0,,,,,,,,,,,,,,,Matches
Andreas Søndergaard\43f9b4ba,dk DEN,GK,20,0,0,,,,,,,,,,,,,,,Matches
