Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Tobias Salquist\4467ad95,dk DEN,DF,26,32,32,2875,31.9,3,0,3,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
Mark Brink\ae149bdb,dk DEN,MF,23,32,32,2670,29.7,1,1,1,0,0,0,0,0.03,0.03,0.07,0.03,0.07,Matches
Nicolai Larsen\49fcd7b8,dk DEN,GK,30,31,31,2790,31,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Nicolai Vallys\d40fd89d,dk DEN,FWMF,24,32,31,2786,31,10,10,10,0,0,3,0,0.32,0.32,0.65,0.32,0.65,Matches
Rasmus Carstensen\64d7f629,dk DEN,DF,20,31,30,2715,30.2,1,5,1,0,0,3,0,0.03,0.17,0.2,0.03,0.2,Matches
Nicklas Helenius\ae3d2f47,dk DEN,FW,30,29,29,2518,28,17,2,15,2,2,2,0,0.61,0.07,0.68,0.54,0.61,Matches
Sebastian Jørgensen\d796974b,dk DEN,FWMF,21,32,28,2373,26.4,11,9,11,0,0,1,0,0.42,0.34,0.76,0.42,0.76,Matches
Anders Klynge\bef3d795,dk DEN,MFFW,20,31,20,1854,20.6,2,4,2,0,0,0,0,0.1,0.19,0.29,0.1,0.29,Matches
Stefán Þórðarson\ed9daa96,is ISL,MF,22,28,19,1529,17,2,2,2,0,0,3,0,0.12,0.12,0.24,0.12,0.24,Matches
André Calisir\b33fa7ce,am ARM,DF,31,17,17,1371,15.2,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Robert Gojani\65465292,se SWE,MF,28,22,16,1456,16.2,0,5,0,0,0,1,1,0,0.31,0.31,0,0.31,Matches
Lukas Engel\aedaf328,dk DEN,DF,22,15,15,1240,13.8,2,1,2,0,0,1,0,0.15,0.07,0.22,0.15,0.22,Matches
Joel Felix\b644e40d,dk DEN,DF,23,20,14,1420,15.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Gustav Dahl\afd2c53a,dk DEN,DF,25,10,10,888,9.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Andreas Oggesen\c6940c2e,dk DEN,MF,27,22,9,753,8.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oliver Sonne\b66b8d5e,dk DEN,DF,20,15,8,766,8.5,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
Mads Kaalund\4136671a,dk DEN,MF,24,7,4,431,4.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Alexander Lind Rasmussen\4e014c3f,dk DEN,FW,19,6,3,230,2.6,1,0,1,0,0,0,0,0.39,0,0.39,0.39,0.39,Matches
Søren Tengstedt\3476496c,dk DEN,FW,21,21,1,312,3.5,2,1,2,0,0,0,0,0.58,0.29,0.87,0.58,0.87,Matches
Nicklas Røjkjær\0d938ef6,dk DEN,DF,23,10,1,204,2.3,1,0,1,0,0,0,0,0.44,0,0.44,0.44,0.44,Matches
Alexander Busch\de664c71,dk DEN,DF,18,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aske Andresen\486710d5,dk DEN,GK,16,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pelle Mattsson\8769d39d,dk DEN,MF,19,18,0,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Wessam Haissam Abou Ali\a06467dc,dk DEN,FW,22,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Frederik Carstensen\d3f4537d,dk DEN,FW,19,4,0,30,0.3,1,0,1,0,0,0,0,3,0,3,3,3,Matches
Gustav Marcussen\2959525b,dk DEN,MF,23,3,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Stan van Bladeren\4396f1a3,nl NED,GK,23,0,0,,,,,,,,,,,,,,,Matches
Anders Dahl\5a7098c9,dk DEN,MF,19,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
