Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Stefan Gartenmann\62f7c156,dk DEN,DF,24,31,31,2790,31,2,1,2,0,0,4,0,0.06,0.03,0.1,0.06,0.1,Matches
Marc Dal Hende\1404b749,dk DEN,DFMF,30,30,29,2616,29.1,1,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,Matches
Mads Albæk\06aa77a6,dk DEN,MF,31,30,26,2419,26.9,0,1,0,0,0,7,0,0,0.04,0.04,0,0.04,Matches
Emil Holm\c2357b65,se SWE,DFMF,21,25,25,2129,23.7,3,2,2,1,1,8,0,0.13,0.08,0.21,0.08,0.17,Matches
Lawrence Thomas\14667592,au AUS,GK,29,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Duplexe Tchamba\75926036,cm CMR,DF,23,26,20,1911,21.2,2,0,2,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
Emil Kornvig\35271c4d,dk DEN,MF,21,23,17,1364,15.2,2,0,2,0,0,4,0,0.13,0,0.13,0.13,0.13,Matches
Emil Frederiksen\0639e42e,dk DEN,FWMF,20,22,17,1350,15,3,1,3,0,0,1,0,0.2,0.07,0.27,0.2,0.27,Matches
Victor Mpindi\a719c1ea,cm CMR,MF,24,16,16,1313,14.6,1,0,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
Rasmus Vinderslev\4429b651,dk DEN,MFDF,23,27,12,1253,13.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rilwan Olanrewaju Hassan\932c9313,ng NGA,FWMF,30,26,12,1142,12.7,1,0,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
Peter Christiansen\ffe0853e,dk DEN,FW,21,15,12,1036,11.5,3,1,3,0,0,4,0,0.26,0.09,0.35,0.26,0.35,Matches
Nicolaj Thomsen\e2bf2abc,dk DEN,MF,28,14,11,939,10.4,1,3,1,0,0,2,1,0.1,0.29,0.38,0.1,0.38,Matches
Abdulrahman Taiwo\798ecc4d,ng NGA,FW,22,15,10,919,10.2,1,2,1,0,0,3,0,0.1,0.2,0.29,0.1,0.29,Matches
Maxime Soulas\49a26a39,fr FRA,DF,22,13,10,862,9.6,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Jeppe Simonsen\6c3d5243,ht HAI,FWDF,25,13,8,802,8.9,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
Nicolai Flø\ef0ea1ab,dk DEN,GK,25,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kristófer Kristinsson\57190c2a,is ISL,FW,22,20,7,664,7.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jose Gallegos\1141c543,us USA,MFFW,19,13,7,621,6.9,1,0,1,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
Dániel Prosser\1c2ce1ea,hu HUN,FWMF,27,11,7,565,6.3,2,0,2,0,0,0,0,0.32,0,0.32,0.32,0.32,Matches
Julius Eskesen\35753f28,dk DEN,MFFW,22,13,6,585,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bubacarr Sanneh\586b19eb,gm GAM,DF,26,8,6,552,6.1,0,1,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
Søren Reese\816af57d,dk DEN,DF,28,8,6,508,5.6,0,1,0,0,0,1,0,0,0.18,0.18,0,0.18,Matches
Atli Barkarson\5a91853f,is ISL,MFDF,20,7,6,438,4.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Anders K. Jacobsen\37753247,dk DEN,FW,31,6,6,433,4.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Isak Jensen\471c3240,dk DEN,FWMF,17,19,5,582,6.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Emil Berggreen\8be4fd6a,dk DEN,FW,28,5,4,362,4,4,0,4,0,0,2,1,0.99,0,0.99,0.99,0.99,Matches
Faris Moumbagna\58aae0a9,cm CMR,FW,21,10,2,333,3.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Pierre Kanstrup\97a63f1e,dk DEN,DF,32,4,1,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Robin Schouten\12dc7025,nl NED,MF,23,5,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mads Hansen\9e958fe2,dk DEN,MF,20,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Philipp Schmiedl\68f0287a,at AUT,DF,24,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bård Finne\78699620,no NOR,FWMF,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Julius Beck\1825059d,us USA,DF,16,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
