Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Denis Kolinger\991e3719,hr CRO,DF,27,29,29,2559,28.4,1,0,1,0,0,9,0,0.04,0,0.04,0.04,0.04,Matches
Allan Sousa\0bc03d9f,br BRA,FWMF,24,28,25,2192,24.4,2,3,0,2,2,8,0,0.08,0.12,0.21,0,0.12,Matches
Arbnor Mucolli\4a010ff6,al ALB,MFFW,21,26,25,2072,23,5,1,5,0,0,8,1,0.22,0.04,0.26,0.22,0.26,Matches
Tobias Mølgaard\3935715a,dk DEN,MFDF,25,24,23,1962,21.8,1,2,1,0,0,3,0,0.05,0.09,0.14,0.05,0.14,Matches
Alexander Brunst\99219195,de GER,GK,26,21,21,1890,21,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jerome Opoku\091d6ee5,eng ENG,DF,22,20,17,1531,17,0,1,0,0,0,6,1,0,0.06,0.06,0,0.06,Matches
Mouhamadou Drammeh\309937e7,fr FRA,MF,22,21,16,1329,14.8,1,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches
Andrés Ponce\d9600938,ve VEN,FW,24,25,13,1184,13.2,1,2,1,0,0,1,0,0.08,0.15,0.23,0.08,0.23,Matches
Raúl Albentosa\348e4809,es ESP,DF,32,13,13,1118,12.4,2,1,2,0,0,6,1,0.16,0.08,0.24,0.16,0.24,Matches
Ebenezer Ofori\a5d77c4e,gh GHA,MF,26,14,12,954,10.6,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Manjrekar James\40676b27,ca CAN,DF,27,13,11,1044,11.6,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Luka ?or?evi?\ea0cc5c5,me MNE,FW,27,20,11,993,11,5,0,5,0,0,1,0,0.45,0,0.45,0.45,0.45,Matches
Dimitrios Emmanouilidis\5ac5fcab,gr GRE,FWMF,20,26,11,974,10.8,3,2,3,0,0,1,0,0.28,0.18,0.46,0.28,0.46,Matches
Saeid Ezatolahi\314d95ac,ir IRN,MF,24,13,11,902,10,1,0,1,0,0,5,0,0.1,0,0.1,0.1,0.1,Matches
Miiko Albornoz\d459281d,cl CHI,MFDF,30,13,10,985,10.9,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,Matches
Sten Grytebust\c9f11454,no NOR,GK,31,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Heron\fa94d227,br BRA,DFMF,20,16,10,888,9.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Viljormur Davidsen\ab7c9060,fo FRO,DF,30,12,10,864,9.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Lukas Engel\aedaf328,dk DEN,MFFW,22,17,10,862,9.6,2,1,2,0,0,1,0,0.21,0.1,0.31,0.21,0.31,Matches
Lundrim Hetemi\ab803f01,dk DEN,MF,21,22,9,1038,11.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jacob Schoop\17eb6b55,dk DEN,MF,32,11,9,721,8,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
Edgar Babayan\cddd2df7,am ARM,MFFW,25,13,8,683,7.6,0,2,0,0,0,2,0,0,0.26,0.26,0,0.26,Matches
Wahidullah Faghir\93c9e7d9,dk DEN,FW,18,7,7,630,7,2,0,2,0,0,2,0,0.29,0,0.29,0.29,0.29,Matches
Hans Høllsberg\1b98ca74,dk DEN,MF,19,17,6,717,8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Hallur Hansson\15032d57,fo FRO,MFFW,29,6,6,539,6,1,1,1,0,0,3,0,0.17,0.17,0.33,0.17,0.33,Matches
Arthur Yamga\77f55dd8,cm CMR,DF,24,7,5,501,5.6,0,1,0,0,0,1,0,0,0.18,0.18,0,0.18,Matches
Thomas Gundelund\c29b12a0,dk DEN,DFMF,19,11,4,456,5.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Oliver Nielsen\e97adead,dk DEN,DF,18,5,3,316,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kevin Custovic\c79a24ce,se SWE,MF,21,14,3,310,3.4,0,1,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
Mads Greve\5c2f10f6,dk DEN,DF,31,2,2,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lucas Jensen\157fd991,dk DEN,FW,26,4,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lucas Hägg-Johansson\0e014062,se SWE,GK,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marius Kolind\74e31254,dk DEN,FW,19,2,0,46,0.5,1,0,1,0,0,1,0,1.96,0,1.96,1.96,1.96,Matches
Brandon Pierrick\9a526299,eng ENG,MF,19,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ali Adnan Kadhim\06050480,iq IRQ,DFMF,27,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Christian Gammelgaard\67c22de2,dk DEN,FW,18,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Foday Manneh\790c793b,gm GAM,FW,21,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Valdemar Sadrifar\d00fee0b,ir IRN,FW,20,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dominic\a3ab54b8,br BRA,FW,26,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adama Fofana\1754914f,ci CIV,MF,20,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aleksei Chernov\40d18376,ru RUS,GK,23,0,0,,,,,,,,,,,,,,,Matches
Tobias Jakobsen\d6e53262,dk DEN,GK,18,0,0,,,,,,,,,,,,,,,Matches
