Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Henri Aalto\690acb29,fi FIN,DF,FC Honka,31,1989,21.8,4,0,0,,,,,,,,,0,Matches
Mohammed Abubakari\a73cc5ee,gh GHA,MF,IFK Mariehamn,34,1986,16.9,6,1,1,,,,,,,,,0,Matches
Donaldo Açka\f6955717,al ALB,DF,Haka,23,1997,7.2,2,0,0,,,,,,,,,0,Matches
Bismark Adjei-Boateng\222bc419,gh GHA,MF,KuPS,26,1994,14.3,4,0,0,,,,,,,,,0,Matches
Thomas Agyiri\c1979d0e,gh GHA,MF,KTP,26,1994,17.5,1,0,0,,,,,,,,,0,Matches
Mosawer Ahadi\f40d47e2,fi FIN,FW,HIFK,20,2000,9,3,0,0,,,,,,,,,0,Matches
Hope Akpan\1ccbca79,ng NGA,MF,SJK,29,1991,0.3,0,0,0,,,,,,,,,0,Matches
Riyad El Alami\79ae3805,fi FIN,DF,Lahti,22,1998,4.7,1,0,0,,,,,,,,,0,Matches
Samu Alanko\9492a112,fi FIN,FW,AC Oulu,22,1998,16.7,3,0,0,,,,,,,,,0,Matches
Juan Alegría\b78bc7f4,co COL,FW,FC Honka,18,2002,3.5,1,1,0,,,,,,,,,0,Matches
Jusif Ali\d0c5a197,fi FIN,FW,HIFK,20,2000,18.8,4,0,0,,,,,,,,,0,Matches
Mikael Almen\cf9b4a74,fi FIN,DF,Ilves,20,2000,13.5,2,0,0,,,,,,,,,0,Matches
Filip Almström Tähti\fa350491,se SWE,DF,IFK Mariehamn,29,1991,11.5,3,0,0,,,,,,,,,0,Matches
Fran Álvarez\d7f16e0f,es ESP,DF,KTP,24,1996,5.6,1,0,0,,,,,,,,,0,Matches
Anthony Annan\1c524d4a,gh GHA,MF,Inter Turku,34,1986,17.1,4,0,0,,,,,,,,,0,Matches
Juuso Anttila\d0449158,fi FIN,DF,KTP,18,2002,0.2,0,0,0,,,,,,,,,0,Matches
Rodrigo Arciero\f9240252,ar ARG,DF,SJK,27,1993,20.5,6,0,0,,,,,,,,,0,Matches
Doni Arifi\90705eb3,fi FIN,MF,Ilves,18,2002,15.7,7,0,0,,,,,,,,,0,Matches
Kari Arkivuo\f968d34e,fi FIN,DFMF,Lahti,37,1983,22.5,1,0,0,,,,,,,,,0,Matches
Edmund Arko-Mensah\5ec20548,gh GHA,DF,FC Honka,19,2001,16.2,8,1,1,,,,,,,,,0,Matches
Jude Arthur Ekow\3c08a7dc,gh GHA,DF,SJK,21,1999,13.7,5,0,0,,,,,,,,,0,Matches
Asier\c599392e,es ESP,MF,KTP,33,1987,23.3,6,0,0,,,,,,,,,0,Matches
Felipe Aspegren\d6bd1ed7,fi FIN,DF,Ilves,26,1994,6.2,1,0,0,,,,,,,,,0,Matches
Felipe Aspegren\d6bd1ed7,fi FIN,DF,KuPS,26,1994,7.8,1,0,0,,,,,,,,,0,Matches
Jasin Assehnoun\0808e656,fi FIN,MF,Lahti,22,1998,9.9,3,0,0,,,,,,,,,0,Matches
Eero-Matti Auvinen\fca60793,fi FIN,DF,Haka,24,1996,19.1,4,1,0,,,,,,,,,0,Matches
Gustaf Backaliden\e1ca6783,se SWE,MF,SJK,23,1997,4.6,1,0,0,,,,,,,,,0,Matches
Jani Bäckman\88b82fb3,fi FIN,DFFW,HIFK,32,1988,15.8,6,0,0,,,,,,,,,0,Matches
Denys Balanyuk\b99ecdab,ua UKR,MF,IFK Mariehamn,24,1997,0,0,0,0,,,,,,,,,0,Matches
Yanga Baliso\c5b4a2d3,za RSA,,IFK Mariehamn,23,1997,12.4,4,0,0,,,,,,,,,0,Matches
Andrija Bošnjak\abdcf600,hr CRO,DF,Haka,24,1996,11.6,3,0,0,,,,,,,,,0,Matches
Nikko Boxall\bf23cd4f,nz NZL,DF,SJK,28,1992,23.8,6,0,0,,,,,,,,,0,Matches
Magnus Breitenmoser\36ae5d20,ch SUI,MF,AC Oulu,22,1998,13.3,2,0,0,,,,,,,,,0,Matches
David Browne\582beb9d,pg PNG,FW,HJK,25,1995,17.6,1,0,0,,,,,,,,,0,Matches
