Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ruxi\bf0a02be,es ESP,DF,25,26,26,2340,26,2,0,2,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
Rafinha\fd3c9b6e,br BRA,DFFW,38,24,24,2126,23.6,0,0,0,0,0,6,1,0,0,0,0,0,Matches
Anselmi Nurmela\db93ba9d,fi FIN,MF,24,25,22,1963,21.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Yann-Alexandre Fillion\2f9592b0,ca CAN,GK,24,21,21,1845,20.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jere Kallinen\3243f59f,fi FIN,MF,19,23,21,1745,19.4,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,Matches
Samu Alanko\9492a112,fi FIN,FW,22,25,19,1500,16.7,2,0,2,0,0,3,0,0.12,0,0.12,0.12,0.12,Matches
Lucky Onyebuchi\1b81c023,ng NGA,MF,21,15,15,1284,14.3,4,0,4,0,0,5,0,0.28,0,0.28,0.28,0.28,Matches
Obed Malolo\a7c84c43,fi FIN,MF,23,25,14,1394,15.5,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Aapo Heikkilä\7a6469df,fi FIN,MF,26,26,14,1289,14.3,1,0,1,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
Sergei Eremenko\e9a549af,fi FIN,MF,22,15,14,1202,13.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Magnus Breitenmoser\36ae5d20,ch SUI,MF,22,16,14,1195,13.3,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
Usman Sale\54ee44c7,ng NGA,FW,25,15,12,1126,12.5,1,0,1,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
Niklas Jokelainen\f9561e4e,fi FIN,FW,,21,11,1029,11.4,2,0,2,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
Dennis Salanovi?\7dab1242,li LIE,FWMF,24,13,11,958,10.6,4,0,2,2,2,1,0,0.38,0,0.38,0.19,0.19,Matches
Miika Koskela\9eb4e4ee,fi FIN,MF,17,15,10,998,11.1,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches
Henrik Ölander\678c3e97,fi FIN,DF,23,12,8,706,7.8,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Lassi Nurmos\3bf131db,fi FIN,DF,26,11,8,658,7.3,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Nikolas Saira\bec6e075,fi FIN,FW,21,19,6,743,8.3,2,0,2,0,0,3,0,0.24,0,0.24,0.24,0.24,Matches
Juhani Pennanen\98ebfe33,fi FIN,GK,27,7,6,585,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Severi Kähkönen\72ba09fe,fi FIN,MF,20,10,5,478,5.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jarkko Hurme\fc59a732,fi FIN,DF,34,9,5,457,5.1,0,0,0,0,0,5,1,0,0,0,0,0,Matches
Otso Liimatta\1d932cbe,fi FIN,MF,16,6,3,279,3.1,0,1,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches
Kevin Larsson\7a7f6783,fi FIN,FW,19,8,3,261,2.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Lasse Ikonen\b413a98c,fi FIN,MF,18,5,2,175,1.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Fareed Sadat\c9aeaa03,af AFG,MF,22,10,1,249,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Onni Suutari\daf363ba,,FW,,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
David Popa\981e48c6,ro ROU,FW,23,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joona Lohela\d1ca904e,fi FIN,DF,16,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aapo Kuivila\b81a5c9a,fi FIN,DF,20,0,0,,,,,,,,,,,,,,,Matches
