Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Miro Tenho\2ca35213,fi FIN,DF,25,24,24,2138,23.8,2,0,2,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
Filip Valen?i?\e5c0909b,si SVN,FW,29,27,23,1947,21.6,6,1,5,1,1,1,0,0.28,0.05,0.32,0.23,0.28,Matches
Valtteri Moren\a611cc92,fi FIN,DF,29,23,23,1816,20.2,1,0,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
Hugo Keto\21d45036,fi FIN,GK,22,21,21,1890,21,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Roope Riski\72dacad9,fi FIN,FW,29,24,21,1828,20.3,6,1,6,0,0,4,0,0.3,0.05,0.34,0.3,0.34,Matches
Lucas Lingman\f99360b9,fi FIN,MF,23,21,20,1705,18.9,2,1,2,0,0,1,0,0.11,0.05,0.16,0.11,0.16,Matches
Jair\7707d109,br BRA,MF,26,20,18,1603,17.8,6,0,6,0,0,4,0,0.34,0,0.34,0.34,0.34,Matches
David Browne\582beb9d,pg PNG,FW,25,23,18,1587,17.6,5,1,5,0,0,1,0,0.28,0.06,0.34,0.28,0.34,Matches
Daniel O'Shaughnessy\3eeec655,fi FIN,DF,26,19,17,1528,17,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,Matches
Riku Riski\62122118,fi FIN,FWMF,31,24,15,1379,15.3,2,1,2,0,0,2,0,0.13,0.07,0.2,0.13,0.2,Matches
Luis Carlos Murillo\e37bfa7a,co COL,DF,30,20,12,1319,14.7,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Janne Saksela\8e0e6432,fi FIN,DF,27,17,10,1032,11.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Matti Peltola\7af31216,fi FIN,MF,18,16,10,963,10.7,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Atomu Tanaka\031ebd52,jp JPN,MF,33,16,9,818,9.1,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
Casper Terho\bd2f622a,fi FIN,MF,17,12,7,608,6.8,2,0,2,0,0,1,0,0.3,0,0.3,0.3,0.3,Matches
Bubacar Djaló\be34236b,pt POR,MF,23,13,6,543,6,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Santeri Väänänen\63567ebc,fi FIN,MF,19,10,6,542,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jakob Tånnander\c631ba63,se SWE,GK,20,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dylan Murnane\fda2fe68,au AUS,DF,26,8,6,475,5.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Luís Henrique\ae67800f,br BRA,FW,22,12,5,539,6,3,0,3,0,0,1,0,0.5,0,0.5,0.5,0.5,Matches
Anthony Olusanya\095ec83c,fi FIN,FW,20,16,4,446,5,3,1,3,0,0,1,0,0.61,0.2,0.81,0.61,0.81,Matches
Santeri Hostikka\73b1d487,fi FIN,DFMF,23,10,4,380,4.2,1,0,1,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
Sebastian Dahlström\28313052,fi FIN,MF,24,7,4,372,4.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Markus Halsti\e595364f,fi FIN,DFMF,36,6,3,289,3.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kevin Kouassivi-Benissan\e71948be,fi FIN,DF,22,6,3,232,2.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tim Sparv\52fc493c,fi FIN,MF,33,5,2,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Taddeus Nkeng\142cdff3,cm CMR,FW,20,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Elmo Henriksson\93467324,fi FIN,GK,17,0,0,,,,,,,,,,,,,,,Matches
Matias Niemelä\ee200edc,fi FIN,GK,18,0,0,,,,,,,,,,,,,,,Matches
Patrik Raitanen\7e3fa851,fi FIN,DF,19,0,0,,,,,,,,,,,,,,,Matches
