Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Luiyi de Lucas\4968de41,do DOM,DF,26,25,25,2195,24.4,3,0,2,1,1,4,1,0.12,0,0.12,0.08,0.08,Matches
Henri Malundama\7c56140e,fi FIN,MF,25,27,24,2174,24.2,2,0,2,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
Niklas Friberg\a239833a,fi FIN,DF,24,24,24,2090,23.2,1,0,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches
Mika Hilander\53e32365,fi FIN,GK,37,19,19,1710,19,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Eero-Matti Auvinen\fca60793,fi FIN,DF,24,25,18,1722,19.1,1,0,1,0,0,4,1,0.05,0,0.05,0.05,0.05,Matches
Maximus Tainio\5af2a4ce,fi FIN,DF,19,24,18,1634,18.2,2,1,2,0,0,5,1,0.11,0.06,0.17,0.11,0.17,Matches
Jacob Bushue\62523933,us USA,MF,28,23,18,1514,16.8,1,0,1,0,0,5,0,0.06,0,0.06,0.06,0.06,Matches
Seth Saarinen\93a2f867,fi FIN,DF,19,19,16,1309,14.5,2,0,2,0,0,3,0,0.14,0,0.14,0.14,0.14,Matches
Janne-Pekka Laine\ce67c769,fi FIN,MF,20,23,15,1434,15.9,1,1,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matches
Aleksandar Vucenovic\096137af,at AUT,FW,23,19,15,1163,12.9,5,0,5,0,0,4,0,0.39,0,0.39,0.39,0.39,Matches
Ishmael Yartey\af4672e0,gh GHA,FWMF,31,20,12,1176,13.1,4,0,4,0,0,1,0,0.31,0,0.31,0.31,0.31,Matches
Jami Kyöstilä\cf714230,fi FIN,DF,24,20,11,1125,12.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Tino Purme\22d5b436,fi FIN,MF,22,26,11,1094,12.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Andrija Bošnjak\abdcf600,hr CRO,DF,24,20,10,1040,11.6,1,0,0,1,1,3,0,0.09,0,0.09,0,0,Matches
Samuel Chidi\93d5a170,ng NGA,FW,30,14,9,826,9.2,1,0,1,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
Logan Rogerson\9538d1a4,nz NZL,FW,22,12,8,750,8.3,1,0,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
Aatu Hakala\da1db4b0,fi FIN,GK,20,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Donaldo Açka\f6955717,al ALB,DF,23,10,8,647,7.2,2,0,2,0,0,2,0,0.28,0,0.28,0.28,0.28,Matches
Salomo Ojala\21cb6e08,fi FIN,FW,23,16,8,572,6.4,1,0,1,0,0,1,0,0.16,0,0.16,0.16,0.16,Matches
Antto Hilska\44618497,fi FIN,FW,27,18,7,606,6.7,1,0,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
Xuseen Maxamed\42d4912b,so SOM,FW,23,10,5,479,5.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Youri Loen\39ece434,nl NED,MF,30,9,5,407,4.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Oiva Laaksonen\0d5f9fab,fi FIN,FW,17,3,2,158,1.8,1,0,0,1,1,0,0,0.57,0,0.57,0,0,Matches
Jesse Huhtala\06a2ae5c,fi FIN,FW,20,2,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kalle Kohonen\c5a1af7d,fi FIN,GK,18,0,0,,,,,,,,,,,,,,,Matches
Topias Listo\66850f08,fi FIN,DF,18,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
