Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Aldayr Hernández\0e89355f,co COL,DF,25,26,26,2332,25.9,2,0,2,0,0,5,0,0.08,0,0.08,0.08,0.08,Matches
Jake Dunwoody\b007e482,nir NIR,MF,22,26,25,2151,23.9,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
Moshtagh Yaghoubi\4339b991,fi FIN,MF,26,23,23,2054,22.8,3,0,0,3,3,10,1,0.13,0,0.13,0,0,Matches
Matej Hradecký\962993e3,fi FIN,MF,25,23,23,2017,22.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Keaton Isaksson\fed33753,fi FIN,MF,26,24,22,1826,20.3,3,0,3,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
Jusif Ali\d0c5a197,fi FIN,FW,20,25,22,1691,18.8,3,0,3,0,0,4,0,0.16,0,0.16,0.16,0.16,Matches
Sakari Mattila\31369209,fi FIN,DFMF,31,21,20,1776,19.7,1,0,1,0,0,5,0,0.05,0,0.05,0.05,0.05,Matches
Felipe\b48a5b74,es ESP,DF,25,21,20,1714,19,2,0,2,0,0,2,1,0.11,0,0.11,0.11,0.11,Matches
Macario Hing-Glover\39d0f760,us USA,MF,25,20,19,1649,18.3,0,1,0,0,0,2,1,0,0.05,0.05,0,0.05,Matches
Jani Bäckman\88b82fb3,fi FIN,DFFW,32,22,17,1420,15.8,1,0,1,0,0,6,0,0.06,0,0.06,0.06,0.06,Matches
Calum Ward\6b68180b,eng ENG,GK,20,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kei Kamara\6e3f3809,sl SLE,FW,36,14,14,1236,13.7,5,0,5,0,0,1,0,0.36,0,0.36,0.36,0.36,Matches
Markus Uusitalo\1b8768b5,fi FIN,GK,23,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jukka Halme\8f4dcaa1,fi FIN,MF,35,14,8,724,8,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Mosawer Ahadi\f40d47e2,fi FIN,FW,20,16,7,810,9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Juanan Entrena\5e89c73b,es ESP,MF,24,22,7,789,8.8,1,0,1,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
Tino Palmasto\8993324c,fi FIN,DF,22,10,6,569,6.3,1,0,1,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
Aatu Kujanpää\97cf2d51,fi FIN,MF,22,21,3,560,6.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jean Mabinda\8d382624,fi FIN,DF,20,9,3,381,4.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sakari Tukiainen\961c237e,fi FIN,FW,29,3,3,198,2.2,1,0,1,0,0,1,0,0.45,0,0.45,0.45,0.45,Matches
Jeremiah Streng\805939b5,fi FIN,MF,19,8,1,216,2.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Hannu Patronen\ddc5595c,fi FIN,DF,36,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tiquinho\f3046aa6,br BRA,MF,25,3,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Selman El Baset\4af443eb,fi FIN,DF,20,0,0,,,,,,,,,,,,,,,Matches
Martti Puolakainen\1e6de506,ee EST,GK,26,0,0,,,,,,,,,,,,,,,Matches
