Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Calle Svensson\62155af6,se SWE,DF,33,26,26,2332,25.9,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Niilo Mäenpää\2fd1571d,fi FIN,MF,23,26,25,2255,25.1,2,0,2,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
Oskari Forsman\9f7b9c00,fi FIN,GK,33,25,25,2250,25,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Muhamed Tehe Olawale\493e48c9,ci CIV,FW,21,26,24,2059,22.9,6,3,6,0,0,6,0,0.26,0.13,0.39,0.26,0.39,Matches
Mohammed Abubakari\a73cc5ee,gh GHA,MF,34,20,19,1523,16.9,3,0,3,0,0,6,1,0.18,0,0.18,0.18,0.18,Matches
Robin Buwalda\1021cec5,nl NED,DF,26,20,18,1686,18.7,2,0,2,0,0,2,0,0.11,0,0.11,0.11,0.11,Matches
Joel Mattsson\407a757c,fi FIN,MF,21,24,17,1526,17,2,0,2,0,0,5,0,0.12,0,0.12,0.12,0.12,Matches
Elias Mastokangas\8af4033a,fi FIN,MF,19,20,17,1389,15.4,3,0,2,1,1,1,0,0.19,0,0.19,0.13,0.13,Matches
Mikko Sumusalo\de25754c,fi FIN,DF,30,18,13,1063,11.8,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Yanga Baliso\c5b4a2d3,za RSA,,23,17,12,1116,12.4,1,1,1,0,0,4,0,0.08,0.08,0.16,0.08,0.16,Matches
Aapo Mäenpää\f716eed1,fi FIN,DF,23,13,12,970,10.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Filip Almström Tähti\fa350491,se SWE,DF,29,12,11,1035,11.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Alan Henrique\c15f666c,br BRA,DF,29,13,11,1019,11.3,1,0,1,0,0,5,0,0.09,0,0.09,0.09,0.09,Matches
Eero Tamminen\3c989a93,fi FIN,MF,25,17,10,874,9.7,2,0,2,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
Dé Cledson\a640707b,br BRA,FW,22,13,10,831,9.2,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Emile Paul Tendeng\1e846b4d,sn SEN,FWMF,28,17,9,955,10.6,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Jiri Nissinen\052e75d7,fi FIN,MF,23,11,9,859,9.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vahid Hambo\bc93a41c,fi FIN,FW,25,18,8,801,8.9,5,0,4,1,1,0,0,0.56,0,0.56,0.45,0.45,Matches
Frankline Okoye\e30dce2e,ng NGA,DF,21,12,8,656,7.3,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Riku Sjöroos\dac00e1f,fi FIN,MF,25,13,5,425,4.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Kennedy Igboananike\c434903d,ng NGA,FW,31,19,4,480,5.3,1,0,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
Oscar Wiklöf\d94782e6,fi FIN,FW,18,10,2,317,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marc Nordqvist\32267da4,fi FIN,GK,23,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Melvin Kahnberg\d9a2321b,fi FIN,DF,17,2,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jimmi Bruhn\106c7ef2,,DF,,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denys Balanyuk\b99ecdab,ua UKR,MF,24,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Elia Hagström\d4610c9d,,MF,,0,0,,,,,,,,,,,,,,,Matches
Moussa Kone\ce7c09e5,ci CIV,MF,20,0,0,,,,,,,,,,,,,,,Matches
Johan Sundman\61c35e91,fi FIN,GK,42,0,0,,,,,,,,,,,,,,,Matches
Kerim Tatar\3d9d3b5c,ba BIH,DF,24,0,0,,,,,,,,,,,,,,,Matches
