Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Joona Veteli\0205f98e,fi FIN,MF,25,27,27,2429,27,2,0,2,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
Rasmus Leislahti\652afb4e,fi FIN,GK,20,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tatu Miettunen\5d8301f3,fi FIN,DF,25,24,24,2160,24,2,1,2,0,0,4,0,0.08,0.04,0.12,0.08,0.12,Matches
Eric Oteng\4666de19,gh GHA,MF,19,22,18,1284,14.3,1,0,1,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Doni Arifi\90705eb3,fi FIN,MF,18,23,17,1416,15.7,0,1,0,0,0,7,0,0,0.06,0.06,0,0.06,Matches
Patrick Loa Loa\7e0eccef,cm CMR,FW,21,24,16,1443,16,2,0,2,0,0,7,0,0.12,0,0.12,0.12,0.12,Matches
Tuure Siira\7215334d,fi FIN,MF,26,22,15,1275,14.2,1,0,1,0,0,7,0,0.07,0,0.07,0.07,0.07,Matches
Teemu Jäntti\8ecc3649,fi FIN,MF,20,24,14,1401,15.6,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches
Tuomas Ollila\3791693f,fi FIN,DF,20,16,14,1333,14.8,4,0,2,2,2,1,0,0.27,0,0.27,0.14,0.14,Matches
Jean-Jaurès Vigori\c428cfdb,ci CIV,DF,18,16,14,1092,12.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Mikael Almen\cf9b4a74,fi FIN,DF,20,19,13,1218,13.5,1,0,1,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
Eetu Mömmö\7a39e5dc,fi FIN,FW,18,13,12,1085,12.1,4,0,4,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
Luc Tabi Manga\710f2eee,cm CMR,DF,26,12,12,1080,12,1,0,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
Jean Carlos Blanco\5021438a,co COL,FWMF,28,24,10,1095,12.2,2,0,2,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches
Sylvanus Nimely\b9fd8066,lr LBR,FW,22,11,9,651,7.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Momodou Sarr\787dc5fe,fi FIN,FW,20,24,8,896,10,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Kalle Katz\fa4d9520,fi FIN,DF,21,8,8,695,7.7,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Eetu Vertainen\6627f2bc,fi FIN,MF,21,11,8,612,6.8,4,0,4,0,0,1,0,0.59,0,0.59,0.59,0.59,Matches
Miska Rautiola\68c7c3c4,fi FIN,MF,22,12,6,595,6.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Felipe Aspegren\d6bd1ed7,fi FIN,DF,26,7,6,560,6.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Róger Torres\6248bd60,co COL,MF,29,12,5,476,5.3,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Taha Özcelik\25c78646,fi FIN,MF,20,14,4,477,5.3,1,0,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
Hernán Luna\ca6e2543,co COL,MF,21,9,4,335,3.7,1,0,1,0,0,1,0,0.27,0,0.27,0.27,0.27,Matches
Oiva Jukkola\8e0b3812,,MF,,10,3,316,3.5,1,0,1,0,0,0,0,0.28,0,0.28,0.28,0.28,Matches
Leo Kyllönen\a921ad8e,fi FIN,MF,17,8,3,306,3.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Eetu Huuhtanen\d661c31f,fi FIN,GK,18,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Linus Rönnberg\2849a629,fi FIN,FW,18,4,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Noel Hasa\ffef9d59,fi FIN,MF,17,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Matias Riikonen\f7c20b55,fi FIN,GK,18,0,0,,,,,,,,,,,,,,,Matches
