Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Henrik Moisander\feb2666a,fi FIN,GK,35,25,25,2250,25,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Timo Furuholm\9f5bc094,fi FIN,FW,33,25,25,2208,24.5,7,1,7,0,0,10,0,0.29,0.04,0.33,0.29,0.33,Matches
Benjamin Källman\fd61c74d,fi FIN,FW,22,27,25,2208,24.5,14,0,13,1,1,1,0,0.57,0,0.57,0.53,0.53,Matches
Rick Ketting\aa90a746,nl NED,DF,25,23,21,1899,21.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jesper Engström\91ff6fbe,fi FIN,DF,28,23,21,1803,20,2,1,2,0,0,1,0,0.1,0.05,0.15,0.1,0.15,Matches
Lassi Järvenpää\b7b2f30a,fi FIN,DF,24,24,20,1793,19.9,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Alejandro Sanz\e514ee96,es ESP,MF,27,22,20,1728,19.2,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,Matches
Aleksi Paananen\716d1a59,fi FIN,FWMF,28,23,20,1576,17.5,2,0,2,0,0,4,0,0.11,0,0.11,0.11,0.11,Matches
Anthony Annan\1c524d4a,gh GHA,MF,34,20,17,1538,17.1,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Juuso Hämäläinen\81733bb9,fi FIN,DF,27,18,17,1404,15.6,0,0,0,0,0,7,1,0,0,0,0,0,Matches
Taiki Kagayama\c0212023,jp JPN,FW,24,22,15,1413,15.7,4,1,4,0,0,4,0,0.25,0.06,0.32,0.25,0.32,Matches
Matias Ojala\7630423c,fi FIN,MF,25,27,13,1323,14.7,5,0,5,0,0,1,0,0.34,0,0.34,0.34,0.34,Matches
Noah Nurmi\51ecb8f4,fi FIN,DF,19,23,13,1298,14.4,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Martti Haukioja\7f0b8b5d,fi FIN,DF,21,21,13,1195,13.3,4,0,1,3,3,4,0,0.3,0,0.3,0.08,0.08,Matches
Petteri Forsell\7df6ffdf,fi FIN,FWMF,30,11,11,973,10.8,3,0,2,1,1,2,0,0.28,0,0.28,0.18,0.18,Matches
Arttu Hoskonen\d5efd527,fi FIN,MF,23,13,9,872,9.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Juho Hyvärinen\14c11fb6,fi FIN,MF,20,14,8,655,7.3,1,0,1,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
Aati Marttinen\cc020080,fi FIN,GK,23,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jasper Yrjas\115747a4,fi FIN,MF,17,11,1,164,1.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Agustín Cacabelos\cc00dedf,ar ARG,FW,25,5,1,66,0.7,1,0,1,0,0,1,0,1.36,0,1.36,1.36,1.36,Matches
Ryan Mahuta\304154d7,fi FIN,DF,18,9,0,154,1.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Markus Arsalo\29c50f71,fi FIN,DF,18,0,0,,,,,,,,,,,,,,,Matches
Mohammed Bakkar\3e1e9387,fi FIN,MF,17,0,0,,,,,,,,,,,,,,,Matches
Yeesser Barbata\669c17bf,fi FIN,DF,19,0,0,,,,,,,,,,,,,,,Matches
Milo Kallio\d69f7dc5,fi FIN,GK,18,0,0,,,,,,,,,,,,,,,Matches
Jarkko Kokkala\6b500c92,fi FIN,FW,18,0,0,,,,,,,,,,,,,,,Matches
Elias Vesala\fe6826e1,fi FIN,DF,16,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
