Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Anton Lepola\715dba94,fi FIN,GK,24,26,26,2340,26,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Asier\c599392e,es ESP,MF,33,25,24,2101,23.3,2,0,0,2,2,6,0,0.09,0,0.09,0,0,Matches
Mahamadou Sissoko\a6b5364c,fr FRA,DF,32,23,22,1948,21.6,2,1,2,0,0,7,0,0.09,0.05,0.14,0.09,0.14,Matches
Michael Ogungbaro\6c5750e4,ng NGA,MF,24,23,21,1856,20.6,1,1,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1,Matches
David Ramadingaye\bba865ce,fi FIN,MF,31,23,18,1654,18.4,4,0,2,2,2,10,0,0.22,0,0.22,0.11,0.11,Matches
Paavo Voutilainen\1530bed4,fi FIN,DF,21,18,18,1567,17.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Thomas Agyiri\c1979d0e,gh GHA,MF,26,23,17,1576,17.5,2,0,2,0,0,1,0,0.11,0,0.11,0.11,0.11,Matches
Alain Ebwelle\276ad5be,cm CMR,FW,25,19,16,1403,15.6,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,Matches
Rico Finnäs\9f1f5786,fi FIN,FW,20,14,14,1213,13.5,1,0,1,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
Niklas Leinonen\24c1504e,fi FIN,MF,17,19,13,904,10,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Antti Mäkijärvi\8a3fb84f,fi FIN,MF,27,22,12,1141,12.7,4,0,4,0,0,1,0,0.32,0,0.32,0.32,0.32,Matches
Johannes Laaksonen\274b1767,fi FIN,MF,30,21,11,1004,11.2,1,0,1,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
Matias Paavola\1938b65b,fi FIN,MF,20,18,11,956,10.6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Matias Lindfors\58a6914d,fi FIN,FW,23,17,10,953,10.6,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches
Juan Esnáider Ruiz\11894e8c,es ESP,FW,29,12,10,909,10.1,1,0,1,0,0,3,1,0.1,0,0.1,0.1,0.1,Matches
Anton Eerola\f3723098,fi FIN,FW,20,15,8,889,9.9,2,0,2,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
Aleksi Tarvonen\54d8b69a,fi FIN,FW,26,14,8,772,8.6,2,0,2,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
Tiquinho\f3046aa6,br BRA,MF,25,12,8,636,7.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Diawandou Diagne\c7edcffe,sn SEN,DFMF,26,9,7,600,6.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pierre-Daniel N'Guinda\fb04404b,fr FRA,DF,24,9,6,583,6.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Fran Álvarez\d7f16e0f,es ESP,DF,24,6,6,508,5.6,1,0,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches
Ian Garret\a99f9b18,us USA,MF,24,8,4,426,4.7,1,0,1,0,0,2,0,0.21,0,0.21,0.21,0.21,Matches
Matias Tamminen\e076aa9d,fi FIN,FW,19,11,4,362,4,0,1,0,0,0,2,0,0,0.25,0.25,0,0.25,Matches
Ingo van Weert\042f5fb5,nl NED,DF,26,5,2,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pyry Piirainen\c1aec178,fi FIN,GK,20,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oskari Kekkonen\8f383fe8,ph PHI,MF,21,2,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Juuso Anttila\d0449158,fi FIN,DF,18,3,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kimi Kolsi\a74367c4,fi FIN,MF,18,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Anttoni Huttunen\556ff3a2,fi FIN,MF,19,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
