Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Anton Popovitch\41ab24a2,fi FIN,MF,24,25,24,2200,24.4,3,0,3,0,0,5,0,0.12,0,0.12,0.12,0.12,Matches
Urho Nissilä\781074c2,fi FIN,MF,24,25,24,2038,22.6,8,2,8,0,0,4,0,0.35,0.09,0.44,0.35,0.44,Matches
Diogo Tomas\09f961b5,fi FIN,DF,23,23,23,2070,23,5,0,5,0,0,5,0,0.22,0,0.22,0.22,0.22,Matches
Johannes Kreidl\bfcf986d,at AUT,GK,24,23,22,1982,22,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Santeri Haarala\2e18f55b,fi FIN,MF,21,25,20,1461,16.2,4,2,4,0,0,2,0,0.25,0.12,0.37,0.25,0.37,Matches
Taneli Hämäläinen\d2bdf86c,fi FIN,DF,19,23,19,1813,20.1,2,0,2,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
Henri Toivomäki\a8bf43e8,fi FIN,DF,29,19,19,1668,18.5,1,0,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
Daniel Carrillo\02e2ddc7,ve VEN,DF,25,22,16,1585,17.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Bismark Adjei-Boateng\222bc419,gh GHA,MF,26,15,15,1289,14.3,1,0,0,1,1,4,0,0.07,0,0.07,0,0,Matches
Jordan Sebban\95a06de7,fr FRA,MF,24,20,14,1263,14,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Henry Uzochokwu\807c2c71,ng NGA,DF,22,19,14,1155,12.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Paulo Ricardo\d518a829,br BRA,DF,26,13,13,1078,12,2,0,2,0,0,3,0,0.17,0,0.17,0.17,0.17,Matches
Tim Väyrynen\a2544081,fi FIN,FW,27,13,12,1011,11.2,9,0,7,2,2,1,0,0.8,0,0.8,0.62,0.62,Matches
Iiro Järvinen\5ac5330b,fi FIN,MF,24,10,9,691,7.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Axel Vidjeskog\c0adcd6c,fi FIN,FW,19,16,8,688,7.6,1,0,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
Artuu Heinonen\335ca491,fi FIN,MF,21,13,8,566,6.3,1,0,1,0,0,2,0,0.16,0,0.16,0.16,0.16,Matches
Aniekpeno Udoh\80c916ef,ng NGA,FW,24,22,7,1040,11.6,3,1,3,0,0,1,0,0.26,0.09,0.35,0.26,0.35,Matches
Lucas Rangel Nunes Gonçalves\626f44ac,br BRA,FWMF,26,12,7,703,7.8,2,0,2,0,0,6,0,0.26,0,0.26,0.26,0.26,Matches
Felipe Aspegren\d6bd1ed7,fi FIN,DF,26,11,7,702,7.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Otso Virtanen\d899ef92,fi FIN,GK,26,5,5,448,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Juho Pirttijoki\ad65975d,fi FIN,DF,24,6,4,300,3.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Niba MacDonald\f227d916,cm CMR,DF,26,5,3,293,3.3,0,1,0,0,0,0,0,0,0.31,0.31,0,0.31,Matches
J?nis Ikaunieks\2d319b80,lv LVA,MF,25,8,2,350,3.9,3,0,2,1,1,0,0,0.77,0,0.77,0.51,0.51,Matches
Usman Sale\54ee44c7,ng NGA,FW,25,4,1,161,1.8,1,0,1,0,0,0,0,0.56,0,0.56,0.56,0.56,Matches
Tommi Jyry\bf09b219,fi FIN,MF,21,6,1,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Philip Hellquist\9ff00d0f,se SWE,FWMF,29,2,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aapeli Alava\bffc7111,,GK,,0,0,,,,,,,,,,,,,,,Matches
Sami Rissanen\95743b08,fi FIN,GK,17,0,0,,,,,,,,,,,,,,,Matches
Miika Töyräs\24026cbf,fi FIN,GK,21,0,0,,,,,,,,,,,,,,,Matches
Joel Vartiainen\94eeb1e7,fi FIN,MF,26,0,0,,,,,,,,,,,,,,,Matches
