Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Kari Arkivuo\f968d34e,fi FIN,DFMF,37,24,24,2027,22.5,1,2,0,1,1,1,0,0.04,0.09,0.13,0,0.09,Matches
Eemeli Virta\6e074de7,fi FIN,MF,20,26,22,1922,21.4,1,2,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14,Matches
Macoumba Kandji\01edbfa1,gm GAM,FWMF,35,26,21,1932,21.5,5,1,5,0,0,5,0,0.23,0.05,0.28,0.23,0.28,Matches
Antonio Reguero\c698c3f3,es ESP,GK,38,21,21,1890,21,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Mikko Viitikko\b99c483c,fi FIN,DF,25,21,20,1800,20,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Geoffrey Chinedu\2977e65b,ng NGA,FW,23,27,19,1759,19.5,7,0,6,1,1,4,0,0.36,0,0.36,0.31,0.31,Matches
Timi Lahti\48c07357,fi FIN,DF,30,19,19,1630,18.1,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Matti Klinga\ba58e181,fi FIN,MF,26,24,19,1555,17.3,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Jean-Christophe Coubronne\b0c26a1d,fr FRA,DF,31,20,18,1601,17.8,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches
Javier Hervás\04b8d5c8,es ESP,MF,31,17,17,1530,17,1,0,1,0,0,6,0,0.06,0,0.06,0.06,0.06,Matches
Loorents Hertsi\690341e9,fi FIN,MF,28,25,17,1434,15.9,4,0,4,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches
Altin Zeqiri\314898fd,xk KVX,FW,20,18,12,1153,12.8,7,0,6,1,1,5,2,0.55,0,0.55,0.47,0.47,Matches
Arlind Sejdiu\fb6974d8,xk KVX,MF,19,17,12,962,10.7,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches
Teemu Penninkangas\92f87cd9,fi FIN,DF,28,16,11,1081,12,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Henri Eninful\94da0db1,tg TOG,MF,28,17,11,1015,11.3,1,0,1,0,0,6,1,0.09,0,0.09,0.09,0.09,Matches
Jasin Assehnoun\0808e656,fi FIN,MF,22,10,10,888,9.9,5,0,5,0,0,3,0,0.51,0,0.51,0.51,0.51,Matches
Lassi Forss\8ebe881f,fi FIN,DF,19,11,6,615,6.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Joona Tiainen\d7552077,fi FIN,GK,20,6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Riyad El Alami\79ae3805,fi FIN,DF,22,6,5,423,4.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Pyry Lampinen\91cc1d1d,fi FIN,FW,18,9,5,422,4.7,1,0,1,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
Kristian Yli-Hietanen\7ea91fdf,fi FIN,FW,24,21,2,414,4.6,1,0,1,0,0,3,0,0.22,0,0.22,0.22,0.22,Matches
Daniel Koskipalo\64d9c278,fi FIN,DF,17,4,0,54,0.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Asaad Babiker\65741c09,cz CZE,FW,17,0,0,,,,,,,,,,,,,,,Matches
Anton Munukka\d15cb7e5,fi FIN,GK,16,0,0,,,,,,,,,,,,,,,Matches
Tapio Torpo\72aaae6f,fi FIN,DF,17,0,0,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
