Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jesse Öst\4189fccc,fi FIN,GK,30,27,27,2430,27,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Murilo\1d438d6c,br BRA,DF,25,25,25,2243,24.9,1,2,1,0,0,10,0,0.04,0.08,0.12,0.04,0.12,Matches
Cristian Valencia\4d8fef83,co COL,DF,29,25,25,2242,24.9,3,1,3,0,0,8,0,0.12,0.04,0.16,0.12,0.16,Matches
Nikko Boxall\bf23cd4f,nz NZL,DF,28,24,24,2146,23.8,3,0,3,0,0,6,0,0.13,0,0.13,0.13,0.13,Matches
Ville Tikkanen\f3e3d488,fi FIN,MF,21,24,24,2091,23.2,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
Rodrigo Arciero\f9240252,ar ARG,DF,27,22,22,1842,20.5,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Pyry Hannola\f8f687e1,fi FIN,MF,19,22,22,1766,19.6,0,2,0,0,0,5,0,0,0.1,0.1,0,0.1,Matches
Jake Jervis\7ebbee55,eng ENG,FWMF,29,25,21,1817,20.2,8,0,8,0,0,3,0,0.4,0,0.4,0.4,0.4,Matches
Denys Oliynyk\8d344a00,ua UKR,MF,33,26,21,1773,19.7,7,0,6,1,1,1,0,0.36,0,0.36,0.3,0.3,Matches
Ariel Ngueukam\3e589a7c,cm CMR,FW,32,26,20,1690,18.8,14,0,14,0,0,3,0,0.75,0,0.75,0.75,0.75,Matches
Jude Arthur Ekow\3c08a7dc,gh GHA,DF,21,19,15,1234,13.7,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Nooa Laine\51492fd1,fi FIN,MF,18,19,9,917,10.2,1,0,1,0,0,2,0,0.1,0,0.1,0.1,0.1,Matches
Daniel Håkans\eb3cf40c,fi FIN,FW,20,16,8,823,9.1,1,0,1,0,0,2,0,0.11,0,0.11,0.11,0.11,Matches
Joonas Lepistö\6ac2f72c,fi FIN,MF,22,21,6,701,7.8,2,0,2,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
Emmanuel Ledesma\fb79af97,ar ARG,FWMF,32,7,6,515,5.7,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
Niko Markkula\76a2d06a,fi FIN,DFMF,30,11,5,529,5.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Matias Vainionpää\96e12d9e,fi FIN,DF,19,13,4,476,5.3,1,0,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
Brandon Wilson\6c83f68d,au AUS,MF,24,13,4,467,5.2,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Gustaf Backaliden\e1ca6783,se SWE,MF,23,13,4,412,4.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Mehmet Hetemaj\bcd491be,fi FIN,DFMF,33,10,4,391,4.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rafa? Wolszty?ski\661c3068,pl POL,FW,26,7,1,129,1.4,1,0,1,0,0,1,0,0.7,0,0.7,0.7,0.7,Matches
Robin Sid\b4154e4a,fi FIN,MF,26,4,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Hope Akpan\1ccbca79,ng NGA,MF,29,3,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tero Mäntylä\232a551f,fi FIN,DF,29,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joonas Sundman\b053ef67,fi FIN,DF,23,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oliver Günes\2a4dcd15,tr TUR,MF,18,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Valtteri Olsbo\0ac8eafd,fi FIN,DF,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Omar Adawi\25819730,fi FIN,FW,19,0,0,,,,,,,,,,,,,,,Matches
Robbie Malolo\859627b2,fi FIN,MF,19,0,0,,,,,,,,,,,,,,,Matches
Topi Säilynoja\b5ad8571,fi FIN,GK,18,0,0,,,,,,,,,,,,,,,Matches
Salifu Senghore\ab05abd7,gm GAM,GK,20,0,0,,,,,,,,,,,,,,,Matches
Walter Viitala\6d289267,fi FIN,GK,29,0,0,,,,,,,,,,,,,,,Matches
